sample_id	event_count
SP10150	87.0
SP101519	98.0
SP101540	221.0
SP101544	177.0
SP101564	179.0
SP101572	169.0
SP101576	475.0
SP101580	286.0
SP101592	263.0
SP101622	284.0
SP101628	232.0
SP101642	394.0
SP101670	178.0
SP101674	240.0
SP101678	349.0
SP101690	330.0
SP101716	389.0
SP101732	291.0
SP101740	446.0
SP101795	325.0
SP101891	353.0
SP101921	85.0
SP102015	285.0
SP102090	291.0
SP102103	198.0
SP102123	167.0
SP102161	88.0
SP102174	749.0
SP102517	27.0
SP102529	26.0
SP102541	26.0
SP102567	22.0
SP102622	35.0
SP102827	30.0
SP102913	58.0
SP103005	36.0
SP103045	31.0
SP103535	51.0
SP103575	68.0
SP103595	20.0
SP103603	21.0
SP103894	60.0
SP10470	818.0
SP105006	50.0
SP105018	553.0
SP105253	334.0
SP105375	204.0
SP10563	342.0
SP1059	228.0
SP106718	63.0
SP106734	24.0
SP106743	61.0
SP106753	28.0
SP106825	51.0
SP107007	53.0
SP107017	58.0
SP107023	47.0
SP107037	92.0
SP107060	46.0
SP107063	68.0
SP107080	71.0
SP107101	93.0
SP107111	63.0
SP107119	138.0
SP107146	40.0
SP107405	16.0
SP107407	15.0
SP107436	16.0
SP107449	43.0
SP107458	35.0
SP107461	13.0
SP107467	45.0
SP107474	53.0
SP107575	59.0
SP107595	110.0
SP107624	93.0
SP107650	42.0
SP107770	52.0
SP107774	24.0
SP107781	96.0
SP107805	127.0
SP108068	136.0
SP1086	231.0
SP109457	95.0
SP109801	76.0
SP109957	191.0
SP110779	80.0
SP110803	48.0
SP110822	135.0
SP110842	143.0
SP110846	807.0
SP110853	216.0
SP110860	133.0
SP110865	410.0
SP111002	278.0
SP111004	294.0
SP111009	133.0
SP111011	129.0
SP111015	80.0
SP111017	110.0
SP111019	307.0
SP111024	214.0
SP111033	105.0
SP111043	227.0
SP111054	495.0
SP111072	145.0
SP111074	233.0
SP111077	293.0
SP111082	96.0
SP111084	145.0
SP111086	133.0
SP111088	118.0
SP111089	110.0
SP111095	339.0
SP111098	207.0
SP111113	356.0
SP111117	142.0
SP111154	181.0
SP111164	444.0
SP111170	209.0
SP111175	260.0
SP112141	60.0
SP112201	148.0
SP112211	112.0
SP112234	53.0
SP112248	158.0
SP112269	77.0
SP112273	80.0
SP112304	111.0
SP112310	41.0
SP112785	31.0
SP1132	78.0
SP114016	32.0
SP114906	126.0
SP114924	284.0
SP114941	184.0
SP116229	73.0
SP116280	158.0
SP116331	532.0
SP116335	280.0
SP116353	253.0
SP116355	375.0
SP116357	263.0
SP116367	163.0
SP116371	135.0
SP116373	209.0
SP116401	44.0
SP116431	260.0
SP116456	88.0
SP116475	161.0
SP116490	293.0
SP116523	63.0
SP116578	134.0
SP116596	163.0
SP116618	66.0
SP116648	59.0
SP116657	106.0
