sample_id	event_count
SP10150	87
SP101515	120
SP101519	98
SP101540	221
SP101544	177
SP101548	86
SP101558	135
SP101564	179
SP101572	169
SP101576	475
SP101580	286
SP101592	263
SP101604	102
SP101610	117
SP101622	284
SP101628	232
SP101642	394
SP101648	137
SP101662	68
SP101666	111
SP101670	178
SP101674	240
SP101678	349
SP101690	330
SP101700	96
SP101708	79
SP101716	389
SP101732	291
SP101740	446
SP101795	325
SP101881	137
SP101891	353
SP101921	85
SP102015	285
SP102055	75
SP102064	130
SP102090	291
SP102103	198
SP102113	152
SP102123	167
SP102143	85
SP102161	88
SP102174	749
SP102187	119
SP102485	5
SP102489	16
SP102499	13
SP102511	13
SP102517	27
SP102523	20
SP102529	26
SP102537	20
SP102541	26
SP102547	13
SP102561	3
SP102567	22
SP102573	21
SP102581	3
SP102591	1
SP102597	14
SP102605	6
SP102617	12
SP102622	35
SP102633	21
SP102690	20
SP102716	17
SP102718	4
SP102733	9
SP102747	2
SP102755	11
SP102759	25
SP102783	13
SP102804	33
SP102827	30
SP102839	9
SP102873	7
SP102913	58
SP102921	10
SP102929	4
SP102945	9
SP102957	2
SP102965	10
SP102973	12
SP102989	9
SP103005	36
SP103021	43
SP103037	5
SP103045	31
SP103057	6
SP103065	6
SP103080	33
SP103100	6
SP103128	10
SP103140	6
SP103156	9
SP103197	16
SP103221	25
SP103245	2
SP103261	4
SP103300	3
SP103396	14
SP103408	14
SP103428	7
SP103436	3
SP103444	5
SP103467	1
SP103507	12
SP103535	51
SP103547	7
SP103555	11
SP103575	68
SP103595	20
SP103603	21
SP103619	4
SP103673	6
SP103679	5
SP103685	6
SP103694	6
SP103706	15
SP103715	5
SP103730	22
SP103742	16
SP103826	5
SP103844	13
SP103856	12
SP103866	24
SP103894	60
SP104056	30
SP104330	24
SP10470	818
SP104984	47
SP105006	50
SP105018	553
SP105086	90
SP105159	26
SP105213	28
SP105253	334
SP105375	204
SP105425	109
SP105577	96
SP10563	342
SP105673	84
