chrom	start	end	name	score
chr1	147722309	147841353	29	0.007837911157183863
chr1	150840601	150959645	31	0.00921744956750863
chr1	151872534	151991578	32	0.005139561704522614
chr1	153986660	154105704	36	0.0010281245241628874
chr1	160063941	160182984	40	4.331187871758216e-06
chr1	161038178	161157222	41	0.011130585749830155
chr1	161883304	162002347	43	0.0025980998128888495
chr1	164148727	164267770	45	0.0012146526026984733
chr1	172198882	172317925	48	0.004508408787982017
chr1	183131214	183250257	51	0.0006485044058663597
chr1	183852187	183971230	52	0.0017448686565238803
chr1	204450667	204569711	59	0.002939072107661405
chr1	205373808	205492851	60	0.0013957401542170089
chr1	206937062	207056105	62	0.00046378520248852864
chr1	239069816	239188859	70	0.004671844645446076
chr11	13054931	13173975	608	0.0004742968148871816
chr11	32182470	32301513	609	0.00014610735131484985
chr11	34684070	34803113	611	0.0027199706265578208
chr11	44202928	44321972	613	9.725398023667576e-06
chr11	45950205	46069248	615	0.0011376578906020691
chr12	763012	882055	665	0.0027386145056670502
chr12	1484313	1603357	666	0.00212052707675256
chr12	3895283	4014326	668	0.00033230372736681234
chr12	6455229	6574273	670	0.0006044584564751233
chr12	12008916	12127959	674	0.00023991185718220248
chr12	20191170	20310213	677	0.004714044481793516
chr12	25130730	25250912	680	0.005506793285031284
chr12	26107545	26226589	681	0.0006870793890856413
chr13	24098582	24217626	715	0.006103253344290957
chr13	26886341	27005385	716	0.0567784131797138
chr13	30197461	30324134	717	0.017196014962590496
chr13	39289619	39408662	719	0.0013696910308126416
chr13	73274341	73393385	725	0.018473877266869877
chr13	91144224	91263268	727	0.0015383893951690876
chr13	95292224	95411268	730	0.0008866718787166717
chr13	109612800	109731843	733	0.0038128802720228307
chr16	28143895	28262938	811	0.0009118340663042591
chr17	33988079	34111229	826	0.00041845314764348365
chr17	37645674	37764763	829	0.0008344691170069583
chr17	39641419	39760462	831	0.02719651978344315
chr17	40924743	41043786	832	0.002922216908132939
chr17	41544226	41663270	834	8.328973514250676e-06
chr17	48031494	48150541	838	9.808653856619083e-05
chr17	49167856	49286899	839	0.0004054864577337532
chr17	50679117	50798161	840	0.0010847123034182916
chr17	52475118	52594162	841	0.004189025650669693
chr17	59963428	60082471	845	0.012515792957969911
chr17	65908428	66027471	848	0.005275720357673331
chr17	73310600	73429643	850	0.000822837303056742
chr17	75409615	75528658	851	0.00040907258082369715
chr17	79762679	79881723	852	0.00069364771334571
chr17	81741448	81869646	853	0.006712888107992368
chr19	33176638	33295681	889	0.004086461266991876
chr19	35370909	35489952	891	0.0034412988004941894
chr19	37759115	37878158	893	0.0028141770600402976
chr19	39220452	39339496	894	0.0012176735013062446
chr19	39635089	39754133	895	0.0012024310187260692
chr19	44574014	44693036	900	2.820135430734521e-05
chr19	55439377	55558421	903	4.242858405293644e-05
chr2	102056190	102175234	105	0.0001421873334376309
chr2	102519832	102638875	106	0.0005052124592193947
chr2	103971940	104090983	107	0.0006625956312843941
chr2	115777342	115896385	111	0.003131010615170516
chr2	121090902	121209946	113	0.002745347413570583
chr2	135770644	135889688	117	0.0009588139598587705
chr2	172235750	172354794	128	0.0001403462208305282
chr2	177227529	177346572	129	0.0009185444795407722
chr2	177611750	177730794	130	0.00019600381684332973
chr2	190193435	190312479	134	0.0012882135366348731
chr2	190947781	191066824	135	0.0006890584735059371
chr2	197629890	197748933	138	0.0006274802950842737
chr2	200319246	200438289	139	0.00025104653138234497
chr2	204354558	204473601	141	2.4850806569210517e-05
chr20	35488323	35607271	909	0.13263641178661273
chr20	47378346	47497389	913	0.008049746938546366
chr20	49612022	49731066	914	0.0003717147842863264
chr20	50133438	50252481	915	0.04848892331439109
chr20	50407941	50526985	916	0.00979164179741419
chr20	51859939	51978983	917	0.002410429452753729
chr20	53711224	53830267	919	0.12790221658086331
chr20	57415917	57534961	921	0.01871868530633885
chr20	63686657	63805701	926	0.022368519499256414
chr3	114084252	114203295	193	0.0008434655368992542
chr3	115520989	115640032	195	0.0007639016831151793
chr3	138704327	138823370	200	0.0006810305298980955
chr3	149445506	149564549	201	0.001483272653578131
chr3	168850690	168969734	204	0.0025954317999301742
chr3	169632267	169751310	206	0.0007305403311537306
chr3	169893165	170012208	207	0.0018463930845466028
chr3	172442701	172561744	209	0.0007621871201795267
chr3	174043092	174162135	210	0.00023691047664022464
chr3	174638234	174757277	211	0.00011807949319822145
chr3	187937381	188056425	219	0.0026518959086466484
chr3	189252172	189371215	221	0.0025384686523463183
chr3	189994506	190113549	222	0.0016134275557762744
chr3	191075387	191194430	223	0.002395307833615895
chr5	1220774	1339817	290	0.004743313258510603
chr5	2970703	3089746	293	0.0033368132930864597
chr5	4087075	4206118	294	0.0018683606481355675
chr5	22195708	22314751	305	0.002815690704243559
chr5	31118817	31237861	311	0.001131716808725907
chr5	32174131	32293174	313	0.004521687132685919
chr5	36233670	36352713	316	0.0013047197743135959
chr6	11249551	11368594	356	0.00022313905647494597
chr6	13383680	13502723	357	0.00034668816404050053
chr6	18320247	18439291	358	0.0008206655905238871
chr6	20392247	20511291	359	8.154324954973434e-06
chr6	21554968	21729662	361	7.936122689274967e-05
chr6	26273380	26392423	363	0.00027483198616073186
chr6	30636701	30755745	366	0.0012480662980678772
chr6	31808701	31927745	368	0.0015272113483561951
chr6	32827735	32946778	370	1.998426403936149e-05
chr6	37234664	37353707	373	0.0009202174496679391
chr6	39783069	39902113	375	0.0003331999706431135
chr6	41385854	41504897	376	0.0007723378349305274
chr6	41825044	41944087	377	0.0018922121427340198
chr6	42588740	42707784	378	0.00011123741382199553
chr6	43416740	43535785	380	0.0009958544306117821
chr6	43824741	43943785	381	0.004223946860852167
chr6	47824742	47943786	383	0.0025470150539521987
chr6	51371295	51490338	385	0.0007125631482454278
chr6	52407310	52526353	386	0.0012710074100618352
chr6	53103081	53222125	387	0.0016422459276590204
chr7	6306831	6425874	412	0.004596630087901485
chr7	16799140	16918183	415	0.010327801878685441
chr7	53476585	53595628	425	0.04482158340216875
chr7	69683492	69802536	427	0.0007672589093692391
chr7	99207321	99326364	440	0.0005629565967286727
chr7	104833952	104952995	446	7.848546420262201e-05
chr7	117666041	117785084	452	0.0006276356222742342
chr7	140217149	140336192	460	0.0002284608034825881
chr7	142632962	142751671	462	0.00046588493303164024
chr7	144251385	144370429	463	0.00025413143575156325
chr8	54270500	54389543	493	0.0035449055195483892
chr8	101039627	101158670	499	0.029182642326432612
chr8	102316250	102435294	501	0.006005063447133198
chr8	117912239	118031283	503	0.003490625663579748
chr8	120160239	120279283	505	0.0008845710910635662
chr8	127277456	127396499	508	0.025064717820945406
chr8	127619798	127738841	509	0.07558340414059991
chr8	128468232	128587276	511	0.012602901999918892
chr8	136356717	136475760	514	0.03880589476630925
chr8	141094379	141213423	520	0.009576481383925476
chr9	528478	647522	522	0.0027312134202278995
chr9	3835768	3954811	523	0.0015891547792632255
chr9	4878483	4997526	524	0.0011234628185620267
chr9	6663911	6782955	525	0.0033989072705213905
chr9	12752479	12871523	529	0.0014823183015414839
chr9	15081363	15206194	531	0.0009286981231433438
chr9	16928480	17047524	532	0.0017622300701717409
chr9	19262169	19381212	534	0.001059390505954723
chr9	19654845	19773888	535	0.00027044286742183333
chr9	25298793	25417836	537	0.0017477251730937963
chr9	31193570	31312613	543	0.0003299463040992793
chr9	32429711	32548754	545	0.0015499376859584647
chr9	33191595	33310638	546	0.0038607166037129127
chr9	34407014	34526057	547	8.882397769198578e-06
chr9	35615897	35734940	548	0.008368789704110815
chr9	36860101	36979144	549	0.0008792054550900638
