chrom	start	end	name	score
chr1	5698221	6299461	2	0.009046575503108568
chr1	7796378	8433690	15	0.007103272110646953
chr1	14385306	14763498	27	0.004297907953948332
chr1	26453898	26662962	5	0.014039148632685005
chr1	50751903	50870947	13	0.0027245595453512204
chr1	92622914	92828477	11	0.005507756982199941
chr1	114182486	115159426	7	0.006945584375829752
chr1	157585972	158068323	17	0.0042780979517987325
chr1	193012658	193197741	12	0.0017850700157593133
chr1	210244880	210734469	24	0.005771878124896142
chr1	212425834	213587853	3	0.007971242051668959
chr1	246074672	246193715	6	0.0030198295711766224
chr10	46366497	46278897	244	0.005099001064149538
chr10	56459109	56955135	243	0.007416474325134455
chr10	75535628	75654671	251	0.0010958864001535083
chr10	76159133	76283417	246	0.002017413618416315
chr10	87801233	87920276	241	0.004231175664153831
chr10	88205547	88324590	239	0.028940305333023015
chr11	39964088	40614329	287	0.005655888408791442
chr11	45909793	46380892	264	0.00960595889153327
chr11	62917530	63417759	261	0.014231655983323505
chr11	64834782	65299118	273	0.007786396197865258
chr11	68366049	68573542	266	0.010282967689413976
chr11	70050758	70300907	283	0.00811083455696426
chr11	72312230	72601976	289	0.01588689451543032
chr11	76135686	77281730	279	0.004762181668631736
chr11	80628123	80752909	265	0.005800041588295143
chr11	84253169	84655380	284	0.0020460879402575153
chr11	86261058	87385332	280	0.004710030439503035
chr11	114035046	114233527	260	0.009069626237763568
chr12	12569383	12967658	290	0.021979636860438963
chr12	23944471	24075816	299	0.00676677581651905
chr12	26271425	26845390	294	0.005724201091540242
chr12	44954419	45576022	301	0.011539900124635684
chr12	52008485	52774572	310	0.009204404234542067
chr12	57702299	58353493	302	0.0050148478477632374
chr12	66744481	67100482	313	0.003815968523235728
chr12	74225007	75395245	305	0.006041417346752945
chr12	99470564	99758032	308	5.2554595987062435e-05
chr13	32047274	32376514	321	0.0044081299683749325
chr13	48365593	48484636	318	0.012593914708945895
chr13	50286679	50881654	324	0.007432434466230055
chr14	27068447	28612777	344	0.007374790769538254
chr14	33230726	33349769	334	0.0028778600429658213
chr14	39825804	40253578	337	0.005565301305365442
chr14	66702143	67185308	342	0.0038238044116024284
chr14	68275614	68394657	328	0.001881120327038014
chr15	31866992	31986036	352	0.006173286471464446
chr15	40993218	42159078	355	0.01072042907343228
chr15	57034409	57265344	356	0.006268463106676147
chr16	3673114	3792157	367	0.002418805731114818
chr16	23306400	24105477	360	0.0060981633845189455
chr16	53398971	54351863	371	0.0062786082870956465
chr16	72474943	72643441	365	0.0019809634335541146
chr16	78613406	78732449	357	0.001199093759509909
chr16	78969234	79088278	361	0.0008259646346795062
