chrom	start	end	name	score
chr1	144836156	145076186	ENSG00000178104	0.30132619355602247
chr1	147013181	147098017	ENSG00000116128	0.4767979898069438
chr1	150782180	150849244	ENSG00000143437	0.41582880340802286
chr1	150898738	150937213	ENSG00000143379	0.41582880340802286
chr1	151030233	151040970	ENSG00000213190	0.41582880340802286
chr1	153430219	153433177	ENSG00000143556	0.4477280730160403
chr1	154127783	154167124	ENSG00000143549	0.4477280730160403
chr1	155158299	155162707	ENSG00000185499	0.38799506960512736
chr1	156052363	156109880	ENSG00000160789	0.38799506960512736
chr1	156720401	156770607	ENSG00000143294	0.38799506960512736
chr1	156785431	156851642	ENSG00000198400	0.38799506960512736
chr1	157543538	157567870	ENSG00000163518	0.3824895121634028
chr1	161284046	161332984	ENSG00000143252	0.41330175641824973
chr1	161551100	161648444	ENSG00000072694	0.41330175641824973
chr1	162601162	162757190	ENSG00000162733	0.41330175641824973
chr1	164524820	164868533	ENSG00000185630	0.38993049374104854
chr1	170631868	170708560	ENSG00000116132	0.4029297001815949
chr1	179068461	179198819	ENSG00000143322	0.39854693157817056
chr1	186280783	186344825	ENSG00000047410	0.40478587639097624
chr1	193091146	193223031	ENSG00000134371	0.4112155520627165
chr1	197053257	197115824	ENSG00000066279	0.40403258578079926
chr1	198607800	198726545	ENSG00000081237	0.40403258578079926
chr1	201977072	201986316	ENSG00000163435	0.41022182720315803
chr1	203274618	203278730	ENSG00000159388	0.41022182720315803
chr1	204485510	204542871	ENSG00000198625	0.41022182720315803
chr1	205577070	205601090	ENSG00000158711	0.40425431235034687
chr1	205626978	205649587	ENSG00000158715	0.40425431235034687
chr1	226249551	226259702	ENSG00000163041	0.4002738361600227
chr1	240931553	241520530	ENSG00000182901	0.39666601455640665
chr1	241660902	241683061	ENSG00000091483	0.39666601455640665
chr1	243651534	244014381	ENSG00000117020	0.41479671813724855
chr10	855483	977564	ENSG00000107929	0.023197294159502
chr10	3818187	3827473	ENSG00000067082	0.03541943668113157
chr10	8095566	8117161	ENSG00000107485	0.019088205824841453
chr10	21823093	22032559	ENSG00000078403	0.028018995015402545
chr10	27035521	27150016	ENSG00000136754	0.02227004935116315
chr10	31607423	31818742	ENSG00000148516	0.020878570992166248
chr10	32297937	32345359	ENSG00000170759	0.020878570992166248
chr11	57416464	57429340	ENSG00000172409	0.04746343827873987
chr11	57520714	57587018	ENSG00000198561	0.04746343827873988
chr11	61197513	61215001	ENSG00000167985	0.05596352399124331
chr11	61560108	61564716	ENSG00000168496	0.05596352399124331
chr11	69455854	69469242	ENSG00000110092	0.16546233821704645
chr11	70049268	70053496	ENSG00000168040	0.06328506874722344
chr11	71713909	71791739	ENSG00000137497	0.06328506874722344
chr11	85668726	85780924	ENSG00000073921	0.052529629965130414
chr11	85955585	85989855	ENSG00000074266	0.052529629965130414
chr11	92085261	92629618	ENSG00000165323	0.0515045695929593
chr11	95709761	96076344	ENSG00000184384	0.054277684841623035
chr11	102188214	102210134	ENSG00000023445	0.06529646123206923
chr11	108093210	108239829	ENSG00000149311	0.04125105520473077
chr11	108535751	108811657	ENSG00000178105	0.049441898669477215
chr11	111222976	111326355	ENSG00000110777	0.053216133819802336
chr11	111957496	111990353	ENSG00000204370	0.053216133819802336
chr11	113930314	114121398	ENSG00000109906	0.053216133819802336
chr11	117014982	117047610	ENSG00000168092	0.03957314935542863
chr11	118307204	118397539	ENSG00000118058	0.06801130867333985
chr11	118620033	118661858	ENSG00000110367	0.06801130867333985
chr11	118764583	118796317	ENSG00000186174	0.06801130867333985
chr11	118842416	118852001	ENSG00000176302	0.06801130867333985
chr11	119076751	119178859	ENSG00000110395	0.06801130867333985
chr11	120207786	120360645	ENSG00000196914	0.05531235428080666
chr11	128556429	128683162	ENSG00000151702	0.05746849274713427
chr11	128761250	128790930	ENSG00000120457	0.05746849274713427
chr12	389294	498620	ENSG00000073614	0.0780760689489479
chr12	1099674	1605099	ENSG00000082805	0.0780760689489479
chr12	4382937	4414516	ENSG00000118971	0.03245772084568954
chr12	6679248	6716642	ENSG00000111642	0.06744400311615573
chr12	6775642	6798738	ENSG00000126746	0.06744400311615573
chr12	7055630	7070479	ENSG00000111679	0.06744400311615573
chr12	11802787	12048336	ENSG00000139083	0.02720772631736647
chr12	12867991	12875305	ENSG00000111276	0.02720772631736647
chr12	22778008	22843599	ENSG00000139163	0.02623342375396713
chr12	25357722	25403870	ENSG00000133703	0.11704596652787648
chr12	27676363	27848497	ENSG00000110841	0.03604511539408679
chr12	46123447	46301823	ENSG00000189079	0.0017216333391776083
chr12	56473640	56497289	ENSG00000065361	0.055910546710379865
chr12	57106211	57125412	ENSG00000196531	0.055910546710379865
chr12	57482676	57489259	ENSG00000166886	0.055910546710379865
chr12	57489190	57525922	ENSG00000166888	0.055910546710379865
chr12	57853917	57866045	ENSG00000111087	0.05591054671037987
chr12	57910370	57914300	ENSG00000175197	0.055910546710379865
chr12	58141509	58149796	ENSG00000135446	0.055910546710379865
chr12	59265930	59314303	ENSG00000139263	0.019292808178458867
chr12	69201955	69239214	ENSG00000135679	0.2767271686406515
chr12	122242085	122270562	ENSG00000139718	0.005674854599631637
chr12	122457327	122499948	ENSG00000110987	0.005674854599631637
chr12	122755978	122907179	ENSG00000130779	0.005674854599631637
chr12	122957416	122985518	ENSG00000033030	0.005674854599631637
chr14	20779526	20801471	ENSG00000100814	0.02976248902522665
chr14	30045686	30661104	ENSG00000184304	0.019238157677843145
chr14	35221936	35344853	ENSG00000198604	0.24251101499722175
chr14	36985601	36990354	ENSG00000136352	0.24251101499722175
chr14	38059188	38069245	ENSG00000129514	0.11814981998464497
chr14	51186480	51297839	ENSG00000100503	0.03653371093178386
chr14	56025789	56168244	ENSG00000126777	0.03317110483912632
chr14	61110132	61124977	ENSG00000126778	0.03636097895327502
chr14	62162230	62214976	ENSG00000100644	0.0351208437257686
chr14	65472891	65569413	ENSG00000125952	0.03791672893239556
chr14	66974124	67648520	ENSG00000171723	0.03791672893239556
chr14	68286495	69196935	ENSG00000182185	0.02773284672578893
chr14	81421332	81612646	ENSG00000165409	0.031246092125169073
chr14	92432334	92507240	ENSG00000100815	0.026252442250701738
chr14	93260575	93306308	ENSG00000066455	0.026252442250701738
chr14	95552564	95624347	ENSG00000100697	0.030579605321009732
chr14	96176303	96180533	ENSG00000100721	0.030579605321009732
chr14	99635623	99737861	ENSG00000127152	0.03277773881688857
chr14	102547074	102606036	ENSG00000080824	0.05287180038532124
chr14	105235685	105262088	ENSG00000142208	0.03029280071245298
chr16	337439	402673	ENSG00000103126	0.09482078454872864
chr16	2089815	2097867	ENSG00000065057	0.09482078454872864
chr16	2097465	2138716	ENSG00000103197	0.09482078454872864
chr16	2205698	2228130	ENSG00000131653	0.09482078454872864
chr16	3775054	3930727	ENSG00000005339	0.09715953570163133
chr16	9852375	10276611	ENSG00000183454	0.11219001580175499
chr16	10971054	11026079	ENSG00000179583	0.11219001580175499
chr16	11343475	11445619	ENSG00000175643	0.11219001580175499
chr16	11348261	11350036	ENSG00000185338	0.11219001580175499
chr16	12058963	12061925	ENSG00000048462	0.10180618773108319
chr16	12070593	12668146	ENSG00000048471	0.10180618773108319
chr16	14014013	14046202	ENSG00000175595	0.10180618773108319
chr16	15797028	15950890	ENSG00000133392	0.10134370844606091
chr16	23614487	23652631	ENSG00000083093	0.102284903824262
chr16	23847321	24231932	ENSG00000166501	0.102284903824262
chr16	27413482	27462115	ENSG00000103522	0.08570511839837988
chr16	31191430	31203127	ENSG00000089280	0.12467340795089171
chr17	29421944	29709134	ENSG00000196712	0.2956382337310804
chr17	30264036	30328064	ENSG00000178691	0.2956382337310804
chr17	34136458	34191619	ENSG00000172660	0.31491293654775193
chr17	36861794	36886056	ENSG00000108292	0.31491293654775193
chr17	37026111	37078023	ENSG00000002834	0.33469072134223704
chr17	37617763	37721160	ENSG00000167258	0.34069916229246033
chr17	37844166	37886679	ENSG00000141736	0.34069916229246033
chr17	37921197	38020441	ENSG00000161405	0.34069916229246033
chr17	38465443	38513094	ENSG00000131759	0.34069916229246033
chr17	38710020	38721724	ENSG00000126353	0.34069916229246033
chr17	38781213	38804760	ENSG00000073584	0.34069916229246033
chr17	40351185	40428725	ENSG00000173757	0.262822278146099
chr17	40465341	40540586	ENSG00000168610	0.262822278146099
chr17	41196311	41277500	ENSG00000012048	0.262822278146099
chr17	41605211	41656988	ENSG00000175832	0.262822278146099
chr17	47676245	47755596	ENSG00000121067	0.32392540673325504
chr17	47865916	47906458	ENSG00000136504	0.32392540673325504
chr17	48260649	48278993	ENSG00000108821	0.32392540673325504
chr17	53342372	53402426	ENSG00000108924	0.2976911816519718
chr17	55333211	55762046	ENSG00000153944	0.29198748100952837
chr17	56429860	56494956	ENSG00000108375	0.29198748100952837
chr17	57697218	57773671	ENSG00000141367	0.3123928355071787
chr17	58677543	58741849	ENSG00000170836	0.3123928355071787
chr17	59758626	59940882	ENSG00000136492	0.3123928355071787
chr17	62006099	62009714	ENSG00000007312	0.30511510370283146
chr17	62495733	62504317	ENSG00000108654	0.30511510370283146
chr17	63524680	63557765	ENSG00000168646	0.3084568130613785
chr17	66507920	66547460	ENSG00000108946	0.30112011029591895
chr17	73772514	73781974	ENSG00000132475	0.29638123190737087
chr17	74730196	74733456	ENSG00000161547	0.29638123190737087
chr17	75276650	75496678	ENSG00000184640	0.30927230559726687
chr17	76987798	77005949	ENSG00000171302	0.3113832267549413
chr17	78234664	78372586	ENSG00000173821	0.30020449511166414
chr17	79934682	79975282	ENSG00000169696	0.29865964266482387
chr19	30302804	30315215	ENSG00000105173	0.15484437991786068
chr19	33369901	33462897	ENSG00000121289	0.06812831605794255
chr19	33790839	33793470	ENSG00000245848	0.06812831605794255
chr19	34663408	34720420	ENSG00000257103	0.15960043044275077
chr19	40736223	40791443	ENSG00000105221	0.07933749805038444
chr19	42381189	42385439	ENSG00000105369	0.07933749805038448
chr19	42772688	42799949	ENSG00000079432	0.07933749805038448
chr19	45250961	45263301	ENSG00000069399	0.17053614070781326
chr19	45281125	45303891	ENSG00000142273	0.17053614070781326
chr19	45853094	45874176	ENSG00000104884	0.17053614070781326
chr19	47421932	47508334	ENSG00000160007	0.04464903557139322
chr19	49458071	49465055	ENSG00000087088	0.044649035571393186
chr19	50168822	50177173	ENSG00000126453	0.1070839217997151
chr19	50887460	50921273	ENSG00000062822	0.1070839217997151
chr19	51364823	51383823	ENSG00000167751	0.1070839217997151
chr19	52693291	52730687	ENSG00000105568	0.1070839217997151
chr19	54024234	54083523	ENSG00000130844	0.1290378878137191
chr19	54610319	54619055	ENSG00000105619	0.12903788781371908
chr19	54641443	54659419	ENSG00000088038	0.12903788781371908
chr2	16080685	16087129	ENSG00000134323	0.08392565653025578
chr2	24714782	24993571	ENSG00000084676	0.07356511420303541
chr2	25455844	25565459	ENSG00000119772	0.07356511420303541
chr2	25956621	26101385	ENSG00000143970	0.07356511420303541
chr2	29415639	30144432	ENSG00000171094	0.09333727310753935
chr2	32582095	32843966	ENSG00000115760	0.06512116747611553
chr2	37070782	37193615	ENSG00000115808	0.0765252421706723
chr2	42396489	42559688	ENSG00000143924	0.07702470648152003
chr2	45232299	45236569	ENSG00000170577	0.07702470648152003
chr2	46520805	46613836	ENSG00000116016	0.0779309090929582
chr2	47630107	47789450	ENSG00000095002	0.0779309090929582
chr2	47922668	48037240	ENSG00000116062	0.0779309090929582
chr2	48016454	48132932	ENSG00000138081	0.0779309090929582
chr2	60678301	60780702	ENSG00000119866	0.08174152051882085
chr2	61108655	61158745	ENSG00000162924	0.08174152051882086
chr2	61704983	61765761	ENSG00000082898	0.08174152051882086
chr2	70314584	70316332	ENSG00000169564	0.08448587014552839
chr2	74588280	74619214	ENSG00000204843	0.07739575603769831
chr2	79412356	80875905	ENSG00000066032	0.07317780948011872
chr2	96914253	96931732	ENSG00000135956	0.03768130389321568
chr2	100162322	100759201	ENSG00000144218	0.025381126900975718
chr2	107021445	107084832	ENSG00000153165	0.017089126898054936
chr2	109335936	109402267	ENSG00000153201	0.04272473261976815
chr2	113973573	114036527	ENSG00000125618	0.02993092904493715
chr2	128014865	128051752	ENSG00000163161	0.024306751944265053
chr2	136871918	136875735	ENSG00000121966	0.02796262820699593
chr2	140988991	142889270	ENSG00000168702	0.02604463674197248
chr2	148602085	148688393	ENSG00000121989	0.023847452339201332
chr2	158592957	158732374	ENSG00000115170	0.028408791572562226
chr2	176957618	176960666	ENSG00000128714	0.029041042588816568
chr2	176968943	176974722	ENSG00000128713	0.02904104258881657
chr2	178092322	178257425	ENSG00000116044	0.02904104258881656
chr2	187454791	187545628	ENSG00000138448	0.02478165845782535
chr2	189839045	189877472	ENSG00000168542	0.024854789040292112
chr2	190649106	190742355	ENSG00000064933	0.024854789040292112
chr2	198254507	198299815	ENSG00000115524	0.022461845101563415
chr2	202098165	202152434	ENSG00000064012	0.029525914505343354
chr2	204571197	204603635	ENSG00000178562	0.025571813718984975
chr2	208394460	208468155	ENSG00000118260	0.029742409448129874
chr2	209100950	209130798	ENSG00000138413	0.029742409448129874
chr2	212240445	213403565	ENSG00000178568	0.02465666572600698
chr2	215590369	215674428	ENSG00000138376	0.023329276491772483
chr2	216176539	216214487	ENSG00000138363	0.025490641046182753
chr2	219845808	219850379	ENSG00000163497	0.025020666407745664
chr2	223064606	223163715	ENSG00000135903	0.03118930871902742
chr2	223725651	223809357	ENSG00000123983	0.031189308719027413
chr2	225334866	225450110	ENSG00000036257	0.02375016961049036
chr2	237476429	237491001	ENSG00000144476	0.026928797758920913
chr20	30946154	31027122	ENSG00000171456	0.17907307921777543
