chrom	start	end	name	score
chr1	204397458	204516501	42	0.09965556252774556
chr1	225636499	225755542	43	0.04272110243182285
chr1	244365314	244484357	46	0.012573846173519145
chr11	13770824	13889867	355	0.018916695596546566
chr11	45786456	45905499	359	0.0027206326940348094
chr11	69155543	69274587	370	0.004387340103590316
chr11	69597710	69716754	371	0.006585675461542224
chr11	70433449	70552493	372	0.0007088410261391025
chr11	71369432	71488476	374	0.005343692292680319
chr11	74369433	74488477	377	2.9311976762679092e-05
chr11	78034996	78154039	379	0.007228093661943026
chr11	79467049	79586093	381	0.003638053034043113
chr11	82523314	82642357	384	0.0003326705119193012
chr12	21225138	21344181	399	0.01924368350418517
chr12	57738695	57857739	411	0.003219114826889711
chr12	68692485	68811529	417	0.029883332724789807
chr12	69219090	69338133	418	0.009158076629731433
chr12	73786246	73905289	419	4.781922510960942e-05
chr15	52160565	52279608	462	0.0020842069814004075
chr15	71408139	71527183	467	0.003638385195458513
chr16	4316363	4435406	476	0.010123885580161137
chr16	5088584	5207627	477	0.00849705161283583
chr16	24525157	24644201	484	0.0575053892575075
chr16	28626954	28745997	485	0.029088701946806704
chr17	48376177	48495220	509	0.003707726267214713
chr17	50651117	50770161	510	0.01355462636190245
chr17	52471832	52590875	511	0.016935667003105857
chr17	60574077	60693120	515	0.04853946527702947
chr17	67729348	67848392	518	0.0846527938374154
chr19	9017497	9136540	540	0.0007642374899118027
chr19	10630484	10749527	541	0.016774265735795157
chr19	13794140	13913184	542	0.01800363712297076
chr19	15201464	15320507	543	0.0030925830120529106
chr19	18819730	18938773	544	0.006997989067560025
chr19	33288455	33407499	546	0.004147398285853815
chr19	35610959	35730003	548	0.0012298203128695044
chr19	39001205	39120248	550	0.005754752682506121
chr19	39565838	39684882	551	0.003006928369767411
chr19	44747880	44866923	553	0.0022124453694297077
chr2	102158355	102277398	72	0.008570529754684931
chr2	115753799	115872842	77	0.01636905643627436
chr2	140106887	140225930	84	0.0035391222354544125
chr20	35442774	35561859	557	1.5262585425823538e-05
chr20	47179830	47298778	560	0.029734821844325004
chr20	51797430	51916473	562	0.0018421393088264065
chr20	53817351	53936394	563	0.001673885638143306
chr3	1408884	1527927	110	0.0033323954719107116
chr3	102059982	102179025	129	0.0006662501409428024
chr3	107829631	107948675	130	0.003693571201622713
chr3	115564047	115683091	134	0.00020974127543480072
chr3	138759799	138878842	140	0.01439181966870655
chr3	149290691	149409735	141	0.03084611284433051
chr6	6724413	6843456	227	0.018759556805330667
chr6	18430926	18549969	230	0.014584924099671551
chr6	37215542	37334585	236	0.009879060560748035
chr6	43854071	43973114	239	0.01144028265993544
chr6	46964741	47083786	240	0.04078660327182904
chr6	52438957	52558000	241	0.01110271713870984
chr7	69739492	69858536	260	0.015138914938666653
chr8	119965349	120084394	295	0.047254534422503665
chr8	127481279	127600322	296	0.08375332492119439
chr8	128344590	128463634	298	0.014879344956541052
chr9	3664478	3783522	302	0.0006527305406309023
chr9	6669591	6788634	303	0.0006527305406309023
chr9	8968478	9087522	304	0.0005287726449576018
chr9	13144327	13263370	307	0.002371462934761508
chr9	13921790	14040833	308	0.00024468360690170087
chr9	17120480	17239524	309	0.001995212221746507
chr9	27780260	27899303	316	0.0023006047212365084
chr9	30052303	30171346	319	0.0020843294353719076
