chr10	87862638	87971930	PTEN	0.999835779
chr1	26693236	26782104	ARID1A	0.999665006
chr17	7661779	7687538	TP53	0.999335209
chr13	48303744	48599436	RB1	0.999302125
chr5	112707518	112846239	APC	0.999279455
chr3	52545352	52685917	PBRM1	0.999195273
chr3	10141778	10153667	VHL	0.999155256
chr1	6185020	6209389	RPL22	0.998961337
chr10	8045378	8075198	GATA3	0.998092072
chr5	56815549	56896152	MAP3K1	0.997789344
chrX	44873188	45112779	KDM6A	0.99767053
chr18	51028528	51085045	SMAD4	0.997653552
chr2	201233443	201361836	CASP8	0.996614
chr3	47016428	47164113	SETD2	0.996542719
chr5	68215740	68301821	PIK3R1	0.996535198
chr19	1177558	1228431	STK11	0.995866931
chr16	68737292	68835537	CDH1	0.994076871
chr16	67562467	67639177	CTCF	0.994066405
chr12	49018975	49060794	KMT2D	0.993478222
chr2	147844517	147930826	ACVR2A	0.993333101
chr17	31094927	31382116	NF1	0.993015241
chr17	12020829	12143830	MAP2K4	0.992692139
chr12	12685498	12722369	CDKN1B	0.992173455
chr21	34787801	36004667	RUNX1	0.991319539
chrX	77504880	77786233	ATRX	0.991244751
chr12	45729706	45908040	ARID2	0.990262553
chr5	87267883	87391931	RASA1	0.99020511
chr3	52401008	52410008	BAP1	0.989877252
chr9	21967752	21995301	CDKN2A	0.988741942
chr4	152320544	152536092	FBXW7	0.987725935
chr15	44711358	44718851	B2M	0.986882184
chr22	29603556	29698598	NF2	0.986388834
chr3	30606601	30694142	TGFBR2	0.983672588
chr11	64803510	64811294	MEN1	0.982550123
chr17	7311324	7315564	GPS2	0.98202202
chr18	47808957	47931146	SMAD2	0.981921991
chr16	3065297	3082192	IL32	0.981316004
chr1	77944055	77979110	FUBP1	0.978641784
chr9	136494433	136546048	NOTCH1	0.978529545
chr14	22971177	22982551	AJUBA	0.977188238
chr4	186587794	186726722	FAT1	0.976997175
chr19	46860997	47005077	ARHGAP35	0.976616904
chr16	88570403	88631964	ZC3H18	0.976463305
chrX	123960212	124422664	STAG2	0.975587255
chr19	42268537	42295797	CIC	0.975286939
chr6	29941260	29949572	HLA-A	0.973643384
chr22	23786931	23838009	SMARCB1	0.972244112
chr13	45954465	46052759	ZC3H13	0.971579754
chrX	53176283	53225422	KDM5C	0.970761472
chrX	47145221	47186813	RBM10	0.970375013
chr6	31353872	31367067	HLA-B	0.969580354
chr7	152134922	152436644	KMT2C	0.969505436
chr11	108223044	108369102	ATM	0.965068542
chr1	25818640	25832942	MTFR1L	0.964320503
chrX	136848004	136880764	RBMX	0.963873092
chr12	120978543	121002512	HNF1A	0.96022838
chr1	116514534	116571039	CD58	0.959600008
chr10	68721012	68792377	CCAR1	0.958335257
chr21	41175231	41186788	PLAC4	0.95833303
chr7	36512941	36724549	AOAH	0.954678004
chr12	51951699	51997078	ACVR1B	0.952246767
chr1	23557926	23559501	ID3	0.951831704
chr17	46029916	46225389	KANSL1	0.949939319
chr1	8352397	8848921	RERE	0.947945624
chr6	75252924	75284948	TMEM30A	0.946749515
chr6	113933028	114011308	HDAC2	0.946242413
chr6	156776020	157210779	ARID1B	0.943650098
chr1	92832013	92841924	RPL5	0.943353196
chr11	113797874	113875572	USP28	0.943267399
chr4	41359607	41700044	LIMCH1	0.941986925
chr2	178431292	178451512	PRKRA	0.941519496
chr6	75749201	75919537	MYO6	0.939673043
chr10	806933	931821	LARP4B	0.937429868
chr2	127436207	127526886	IWS1	0.936817201
chr16	3725054	3880713	CREBBP	0.936810641
chr19	48615328	48619184	RPL18	0.935461305
chr10	112950247	113167678	TCF7L2	0.93454222
chr14	68787660	68796253	ZFP36L1	0.933714778
chr17	16029065	16218185	NCOR1	0.933401605
chr15	56918623	57299281	TCF12	0.929031241
chr17	20893392	20896020	CCDC144NL	0.928621439
chr15	41621134	41773081	MGA	0.927772116
chrX	119834022	119852998	UPF3B	0.927234332
chr12	57520710	57530148	MBD6	0.926017681
chr17	58353676	58417595	RNF43	0.925278914
chr17	7243591	7252491	CTDNEP1	0.92483217
chr13	114281601	114305817	UPF3A	0.924210607
chr12	114670255	114684175	TBX3	0.920461354
chr10	73253762	73358864	CFAP70	0.919228415
chr1	22635077	22639678	C1QA	0.918165691
chr1	85265776	85276632	BCL10	0.914968325
chr16	50742050	50801935	CYLD	0.914887658
chr14	49620799	49623481	MGAT2	0.913835895
chr1	28369582	28500364	PHACTR4	0.912538437
chr6	99397629	99425331	PNISR	0.910887477
chr1	40245947	40251684	TMCO2	0.909498199
chr16	85169525	85676204	GSE1	0.908939548
chr22	41092592	41180077	EP300	0.908485666
chr4	105145875	105279816	TET2	0.908375334
chr12	112026689	112108796	NAA25	0.907436318
chr12	61708273	62279150	TAFA2	0.907347743
chrX	112774503	112840831	AMOT	0.906597624
chr14	55366391	55411830	ATG14	0.906287084
chr1	108692310	108702928	PRPF38B	0.906158387
chr10	58385345	58399220	TFAM	0.905801807
chr5	177131830	177300213	NSD1	0.90552866
chr22	28883572	29057488	ZNRF3	0.905468824
chr2	48440598	48515391	PPP1R21	0.903555492
chr6	32577902	32589848	HLA-DRB1	0.902096953
chr14	102777449	102911500	TRAF3	0.90129325
chr15	44537125	44563029	EIF3J	0.900086715
chrX	40049815	40177329	BCOR	0.898030504
chr5	148025683	148137382	SPINK5	0.897576003
chr15	41408408	41483563	RTF1	0.896663919
chrX	106813871	107000212	MORC4	0.895858523
chr4	82352498	82374503	HNRNPD	0.895510831
chr10	102503972	102633535	SUFU	0.895247107
chr18	58671465	58754477	MALT1	0.894960707
chr16	71281389	71289715	CMTR2	0.893884189
chr6	127968785	128520616	PTPRK	0.8938272
chr3	75678660	75785583	ZNF717	0.893722837
chr1	6634168	6701924	DNAJC11	0.893535665
chr12	6970913	6979936	EMG1	0.892802957
chr14	23372809	23376403	IL25	0.892495393
chr19	17049729	17075625	HAUS8	0.892357314
chr2	229763837	229923239	TRIP12	0.890771581
chr1	35268709	35422058	ZMYM4	0.890145164
chr2	206443532	206621127	ADAM23	0.890121331
chr11	9664077	9752993	SWAP70	0.887249636
chr2	152651593	152718012	PRPF40A	0.886799899
chr5	140647058	140662480	IK	0.88665772
chr2	127701027	127811187	WDR33	0.883363392
chr11	64185272	64204543	STIP1	0.883180361
chr11	8106056	8169055	RIC3	0.881531181
chr9	133061981	133071861	CEL	0.881062674
chrX	70528940	70908711	TEX11	0.878592359
chr22	46684410	46738252	CERK	0.878584352
chr4	88007635	88077777	PKD2	0.877242527
chr2	218264129	218270178	AAMP	0.877120123
chr3	36993226	37050896	MLH1	0.876929988
chr17	50719565	50756219	LUC7L3	0.876415039
chr10	127549309	127553540	NPS	0.876348904
chr6	43307134	43369647	ZNF318	0.875348361
chr7	139340359	139423457	LUC7L2	0.875265445
chr6	131573966	131628242	MED23	0.874495549
chr3	50088919	50119021	RBM5	0.872784032
chr17	7561919	7571969	SENP3	0.871595671
chr22	40044817	40335808	TNRC6B	0.871573561
chr1	70205682	70253052	SRSF11	0.870953342
chr15	38252836	38357249	SPRED1	0.870196769
chr13	110712736	110723339	ING1	0.869280649
chr10	88953813	89029605	FAS	0.868311268
chr16	67028984	67101058	CBFB	0.867773915
chr8	22440819	22541142	PPP3CC	0.867493195
chr10	28532493	28623112	WAC	0.867223052
chr7	121325367	121341104	WNT16	0.8623313
chr19	48954815	48961798	BAX	0.86196214
chr20	32358330	32439319	ASXL1	0.861275786
chrX	41085445	41236579	USP9X	0.85880636
chr22	28794555	28800597	XBP1	0.858676642
chr16	57994676	58000672	ZNF319	0.857631107
chr6	107867756	107958208	SEC63	0.856915335
chr2	224470150	224585397	CUL3	0.856454189
chr17	68511780	68551319	PRKAR1A	0.856123037
chr3	57625454	57693077	DENND6A	0.855727341
chr4	139301446	139420033	NAA15	0.854419979
chr10	21756548	22003769	DNAJC1	0.854214516
chr16	57447425	57461270	COQ9	0.853727617
chr7	30496621	30504841	GGCT	0.85292944
chr1	202007945	202017183	ELF3	0.852910078
chr4	168092537	168187736	ANXA10	0.852542536
chr12	6870935	6889358	SPSB2	0.851749269
chr2	171922448	171983686	HAT1	0.851700276
chr10	68341107	68407294	RUFY2	0.851408766
chr1	16124337	16156069	EPHA2	0.850820618
chr15	92886203	93027996	CHD2	0.850802658
chrX	11758159	11775772	MSL3	0.849065013
chr2	207821288	208025527	PLEKHM3	0.848467927
chr4	112637077	112657696	LARP7	0.847343129
chr2	55287842	55419895	CCDC88A	0.84725357
chr6	80003887	80042527	TTK	0.847196253
chr14	21385194	21456126	CHD8	0.846365163
chr9	95442980	95517057	PTCH1	0.844911324
chr2	158171073	158456753	CCDC148	0.842751376
chr3	58332880	58426127	PXK	0.842307136
chr22	50486784	50490648	MIOX	0.842129603
chr2	27889941	28338901	BABAM2	0.841870889
chr5	91368631	91383317	ARRDC3	0.841686355
chr4	183099257	183320777	WWC2	0.841662187
chr6	95577485	95609470	MANEA	0.841159037
chr5	171387116	171411810	NPM1	0.8409401
chr12	101745499	101830959	GNPTAB	0.840763256
chr1	202331544	202341984	UBE2T	0.840759806
chr3	49674014	49683971	APEH	0.840590265
chr15	40087890	40108892	BMF	0.839823728
chr3	53156009	53192717	PRKCD	0.838832078
chr2	174395730	174429575	SCRN3	0.837531953
chr6	135181308	135219173	MYB	0.835397084
chr6	131135467	131283535	AKAP7	0.833972829
chr18	50266882	50281774	MBD1	0.833888652
chr11	66337333	66345125	BRMS1	0.833197238
chr10	101784443	101818465	OGA	0.831380719
chr19	10960932	11079426	SMARCA4	0.82896604
chr15	43403061	43510728	TP53BP1	0.828868692
chr19	44141554	44160313	ZNF234	0.828278716
chr2	231706895	231713551	PTMA	0.827909245
chr1	119911553	120100779	NOTCH2	0.827342455
chr12	80099537	80380880	OTOGL	0.82678463
chr6	132445867	132513198	STX7	0.825696988
chr16	54283304	54286787	IRX3	0.825301635
chr8	38386207	38409527	LETM2	0.825257602
chr18	3411608	3459978	TGIF1	0.824871838
chr14	103561896	103714249	KLC1	0.824467157
chr14	61762420	61796428	SNAPC1	0.824255698
chr6	75601509	75718281	SENP6	0.824135154
chr5	146203605	146289223	RBM27	0.821509413
chr17	60600193	60666280	PPM1D	0.821438139
chr17	45132600	45144181	ACBD4	0.821168928
chr21	30746794	30747259	KRTAP21-2	0.820755101
chr1	85649417	85708433	ZNHIT6	0.820151888
chr3	52704955	52711148	SPCS1	0.817126793
chr11	43311963	43344529	API5	0.817017552
chr3	49015488	49022293	DALRD3	0.816415662
chr22	38685543	38701556	JOSD1	0.816003732
chr4	154781213	154828813	RBM46	0.815702872
chr1	50960745	50974634	CDKN2C	0.815159099
chr3	158571163	158607252	MLF1	0.814662412
chr12	6828407	6839847	P3H3	0.814308935
chr1	42463221	42657190	CCDC30	0.81413435
chr4	26576437	26756223	TBC1D19	0.81382917
chr14	73644875	73703732	DNAL1	0.812817806
chr6	136342281	136550819	MAP7	0.812180491
chr3	9362971	9386791	THUMPD3	0.812123366
chr5	55935095	55995022	IL6ST	0.812080084
chr9	122844556	122905359	RC3H2	0.811282591
chr22	35257452	35295807	HMGXB4	0.808740647
chr2	43222402	43226606	ZFP36L2	0.808317728
chr16	24537693	24572863	RBBP6	0.80826134
chr8	6406592	6648508	MCPH1	0.806325314
chr3	35638945	35794496	ARPP21	0.805494531
chr15	72114258	72143692	SENP8	0.804369034
chr7	101154456	101161596	AP1S1	0.803690905
chr19	33299934	33302534	CEBPA	0.803650795
chr10	67921899	68075301	HERC4	0.802979921
chr12	98515579	98550351	TMPO	0.802836473
chr3	10293131	10321112	SEC13	0.802271386
chr4	20728606	21948772	KCNIP4	0.801865048
chr11	57753243	57819546	CTNND1	0.801251487
chr9	36036913	36124455	RECK	0.800176718
