chrom	start	end	name	score
chr1	5682024	5801067	1	0.019313611472881055
chr1	8582875	8701918	3	0.01387653244650104
chr1	10440421	10559465	5	0.0011319970524967648
chr1	14903269	15022312	7	0.0007154067001054785
chr1	23421985	23541031	10	0.009852009082282806
chr1	26967700	27086743	12	0.01745453100258369
chr1	49178590	49297633	20	0.0037276231504603484
chr1	110557228	110676272	27	0.021382137392232353
chr1	143693827	143812971	30	0.000132924142721227
chr1	152245039	152364082	33	0.0005870384497079428
chr1	152726284	152845328	34	0.0004943637742528762
chr1	158241629	158360672	39	0.0018380595313416126
chr1	164903353	165022396	46	0.00032359725701096043
chr1	194362806	194481849	55	0.0004532330409605019
chr1	201714107	201833151	57	0.0004982333223216994
chr1	206319717	206438750	61	0.0009029709374740153
chr1	225226858	225345901	63	0.0002595315284070637
chr1	228326636	228445679	66	0.0005691201219337551
chr1	235105163	235224207	68	0.0005978696900336219
chr1	236205178	236324222	69	0.0006099545185413723
chr1	239796890	239915933	71	0.0008701633435610409
chr1	241062452	241181495	72	0.0009401896152881782
chr1	241897545	242016588	73	6.111531423066876e-05
chr1	246161457	246280500	74	0.0004053512349649368
chr10	2924668	3043712	560	0.0001994994574771627
chr10	12538531	12657574	564	0.00040648966161750905
chr10	21888887	22007931	566	0.0019334520117461915
chr10	26051549	26170593	567	0.00013307965787693354
chr10	49022527	49141570	573	0.002144602668069183
chr10	51396718	51515762	576	0.001153711402743467
chr10	54620718	54739762	578	0.0012651721607498713
chr10	56915261	57034304	580	0.0028890479041454543
chr10	66510836	66629879	584	0.000379347692477936
chr10	67211454	67330497	585	0.0015300398079243118
chr10	74252078	74371121	588	0.0013752818006410772
chr10	76248720	76367764	591	0.0001193999391984944
chr10	78426003	78545046	593	0.0027149452754321158
chr10	88074446	88193489	596	0.009175106994822707
chr10	109417813	109536856	598	0.0010111476929793978
chr11	2712010	2831053	604	0.0025900460115298933
chr11	5519248	5638292	606	0.01169343394492292
chr11	9882931	10001975	607	0.00045726344484793205
chr11	34470931	34589975	610	0.0013373020963330423
chr11	38587962	38707005	612	0.0016466249609399708
chr11	45736875	45855918	614	0.0065710732249864385
chr11	60809005	60928050	616	0.004293315605291899
chr11	63159778	63278821	619	0.004557123244883687
chr11	64329965	64449009	621	0.006401660184991067
chr11	65994575	66113618	623	0.00233828164250934
chr11	68576687	68695730	626	0.0026719436059896642
chr11	69974362	70093406	629	0.0005108943562785685
chr11	71910931	72029974	633	0.006038895122212487
chr11	74716194	74835238	636	0.002894634720103961
chr11	76616612	76735655	638	0.0015119526070059622
chr11	78952241	79071284	643	0.0003176733369346825
chr11	79608812	79727855	644	0.0011301274444655532
chr11	80711014	80830058	645	0.00034845614599257174
chr11	81340313	81459357	646	0.00015817720925435705
chr11	84003553	84122596	649	0.0005870003247377898
chr11	84549435	84668479	650	0.0011163140241563989
chr11	85748903	85867946	652	0.00019901885287207797
chr11	86413436	86532480	653	0.0011809306940605605
chr11	88912110	89069374	655	0.00040010534982048626
chr11	114476231	114595275	659	0.008663518841690265
chr11	114699223	114818266	660	0.0037599561048235674
chr11	124236556	124356404	663	0.0004597000988050235
chr12	1755312	1874356	667	0.0020435710808663836
chr12	6195312	6314356	669	0.0005817851067120777
chr12	9429696	9548739	671	0.0010159188614873823
chr12	11691544	11810588	673	0.009954300225664754
chr12	12615544	12734588	675	0.011683404302489089
chr12	21046481	21165524	678	0.007291691848492609
chr12	24034463	24153506	679	0.0012697289624518588
chr12	26916800	27035844	682	0.002619462043937833
chr12	43220064	43339107	684	0.004408466683158924
