chrom	start	end	name	score
chr1	150599202	150769139	16	0.021734356739493484
chr1	151577276	151824681	1	0.008762112201788165
chr1	153567828	153761700	28	0.0014626135781208136
chr1	154866700	155184646	20	0.0033810320793679575
chr1	155767082	156064210	9	0.01891104160284627
chr1	160944223	161118797	8	0.009673249155235103
chr1	171763783	172395327	19	0.00230530066862366
chr1	201969765	202088809	22	0.0024575658894681537
chr1	204424391	204543434	4	0.01668215316171209
chr1	234768090	234887134	10	0.005800763690138009
chr10	4977348	5233692	240	0.005529044386375837
chr10	8812766	9282706	249	0.008729325153032236
chr10	11633710	12122522	255	0.0028998077990993725
chr10	31873372	32524107	247	0.00429114856877551
chr10	53200357	54407754	248	0.0005083708398194997
chr10	59942726	60061769	250	0.0002076005375800823
chr10	61321198	62034364	242	0.0021417862971436284
chr10	63604255	63953573	256	0.0004554177349506694
chr10	74894765	75176209	245	0.00374958789805785
chr10	75300349	75448565	258	0.0004550747671246772
chr10	77864432	78188035	257	0.0025961440151388874
chr10	81308268	82447504	252	0.0011794238551664144
chr10	124456338	124978026	254	0.0006151321066164341
chr11	62148903	62573639	272	0.0017875064667378369
chr11	65460963	65580006	275	0.0009593697686985549
chr11	67152147	67373325	286	0.0031659994134433955
chr11	69619952	69738995	285	0.002130399505851691
chr11	70319004	70438048	276	0.0014288207345939266
chr11	71260778	71467434	282	0.000386810776014134
chr11	73143017	73470545	288	0.001033773450627959
chr11	74190902	74844343	270	0.0008382900354436247
chr11	77829950	77948994	259	0.0032233433136431874
chr11	82111694	83074566	268	0.0010319863367205318
chr11	88445898	89085879	267	0.00021452516754443262
chr11	91450563	91845351	277	0.0004422328768832789
chr11	100200601	100585952	262	0.0004710184510648956
chr11	102447525	102575127	271	0.0010887846362745807
chr12	641689	875437	315	0.0041145887968883675
chr12	3896569	4521478	295	0.00209137838361266
chr12	6385923	6620669	312	0.002835463695744818
chr12	19624312	20151125	293	0.005447281391738406
chr12	24935138	25138824	291	0.009590637429604941
chr12	26155824	26274868	311	0.0015946023625852616
chr12	27159250	27571622	300	0.0035934946278242067
chr16	1945841	2333827	368	0.011367020795489534
chr16	4152081	4295376	373	5.605752028603075e-05
chr16	11637627	11775844	359	0.01575063816889138
chr16	18828123	19591425	369	0.008235265458598992
chr16	29033031	29729008	362	0.008308035498920636
chr17	32736739	33017432	384	0.0038971514766008124
chr17	37680110	37860694	388	0.0002192320472962242
chr17	39658666	39777709	375	0.02923509171289798
chr17	48251532	48479073	383	0.00828730055279294
chr17	50515699	50712150	386	0.006258525429812126
chr17	52326898	52711688	377	0.0034291244906746554
chr17	62571334	63664492	382	0.006943246985320204
chr17	69200499	69893902	374	0.00614882064436048
chr17	75471682	75590726	381	0.009675698505145993
chr17	79760434	80083049	390	0.003568122238461001
chr18	3374769	3499944	396	0.0383861836955793
chr18	9476697	10938629	406	0.0059270510064731614
chr19	33028459	33325884	410	0.013094598265660225
chr19	34977767	35361113	417	0.0052787193746607515
chr19	37298703	37801292	408	0.011713583587106259
chr19	39174301	39369276	411	0.01552814070907511
chr19	44694140	44813196	412	0.005067399828275391
chr2	4892318	5108590	51	0.01572848190215772
chr2	28537956	28657000	44	0.0065690067312997
chr2	42906359	43137250	48	0.0014398257619172448
chr2	56492365	57045716	55	0.0007947577980529307
chr2	61053389	61713250	31	0.004958957519714731
chr2	66831659	67020022	50	0.006935482883433262
chr2	84934804	85393222	39	0.006697477243837416
chr2	102460067	102884836	38	9.716836497754004e-05
chr2	113265416	113384460	35	0.0020233588830260284
chr2	115361023	115746221	32	0.0014915015592079097
chr2	117069373	117563143	60	0.0002215403808784504
chr2	122445691	123519575	42	0.00045645156776561997
chr2	136001658	136530193	59	0.00022596445990447653
chr2	139895344	140296379	53	0.0003681234605975955
chr2	158667607	159034837	40	0.0005541320849496534
chr2	176734215	177614813	33	0.0005965417569592309
chr2	190189956	190667595	30	0.000871957865527326
chr2	194224646	195113419	41	0.00046973903006583014
chr2	203393734	204010198	57	0.0005018872495364446
chr20	35471464	35590410	424	0.012458137526529686
chr20	44088199	45079172	427	0.0063143377678973114
chr20	47329761	47448804	428	0.0048129653962557094
chr20	50037825	50270003	425	0.004376805253690838
chr20	53518081	53637124	434	0.020381129154364932
chr20	56959958	58005174	430	0.0014712374417235707
chr20	60270269	61275884	432	0.00232775451651086
chr20	62302538	62421582	423	0.0015954797240779123
chr21	26191662	27839270	438	0.0010350939473267743
chr21	33368742	33487784	435	3.902078899915308e-06
chr3	101273206	102725691	84	0.0002730349980864421
chr3	107913121	108032165	78	0.0013742593724239247
chr3	109902444	111117557	86	0.0017199455546298562
chr3	115430929	116254291	88	0.006703385278956968
chr3	149069229	149903561	73	0.006159506575365701
chr3	166302619	166885981	72	0.010217418500233727
chr3	168966038	169085081	64	0.011374725879241885
chr3	169830658	169949702	74	0.027309382875876243
chr3	172462495	172581538	61	0.02120776593086314
chr3	174401008	174577097	81	0.006989354185471074
chr3	177352018	177696805	77	0.01325155840221902
chr3	181555805	182210768	65	0.0034577866343524517
chr3	189033007	189254044	87	0.003388257777173906
