chrom	start	end	name	score
chr1	40525328	40677071	1	0.017863099423281778
chr1	62065390	62718530	6	0.004352863970152227
chr1	109251510	110177361	7	0.0021437733041710324
chr1	31890745	32119632	8	0.0023022588187870483
chr1	10765757	11069149	9	0.0016493359530178533
chr1	46752197	46971690	11	0.0021249237827298904
chr1	15931422	16111543	12	0.00284886302392526
chr1	150911747	151052747	14	0.017423581034595344
chr1	204383521	204524521	15	0.005600676334234268
chr1	155112079	155253079	17	0.006391640723292223
chr1	160978991	161119991	18	0.013592434683835097
chr1	234890001	235031001	19	0.0012762995465617547
chr1	171862709	172192253	20	0.0017045784854584497
chr1	202040510	202181510	24	0.002829368464610259
chr1	156123744	156264744	27	0.0009798694267241514
chr1	151714144	151855144	29	0.0010829610777089815
chr1	153568873	153709873	30	0.0005144622743825462
chr1	180441769	180582769	31	0.0005144622743825462
chr1	158334313	158604360	33	0.0014617499717276825
chr10	33221262	33362262	34	0.00629421220582238
chr10	8642581	8846874	35	0.0018090065413670325
chr10	5171366	5312366	37	0.0010266820153656548
chr10	76432072	76579554	41	0.001961973655017027
chr10	123028582	123180844	44	0.0003563324482203562
chr10	61692347	61833347	46	0.005010066313730901
chr10	79441266	79683324	49	0.007841514801956844
chr10	51415563	51556563	50	6.547742967456489e-05
chr10	73820234	74024068	51	6.547742967456489e-05
chr10	77020546	77161546	52	6.547742967456489e-05
chr10	65313148	65717851	53	0.0008238566359217853
chr11	34650986	34791986	54	0.005998441369158705
chr11	32250564	32391564	57	-0.0003462192835394644
chr11	45625929	46021165	58	0.0020757063060347037
chr11	69513323	69654323	59	-0.0018364065831201518
chr11	77488877	77629877	60	0.015462035463483395
chr11	85130017	85511645	64	0.007913492711423279
chr11	66784768	66925768	65	0.0023782943974481018
chr11	70163326	70304326	66	0.018117224290728425
chr11	73936300	74292579	67	0.002530085504273496
chr11	102202526	102510100	68	0.012726703192404789
chr11	81066559	81638917	70	0.002889210903845091
chr11	91088502	91352510	71	0.002337004677004072
chr11	61972432	62156281	72	0.0060042644904812455
chr11	65227407	65368407	73	-0.0012111804456742471
chr11	69111765	69252765	74	0.009879823393980152
chr11	88284359	88534593	77	0.0013014187257475932
chr11	63622382	63763382	79	-0.0008746102896008884
chr11	118277944	118418944	80	-0.0018364065831201518
chr11	72998086	73257499	81	-0.0018364065831201518
chr11	82398914	82658574	83	-0.0006784118776950391
chr12	25010267	25151267	86	0.027334337346239523
chr12	19583198	19901717	87	0.010019364284602322
chr12	849174	990174	89	0.002276537117729313
chr12	26298074	26439074	90	0.006239301914054697
chr12	6833080	6988460	92	0.004025852264867941
chr12	12153231	12294231	93	0.0014035988483595077
chr12	27422920	27563920	94	0.005173711756446917
chr12	4152344	4434129	95	0.002052052421547276
chr12	69226892	69367892	97	0.025247322499228887
chr12	58129996	58270996	98	0.003758211522792814
chr12	46584368	47067860	99	-0.0008544801126964727
chr12	125129323	125270323	100	-0.0016174668600491475
chr12	60500550	60724284	102	0.006328488895252178
chr12	66031720	66366330	104	0.003018972794845038
chr12	56499129	56640129	105	-0.0016174668600491475
chr12	48088278	48229278	106	-0.0016174668600491475
chr12	52506621	52647621	108	-0.000658928152789623
chr12	114523775	114725895	109	-0.0016174668600491475
chr12	95924915	96065915	110	-0.0013556976612000148
chr12	67498876	68060835	111	0.0023315045050801065
chr12	53368480	53509480	112	-0.0016174668600491475
chr12	54486837	54627837	115	-0.0011927063443870661
chr12	73716211	74113240	116	0.0030365433707119677
chr13	30894023	31106871	119	0.0012020474895139005
chr13	73841724	73982724	120	0.0030930455153601994
chr13	27470066	27765153	122	0.006471221459688939
chr13	24509624	24709147	125	-0.0005586641060804858
chr14	35831881	35972881	126	0.025718099420435864
chr14	50370906	50511906	128	0.006272949634105318
chr14	26940880	27162546	129	0.01573537793041458
chr14	68971043	69112043	130	-0.004027016439970852
chr14	37907747	38048747	131	0.04151795834179393
chr14	77450830	77591830	132	-0.0032476285016998893
chr14	31488105	31923924	134	0.004658272264351371
chr14	103587112	103728112	136	-0.004027016439970852
chr14	23924340	24128666	138	-0.0031892447310540853
chr14	75698748	75839748	139	-0.0038344785209793114
chr14	61923804	62064804	140	-0.0028344280725023574
chr14	65042489	65183489	141	-0.004027016439970852
chr14	39293224	40081607	142	-0.003260351541552232
chr14	105035196	105418925	143	-0.0032585200340154168
chr15	71911306	72052306	145	0.0030901790587361906
chr15	51728844	52108187	146	0.002784101119973575
chr15	93239479	93380479	149	0.0024884538285808496
chr15	25865760	26046380	151	0.0016484676648264654
chr15	63719261	63860261	152	0.0009108703480937754
chr15	53502967	53698832	153	0.0005201002348644025
chr15	90732616	90873616	154	0.00010586567595224631
chr15	72709294	72874464	155	0.00010586567595224631
chr15	85871390	86035456	156	0.00010586567595224631
chr16	11735252	11876252	158	0.0038868223276206397
chr16	25117014	25667391	161	0.004587785411099173
chr16	7347398	7488398	162	-9.872946948269325e-05
chr16	4171783	4312783	163	0.0014799225350829827
chr16	19228550	19503760	164	-9.872946948269325e-05
chr16	79245796	79386796	166	-3.097560134294681e-05
chr16	77890891	78031891	168	-3.097560134294681e-05
chr16	52244966	52440619	169	0.002255698783753462
chr16	57494028	57678447	170	-3.097560134294681e-05
chr16	69425292	69722755	171	-3.097560134294681e-05
chr17	37802451	37943451	176	0.0162096852031079
chr17	50572680	50733297	177	0.010090990404100183
chr17	73453421	73594421	178	0.007808445447858467
chr17	48652670	48793670	180	0.005065595789577304
chr17	39641993	39782993	182	0.004551189616524807
chr17	46193139	46334139	183	0.005468329834486632
chr17	36052063	36203554	189	0.004551189616524807
chr18	3363994	3504994	193	0.008684130146005775
chr18	29112909	29363706	196	0.0067804053354372515
chr18	42715207	43458048	197	-0.0007383488385157029
chr18	23862085	24097996	200	-0.0004357842552119044
chr18	26638743	26810289	202	0.0011313878568004595
chr18	46317510	46472197	203	-0.0012634568848863752
chr19	10775328	10916328	204	-0.0024414569692401537
chr19	18319542	18688418	205	-0.001995363394486748
chr19	13430376	13575704	206	-0.005184398506459584
chr19	9131376	9272376	207	-0.004837365930540769
chr19	15371360	15512360	208	-0.0010828115347804293
chr19	35418050	35746588	209	0.000973569271283954
chr19	38772087	38940327	210	0.020909919843746263
chr19	39916166	40062584	211	-0.0007083613661968209
chr19	45185523	45326523	213	0.005122504024341388
chr19	33719971	33860971	216	0.02488734250448953
chr19	56917211	57269434	217	0.00016298465782359046
chr2	61143789	61421230	218	0.0024570314013736367
chr2	85333353	85589857	220	0.00020441981534788625
chr2	28757268	28898268	221	0.0005942327115417473
chr2	43278381	43419381	222	0.00020441981534788625
chr2	67053308	67343973	224	0.0005002037027224178
chr2	69912623	70053623	226	0.00020441981534788625
chr2	68121683	68262683	227	0.00020441981534788625
chr2	56771811	57226050	229	0.0011361052348660826
chr2	20316099	20457099	230	0.00020441981534788625
chr2	190886140	191771935	232	0.003305775169383285
chr2	177785374	178272102	233	0.0056884735487475815
chr2	116454543	116747695	234	0.00744226439986689
chr2	114011509	114152509	236	0.0005431839044233998
chr2	103204954	103401096	239	0.0015015599560485062
chr2	159569792	159824461	242	0.001697857640246881
chr2	140718692	141039434	247	0.001186538510027345
chr2	213503704	213687309	249	0.0010079577667172657
chr2	118189455	118352558	250	0.0005431839044233998
chr20	52333026	52474026	252	0.02381588966999449
chr20	60876181	61017181	253	0.0105621573848122
chr20	48695446	48836446	254	0.008145573871015279
chr20	50421344	50562344	255	0.008145573871015279
chr20	45980084	46121084	256	0.008145573871015279
chr21	34730021	34871021	260	0.0076503305378785
chr22	30290941	30431941	266	0.00393848798850079
chr22	29565733	29706733	269	3.62492959485935e-05
chr22	38618390	38759390	270	0.0015251627404310499
chr22	38017989	38158989	271	3.62492959485935e-05
chr3	32230903	32371903	275	-0.00014242937837618668
chr3	66671135	66812135	276	0.0015392666699527255
chr3	13648843	13789843	278	0.0006255477742624864
chr3	9292675	9433675	279	0.002308276460545715
chr3	69311439	69653599	280	0.0010752232494793154
chr3	61325511	61490461	281	0.0023349509459679885
chr3	53163262	53304262	283	-0.00014242937837618668
chr3	4779662	4920662	286	0.00025945918716221094
chr3	12208992	12541216	287	0.0005133297150976693
chr3	172197442	172338442	288	0.008971975650903572
chr3	181266352	181568374	290	0.004052858890583004
chr3	168650028	168791028	291	-3.2254233235826865e-05
chr3	148846723	149370470	294	0.004090950798890426
chr3	166082591	166307230	295	0.004244993489856866
chr3	169554954	169695954	296	0.012526761765561433
chr3	107654292	107795292	299	0.001878755234003399
chr3	177102711	177382876	300	0.0019007052422801124
chr3	174067126	174208126	302	0.0017922542883304041
chr3	113505072	114088975	303	0.0015954967804486873
chr3	188989993	189130993	304	0.0005531079741517037
chr3	193680488	193821488	307	0.0005481694169021653
chr4	10188691	10329691	311	0.0031607364821225857
chr4	33320160	34189293	312	0.005809088039667038
chr4	1702816	1843816	313	0.0015102571372721237
chr4	20415165	21196842	314	0.0028772254537878027
chr4	38044902	38439245	316	0.0017449337507858245
chr4	13271041	13924490	319	0.0007278268922274198
chr4	57524873	57665873	320	0.011393637841848027
chr4	73892321	74110725	321	0.0018198827324141169
chr4	144165899	144334243	324	0.0034909417829470726
chr4	64965905	66014783	325	0.0005942943226977007
chr4	77375860	77546667	327	0.0012213692281208962
chr4	90902222	91043222	330	-0.001834942700033129
chr4	60396548	61132360	331	-0.001834942700033129
chr4	153934943	154075943	332	-0.001834942700033129
chr4	119937675	120078675	333	-0.001834942700033129
chr4	78220622	78361622	334	-0.001834942700033129
chr4	74426383	74614901	335	0.0034876306137877847
chr5	14099817	14321865	336	0.008402210272310081
chr5	36245993	36386993	339	0.014885405065837123
chr5	11860421	12134600	341	0.0018271221148415892
chr5	1079224	1220224	342	0.006613509770270641
chr5	19851804	20133333	343	0.021350970950472982
