chrom	start	end	name	score
chr1	151549752	151797157	14	0.009269152282790299
chr1	204393519	204512562	16	0.009779011223181137
chr1	160914013	161088587	17	0.015959421996732163
chr1	150571678	150741615	18	0.020608515056502068
chr1	171732923	172364467	19	0.025313413553487745
chr1	154839176	155157122	20	0.002288336832319874
chr1	153540304	153734176	22	0.005969642718004202
chr12	25088072	25291758	70	0.00033224045487666897
chr12	19777246	20304059	71	0.0019063274228590214
chr12	4005735	4630644	73	0.00044704697548023764
chr12	27312183	27724555	75	0.0003145241381488137
chr12	26308757	26427801	76	0.001152484057443993
chr12	6495089	6729835	77	0.0001703923266398161
chr12	58142641	58261684	78	0.0001512537238628574
chr12	46271490	47236325	79	0.0015113444166909604
chr12	125136985	125256028	80	0.00018774619124810936
chr12	60147861	60485820	81	0.0007215232755064505
chr12	56477038	56596081	84	0.00013693751771517063
chr12	48096881	48215924	85	0.00034930847778238874
chr12	65893626	66407162	87	0.0006096810244036848
chr12	52494771	52613815	88	0.0003090393934419937
chr12	67641689	67887068	91	0.00028343739749686533
chr12	69490369	69636780	92	0.004543475636388277
chr13	30777977	31270349	94	0.0002865205300319053
chr13	73860342	73979385	95	0.0008052917133730718
chr13	106659219	107933285	97	0.00016997686099685195
chr13	27726123	28583697	98	0.0004394153720962048
chr13	71624228	72471666	100	0.0002290484258522845
chr14	35775195	35986175	101	0.0006188508249323765
chr14	50417151	50545245	102	0.0028503727136588598
chr14	37812674	38058478	103	0.0006939500337219571
chr14	31251044	32181349	105	0.001851560797626859
chr14	41913376	42582518	107	0.0012733065189701146
chr14	23728314	24063263	108	0.0006395603664142871
chr14	61940424	62059467	109	0.0004113408793629647
chr15	52141530	52835762	111	0.001482837456962789
chr15	71820985	71940029	112	0.0006166039754052933
chr15	90660290	90871493	113	0.0004404803972417888
chr15	25582394	25937167	114	0.0032568513823761146
chr15	72595833	72930283	116	0.0008469334906674555
chr15	53463596	53760395	117	0.0006071222369283031
chr16	11731483	11869700	120	0.023007624425904157
