chrom	start	end	name	score
chr10	47184277	47650133	244	0.02792221408407664
chr11	39985638	40635879	287	0.007455046950529489
chr11	45931344	46402442	264	0.03552135676102928
chr12	12722317	13120592	290	0.13674891028512504
chr12	24097405	24228750	299	0.024610050562058443
chr12	26424358	26998323	294	0.00045615580396522125
chr16	78647303	78766346	357	0.029675157263806554
chr16	79003131	79122175	361	0.020656704728061998
chr16	83335710	83621823	372	0.08627334329020937
chr17	32188861	32931084	394	0.007906162333788488
chr17	37461077	37780421	392	0.005528268276676362
chr17	39069342	39414905	376	0.004402810082734532
chr18	3642355	4275605	403	0.13275471946773004
chr18	24556761	25643499	400	0.0002502867356054295
chr18	48538690	48667732	399	0.04282201680331
chr2	233842479	234065299	37	0.036864067456635646
chr20	38766260	39467155	421	0.03394643867596997
chr20	45218930	46034672	431	0.03394643867596997
chr20	47640176	48144702	433	0.03394643867596997
chr20	53847353	54168429	422	0.010377873630900706
chr4	60108690	61998938	102	0.03109134047024122
chr4	82008971	83123763	108	0.01548673996415196
chr4	87477561	87703607	120	0.02010056342692069
chr7	50414326	50832599	182	0.21143761545862888
chr7	110399106	110518149	174	0.009819280135904213
