chrom	start	end	name	score
chr1	5758281	6359521	2	0.014720975425381502
chr1	7856438	8493750	15	0.011333558973503254
chr1	14711802	15089994	27	0.01853383275777757
chr1	26780389	26989453	5	0.03845208176100651
chr1	51217575	51336619	13	0.0010168832057688966
chr1	93088471	93294034	11	0.004314638717589626
chr1	114725108	115702047	7	0.006733456713872314
chr10	58218870	58714895	243	0.002609899769600458
chr10	77295386	77414429	251	0.0009978646972519307
chr10	77918891	78043175	246	0.0048277135110418225
chr10	89560990	89680033	241	0.01063101496730809
chr10	89965304	90084347	239	0.015484364312407307
chr11	62685002	63185231	261	0.00635630971569134
chr11	64602254	65066589	273	0.005123282006079719
chr11	68133517	68341010	266	0.004087918966443151
chr11	72023274	72313020	289	0.0018903063530997376
chr11	75846730	76992775	279	0.0021817089785260927
chr11	83964212	84366423	284	0.0002282668126727179
chr11	85972100	87096374	280	0.002309203587027914
chr11	113905768	114104249	260	0.002422479689021053
chr12	12722317	13120592	290	0.001218408824697726
chr12	24097405	24228750	299	0.00015166959753087068
chr12	26424358	26998323	294	1.55664320279451e-05
chr12	45348202	45969805	301	0.007712858239250582
chr12	67138261	67494262	313	0.001664478154173571
chr12	74618787	75789025	305	0.006235579106120689
chr12	99864342	100151810	308	3.506328516400374e-05
chr14	27537653	29081983	344	0.0008563902929277169
chr14	33699932	33818975	334	0.003590078953460084
chr14	40295008	40722782	337	0.0008563902929277169
chr14	67168861	67652025	342	0.000898848482452082
chr14	68742331	68861374	328	0.0018445847569719088
chr15	32159195	32278239	352	0.0037416973784320765
chr15	41285416	42451276	355	0.011993232154172315
chr15	57326607	57557542	356	0.020882638554780945
chr16	72508842	72677340	365	0.000853665450203197
chr16	78647303	78766346	357	0.0007998164853410412
chr16	79003131	79122175	361	0.0005567476130775832
chr16	83335710	83621823	372	0.003170273356745693
chr17	7514447	7633490	378	0.11427309137018397
chr17	11812452	11954002	380	0.05696693513027802
chr18	3642355	4275605	403	0.004919556254800867
chr18	7209439	8629661	397	0.03596346507882557
chr18	24556761	25643499	400	7.587903672931915e-05
chr18	48538690	48667732	399	0.052080892519709265
chr2	43102216	43918289	47	0.00013554933898353203
chr20	14912725	15031768	420	0.1722860579560748
chr21	24076479	25427169	437	0.04023302583017979
chr21	36239813	36482914	436	0.00010967617712188621
chr22	22852244	23313369	444	0.017574506300257337
chr22	25775753	25894796	443	0.004239898385692941
chr3	50335869	50878720	67	0.010326417875838495
chr3	60412240	60531283	62	0.010255892155275313
chr3	71264717	71383760	69	0.001559628800984623
chr4	60108690	61998938	102	0.007853868817416247
chr4	82008971	83123763	108	0.0030424347656857432
chr4	87477561	87703607	120	0.003948839660347692
chr4	132708393	134560407	107	0.002099075961712125
chr4	182144814	182263857	93	0.011743782983301247
chr5	56089524	56416824	138	9.473254953431112e-05
chr5	58500285	58619328	126	0.0034268572973102855
chr5	59259354	59378397	122	0.005894977541573492
chr5	66644179	68066878	147	0.04000952202400947
chr5	100075960	100806984	136	0.008638534996043503
chr5	130572420	131214333	134	0.0007124150826973622
chr5	165556098	165722992	128	0.007909821506994203
chr6	1907547	2026590	156	0.00015620220059102877
chr6	38059700	38619466	170	0.00012508611355726342
chr6	68476072	69410191	162	0.0009269901394346028
chr6	162662514	162781557	150	0.014199878404402917
chr6	168372497	168491540	167	0.0008591141198923322
chr8	3742692	3861735	197	0.035761418022202285
chr8	22205917	23093349	194	0.05258866063137025
chr8	36071242	37065643	210	0.011105624213356043
chr8	37285837	38080166	199	0.046567942426103126
