chrom	start	end	name	score
chr1	10855454	10996454	OG15	207.437967646924
chr1	16131975	16276281	OG33	162.95787472719215
chr1	21718597	21926345	OG37	123.06328501990816
chr1	24520964	24728815	OG29	124.12166227029869
chr1	31885955	32026955	OG18	147.9824530124519
chr1	33523082	33795480	OG36	143.77628109156694
chr1	40125950	40267175	OG32	233.0667573757812
chr1	41358977	41499977	OG0	218.9699319811969
chr1	43837422	44103803	OG26	190.47047377775888
chr1	46966151	47107151	OG34	162.70792317151202
chr1	56154147	56671449	OG16	171.43080527165057
chr1	61937528	62296800	OG30	194.12691659224285
chr1	115564012	116094318	OG38	202.4120786492705
chr1	147065974	147206974	OG27	298.03095699862195
chr1	150569391	150710391	OG17	345.2932835593974
chr1	151542552	151683552	OG1	318.42158026468445
chr1	153712188	153853188	OG35	287.5287050856387
chr1	154983511	155124511	OG11	293.9969314662788
chr1	156020252	156161252	OG19	279.429377778823
chr1	158351130	158623569	OG41	266.8274964734593
chr1	160960927	161101927	OG9	340.458448847638
chr1	168867968	169008968	OG42	278.6127322332826
chr1	172301814	172543614	OG14	314.10474536360675
chr1	180460278	180601278	OG40	276.5769449567007
chr1	183140311	183323562	OG5	293.94916717712346
chr1	201924469	202065469	OG25	336.43364965439724
chr1	204361635	204502635	OG6	437.56947291564006
chr1	234889836	235030836	OG10	608.242096318912
chr10	5158618	5299618	OG383	306.5572085585875
chr10	8968620	9240181	OG390	263.74603166920696
chr10	11861645	12002645	OG408	216.61062982082012
chr10	13378934	13921184	OG401	221.51791003947287
chr10	32344531	32489806	OG415	208.316308863348
chr10	33138220	33279220	OG389	203.0544041019504
chr10	47298718	47488529	OG396	164.0597626294982
chr10	51431472	51572472	OG406	147.97642929796868
chr10	55228077	56033421	OG393	138.93425758150215
chr10	61644104	61785104	OG395	161.36203535810898
chr10	63543799	63808156	OG384	137.02394012313678
chr10	65543305	65684305	OG404	139.4757799491054
chr10	73764054	74201943	OG403	141.76571501378842
chr10	76743905	76928280	OG387	160.59141709097204
chr10	77094036	77235036	OG414	158.533083757933
chr10	79480255	79742343	OG382	197.16756038685085
chr10	88367028	88657824	OG410	132.2840896944276
chr10	113587401	114148132	OG412	163.77808115833523
chr10	123032164	123217193	OG391	248.24535472563585
chr11	13566436	14124443	OG433	257.6274000106984
chr11	32059281	32237981	OG437	253.586267401604
chr11	34649578	34790578	OG420	340.2000375777788
chr11	46218121	46657643	OG432	266.0629485437751
chr11	61117072	61258072	OG451	172.02431057605824
chr11	62102813	62243813	OG430	169.05362570630638
chr11	63668893	63809893	OG444	174.8684385158157
chr11	65215750	65356750	OG429	215.9635900118965
chr11	67002528	67143528	OG424	281.61205935037776
chr11	69435435	69576435	OG457	560.2165659405813
chr11	70147052	70288052	OG440	494.2770360321616
chr11	72463485	72604485	OG438	222.27746894563967
chr11	73930417	74289612	OG426	240.3921154077098
chr11	77761775	77902775	OG416	326.45774421491166
chr11	79497668	79747151	OG441	214.0757317936281
chr11	81033478	81397683	OG455	194.85589052419235
chr11	85089060	85619168	OG442	164.73884645838527
chr11	86750812	87138491	OG456	149.1079027305891
chr11	88482128	88698087	OG423	160.8472256609487
chr11	91265831	91453418	OG435	160.56272459168807
chr11	96111991	96856471	OG453	149.3091480091272
chr11	101411357	101597167	OG419	229.29465475759267
chr11	102344393	102485393	OG439	236.53261416547608
chr11	118286578	118427578	OG450	173.74068012181843
chr11	121160585	121301585	OG443	190.31497264329928
chr12	533853	785807	OG490	279.8158984984697
chr12	1607878	1793710	OG464	260.8639659738049
chr12	4464647	4740102	OG485	241.8868344204151
chr12	6407390	6554798	OG471	235.40815286777237
chr12	11915534	12160682	OG482	212.0835146799208
chr12	14699597	15538883	OG489	221.9146744503162
chr12	25136473	25277473	OG460	319.7530860332613
chr12	26186655	26327655	OG481	286.56212699640554
chr12	27276462	27604497	OG466	264.5338302937186
chr12	46649996	47067234	OG463	199.93468776779423
chr12	48034439	48175439	OG491	174.1224944082167
chr12	52491400	52659261	OG475	142.57844679158097
chr12	53325068	53466068	OG484	128.45860552320678
chr12	54466204	54607204	OG488	129.23610857558583
chr12	56470230	56611230	OG469	165.95591376723303
chr12	58130185	58271185	OG461	248.3678185217869
chr12	60344727	60485727	OG467	193.2946042420946
chr12	62827690	63499850	OG479	173.5248308805326
chr12	69185809	69326809	OG458	450.6434132533043
chr12	73503242	73913994	OG483	228.3988094001398
chr12	95839728	96189829	OG477	236.6668123729876
chr12	125087934	125228934	OG473	319.99537002367884
chr13	27562307	27921253	OG495	339.3642856965778
chr13	30948870	31170293	OG502	378.1809523599218
chr13	73848425	73989425	OG493	514.2809523491107
chr13	83667472	83808472	OG498	358.53095236593595
chr13	95759498	96167309	OG503	403.61428569654026
chr13	110895161	111383585	OG505	432.9642856967509
chr13	113887142	114028142	OG504	428.0642856966704
chr14	23954039	24095039	OG516	182.01845693995483
chr14	26166014	26429413	OG521	183.81610651348893
chr14	31531292	31938673	OG513	176.92967072821648
chr14	35812917	35953917	OG506	192.057809256735
chr14	36945608	37086608	OG524	168.97832208043872
chr14	37900055	38041055	OG511	185.41165541191367
chr14	39612682	39788937	OG525	159.30830043402094
chr14	50372534	50513534	OG508	232.8479829641664
chr14	61907856	62048856	OG519	144.84520519489976
chr14	65076679	65217679	OG522	122.5829036097612
chr14	68965677	69106677	OG509	149.7527448764984
