chrom	start	end	name	score
chr12	4004449	4123492	668	0.010470892240614722
chr12	25283664	25403846	680	0.0053976895910121244
chr12	26260478	26379522	681	0.010763318133436449
chr12	27514242	27633285	683	0.006408365747285675
chr12	69128478	69247522	702	0.009902802049010355
chr12	69760361	69879404	703	0.017487324056135498
chr12	71080061	71199105	705	0.008036955249293697
chr13	91796478	91915522	727	0.0038127895054972153
chr13	95944478	96063522	730	0.0021829359736185204
chr17	32315098	32438248	826	0.00014893694156477752
chr17	39080995	39200038	832	0.014845094621473159
chr17	39700478	39819522	834	0.00025834913085505086
chr17	46108860	46227903	838	0.003863898962351928
chr17	47245218	47364261	839	0.015973228601887067
chr17	48756478	48875522	840	0.042729805790832374
chr17	50552478	50671522	841	0.010408211718380458
chr17	58040789	58159832	845	0.17242126183013795
chr17	63904546	64023589	848	0.10222918038563593
chr17	71306739	71425782	850	0.03751828497005366
chr2	16040478	16159522	79	0.02749301442759725
chr2	67280013	67399056	98	0.04266563836384969
chr3	113803099	113922142	193	0.008673702479585214
chr3	115239836	115358879	195	0.007855514698742624
chr3	116056405	116175448	196	0.013071045519887614
chr3	149163293	149282336	201	0.012812703208641227
chr4	90857975	90977018	267	0.013973817112028063
chr5	62177060	62296103	327	0.007764025549637592
chr5	65238931	65357974	328	0.02423595733762667
chr6	18320478	18439522	358	0.017036804068941893
chr6	20392478	20511522	359	0.019515745684835297
chr6	21555199	21729893	361	0.02837298976947936
chr7	66544261	66663304	426	0.006625552927081488
chr7	92372579	92491622	439	0.023845349963975
chr7	139916949	140035992	460	0.2711988133890144
