chrom	start	end	name	score
chr1	10596478	10715522	3	0.028471136661331647
chr1	21206264	21325307	7	0.005158721336766621
chr1	27114511	27233554	10	0.05503621851470074
chr10	47298592	47417635	331	0.06755490650233242
chr11	62726032	62845315	363	0.020900066166069493
chr11	83991351	84110394	385	1.485474108947871e-08
chr13	84508170	84627213	429	0.032132336849776254
chr15	74981836	75100879	470	0.024471034896480927
chr17	7500478	7619522	496	0.04274410920308597
chr17	7933382	8052426	497	0.020297619843864426
chr17	11879922	11998965	498	0.0005653558351698023
chr18	4054332	4177300	525	0.004514667979681723
chr18	5228436	5347480	526	0.005287717539508335
chr18	48544478	48663522	538	0.14269466176510734
chr19	34359091	34478135	547	0.010590547608722075
chr19	47753357	47872401	554	0.008755275124832805
chr2	136128478	136247522	81	0.007179576879375717
chr2	141840478	141959522	85	0.0012465441708475317
chr2	148965944	149084988	87	0.0018870005358756915
chr2	159918814	160037857	91	2.8555750305640176e-05
chr2	195747361	195866404	97	0.0009553023878505837
chr2	205836491	205955534	101	0.00014353804676943326
chr2	212415111	212534154	102	3.1688342460681777e-06
chr2	213592404	213711447	103	0.00013072980552243473
chr2	214700460	214819503	105	0.0005061513701414427
chr2	233566363	233685407	107	0.0006478544170434906
chr2	234130644	234249688	108	0.0006478544170434906
chr2	236793646	236912689	109	0.00039092262190527726
chr21	24708432	24827475	567	0.062039728820060314
chr22	29273989	29393032	572	0.10503829290512738
chr3	50679521	50798564	120	0.04941561210197614
chr3	60447679	60566722	122	0.06375153045463804
chr4	19437805	19556848	166	0.03184247730424439
chr4	21136478	21255522	167	0.01364758437961429
chr4	182176589	182295632	189	0.06564820332371255
chr5	58562112	58681155	213	0.00011029135780200331
chr5	59398602	59517645	214	0.019095084001921527
chr6	28416456	28535499	234	0.009122973613604738
chr6	38308161	38427205	237	0.004133094432619435
chr9	21916478	22035522	312	0.08863474096257955
chr9	26488478	26607522	314	0.004578796423001234
