chrom	start	end	name	score
chr1	6103062	6344246	TSG3	3684
chr1	8177219	8412650	TSG22	3700
chr1	10648504	10789504	TSG44	3673
chr1	15003239	15144239	TSG31	3690
chr1	27092661	27233661	TSG2	3798
chr1	49411670	49552670	TSG39	3380
chr1	51209384	51350384	TSG12	3413
chr1	72226753	72367753	TSG24	3527
chr1	93179603	93320603	TSG7	3656
chr1	115146245	115656090	TSG4	3512
chr1	149166119	149307119	TSG23	1996
chr1	157615410	157827028	TSG20	2028
chr1	169521470	169720954	TSG43	2079
chr1	189316818	189457818	TSG28	2171
chr1	193039084	193180084	TSG13	2167
chr1	241632200	241914244	TSG21	2117
chr1	246195942	246336942	TSG8	2082
chr10	20304881	20445881	TSG411	3159
chr10	22272244	22608102	TSG400	3176
chr10	24387128	25159609	TSG392	3182
chr10	47488781	47712143	TSG386	3468
chr10	53137827	53278827	TSG402	3550
chr10	56366293	56761157	TSG405	3578
chr10	58570059	58846397	TSG385	3591
chr10	65212660	65353660	TSG407	3593
chr10	68779243	68937762	TSG394	3622
chr10	76006183	76147183	TSG399	3693
chr10	77397676	77538676	TSG388	3713
chr10	77966641	78107641	TSG398	3708
chr10	89752254	89893254	TSG381	4249
chr10	90021649	90162649	TSG397	4214
chr10	112717541	112900400	TSG409	3863
chr10	114392960	114533960	TSG413	3855
chr11	40375984	40854382	TSG428	3107
chr11	45952507	46384023	TSG421	3077
chr11	63713979	64270409	TSG418	3053
chr11	65275065	65534356	TSG449	3032
chr11	68167088	68308088	TSG425	3032
chr11	69905231	70111438	TSG452	3044
chr11	71053255	71254426	TSG454	3089
chr11	76091488	76696619	TSG436	3103
chr11	78693986	78984185	TSG431	3146
chr11	80369689	80510689	TSG422	3248
chr11	80915432	81056432	TSG434	3251
chr11	81952497	82137223	TSG447	3241
chr11	83777984	83950191	TSG445	3290
chr11	84548708	84689708	TSG427	3304
chr11	85563809	85876956	TSG446	3315
chr11	99396579	100009357	TSG448	3443
chr11	114046103	114261662	TSG417	3681
chr12	1264702	1502194	TSG487	1979
chr12	12680830	12821830	TSG480	2332
chr12	13351897	13508716	TSG459	2328
chr12	24052860	24193860	TSG468	2151
chr12	25846676	26148420	TSG462	2107
chr12	57856273	57997273	TSG486	2371
chr12	58522457	58685411	TSG470	2378
chr12	60882083	61070912	TSG476	2379
chr12	68614373	68970804	TSG474	2329
chr12	74890985	75116809	TSG472	2466
chr12	99932245	100073245	TSG465	2581
chr12	115059398	115917048	TSG478	2543
chr13	29034704	29431891	TSG501	3469
chr13	32730505	32871505	TSG494	3643
chr13	48924358	49065358	TSG492	4098
chr13	50744882	51091497	TSG499	4027
chr13	84390476	84821700	TSG500	3582
chr13	94190111	94402652	TSG496	3453
chr13	112563587	112711149	TSG497	3273
chr14	24468978	24625498	TSG520	2869
chr14	28007236	28545715	TSG528	2931
chr14	33686285	33827285	TSG512	2970
chr14	40552188	40737095	TSG514	2981
chr14	67325748	67519430	TSG517	3358
chr14	68733244	68874244	TSG507	3389
chr14	102516150	102807344	TSG527	3171
chr15	32146625	32287625	TSG535	3270
chr15	52696130	52949577	TSG542	3235
chr15	57317685	57482996	TSG538	3236
chr15	67530161	67671161	TSG543	3058
chr15	71708431	71849431	TSG540	3037
chr15	74833502	75254383	TSG537	3067
chr16	3711090	3852090	TSG553	2492
chr16	6680266	6821266	TSG550	2667
chr16	23136424	23384754	TSG548	2463
chr16	53831975	53995914	TSG564	3404
chr16	55857788	56276684	TSG546	3424
chr16	63197678	63608561	TSG561	3472
chr16	72276359	72417359	TSG554	3561
chr16	78634731	78775731	TSG545	3754
chr16	83133387	83291025	TSG562	3620
chr17	7530920	7671920	TSG573	4597
chr17	11730386	11871386	TSG585	4455
chr17	37471479	37650319	TSG581	3033
chr17	39062668	39336505	TSG575	3074
chr17	42174226	42356271	TSG579	3061
chr17	44197563	44338563	TSG577	3027
chr17	51295672	51757207	TSG588	2778
chr17	53710597	53938315	TSG586	2763
chr17	56158353	56322616	TSG578	2756
chr17	59036087	59309254	TSG589	2682
chr17	63496941	63637941	TSG580	2649
chr17	70583696	70728216	TSG587	2622
chr18	3602147	3916997	TSG601	3012
chr18	5027549	5635209	TSG606	3059
chr18	7893552	8703888	TSG616	3105
chr18	23930269	24484561	TSG599	3359
chr18	26437997	26644441	TSG607	3450
chr18	34006250	34147250	TSG602	3626
chr18	36983514	37124514	TSG609	3696
chr18	48531712	48672712	TSG598	3936
chr18	66264362	66488455	TSG615	3895
chr18	70054891	70361212	TSG610	3905
chr19	6788796	7489771	TSG635	3002
chr19	12232780	12663901	TSG625	2803
chr19	18926283	19560327	TSG626	2696
chr19	34188451	34356019	TSG622	2540
chr19	37262142	37499554	TSG627	2580
chr19	43003559	43237286	TSG633	2791
chr19	43304260	43722108	TSG632	2804
chr19	47954255	48095255	TSG618	2897
chr2	9491578	9632578	TSG103	2304
chr2	43404965	43694593	TSG54	2351
chr2	54664542	55148510	TSG81	2303
chr2	63177042	63486985	TSG82	2303
chr2	77875374	78063753	TSG70	2332
chr2	111953472	112455424	TSG68	2534
chr2	133714460	133855460	TSG64	2733
chr2	136161150	136325603	TSG51	2774
chr2	139037307	139226799	TSG98	2755
chr2	141581037	141722037	TSG63	2956
chr2	141848687	141989687	TSG45	3105
chr2	148825180	148966180	TSG65	2760
chr2	154883300	155024300	TSG101	2688
