chrom	start	end	name	score
chr1	5682024	5801067	1	0.004808952831145252
chr1	8582875	8701918	3	0.005272103586916185
chr1	10440421	10559465	5	0.0005512023892772724
chr1	14903269	15022312	7	0.0004731733957656216
chr1	23421985	23541031	10	0.011368089619310006
chr1	26967700	27086743	12	0.024449004606484703
chr1	49178590	49297633	20	0.0021132580199023226
chr1	110557228	110676272	27	0.008901233916032567
chr1	143693827	143812971	30	0.0001322380195922215
chr1	152245039	152364082	33	6.801688891083456e-05
chr1	152726284	152845328	34	4.812671356125865e-05
chr1	158241629	158360672	39	0.00034074317591663826
chr1	164903353	165022396	46	0.00010756554888357312
chr1	189481485	189600529	53	2.3124493787785198e-05
chr1	194362806	194481849	55	0.00010257469482389064
chr1	201714107	201833151	57	7.292843742037632e-05
chr1	206319717	206438750	61	0.0004770662772366778
chr1	228326636	228445679	66	8.907642916277391e-05
chr1	235105163	235224207	68	0.00010025866362755075
chr1	236205178	236324222	69	5.596964363049206e-05
chr1	239796890	239915933	71	0.0001291209476898701
chr1	241062452	241181495	72	0.0003245716228808906
chr1	241897545	242016588	73	1.823995541029995e-05
chr1	246161457	246280500	74	6.913009839880988e-05
chr10	49022527	49141570	573	0.0028510791565277797
chr10	51396718	51515762	576	0.0014576288962967563
chr10	54620718	54739762	578	0.002384015029336658
chr10	56915261	57034304	580	0.0025398672093340617
chr10	66510836	66629879	584	0.000726356335862059
chr10	74252078	74371121	588	0.00031739751118155284
chr10	76248720	76367764	591	0.0014658031764583344
chr10	78426003	78545046	593	0.0005115881096071395
chr10	88074446	88193489	596	0.03157041882491518
chr10	109417813	109536856	598	0.0022270158821242132
chr11	2712010	2831053	604	0.0016980496542806328
chr11	5519248	5638292	606	0.0041602837647699105
chr11	34470931	34589975	610	0.0008548953453557902
chr11	38587962	38707005	612	0.006459637432413705
chr11	45736875	45855918	614	0.006540050687418737
chr11	60809005	60928050	616	0.003178681245988743
chr11	63159778	63278821	619	0.0015934369877326732
chr11	64329965	64449009	621	0.0024195984825532146
chr11	65994575	66113618	623	0.0005798731946351775
chr11	68576687	68695730	626	0.0005823164664589193
chr11	69974362	70093406	629	0.0005605959186553573
chr11	71910931	72029974	633	0.002701451646369679
chr11	74716194	74835238	636	0.0001860873989200764
chr11	76616612	76735655	638	0.0011468398664095855
chr11	78952241	79071284	643	0.000262490510633005
chr11	79608812	79727855	644	0.0004938805749337669
chr11	80711014	80830058	645	0.0012484021668722467
chr11	81340313	81459357	646	0.0005385738650633719
chr11	84003553	84122596	649	0.00012125822115639768
chr11	84549435	84668479	650	0.00035301930284641097
chr11	85166877	85285921	651	0.00021977465068717054
chr11	85748903	85867946	652	4.569519808301981e-05
chr11	86413436	86532480	653	0.0003458265006834069
chr11	88912110	89069374	655	0.0001653016564039876
chr11	114476231	114595275	659	0.003896923531013027
chr11	114699223	114818266	660	0.0002807474697484893
chr11	124236556	124356404	663	0.00034646172217141333
chr11	134669965	134789009	664	0.00010961914054946022
chr12	43220064	43339107	684	0.0034876912257138255
chr12	45579848	45698891	686	0.003214046384049279
chr12	47626443	47745486	688	0.006193684333907828
chr12	50998868	51117912	689	0.012135362364631459
chr12	52376330	52495374	691	0.005235979818762397
chr12	57340622	57459665	695	0.0011158325619273842
