chrom	start	end	name	score
chr1	147722309	147841353	29	0.002238025023390694
chr1	150840601	150959645	31	0.004923845430229516
chr1	151872534	151991578	32	0.0014988674841621833
chr1	153986660	154105704	36	0.0003797092207736456
chr1	154974677	155093720	37	0.0004572039150155545
chr1	160063941	160182984	40	5.232547822298412e-06
chr1	161038178	161157222	41	0.002495769967093874
chr1	164148727	164267770	45	0.00375323020021111
chr1	172198882	172317925	48	0.0006383375439865285
chr1	205373808	205492851	60	6.718639914097563e-06
chr1	239069816	239188859	70	0.05278269193064525
chr12	763012	882055	665	0.052092233326337424
chr12	1484313	1603357	666	0.10261342729922314
chr12	3895283	4014326	668	0.018985951473114132
chr12	6455229	6574273	670	0.0075165804731596175
chr12	12008916	12127959	674	0.028941178468741904
chr12	20191170	20310213	677	0.19663586745774841
chr12	25130730	25250912	680	0.13988526929689019
chr12	26107545	26226589	681	0.04177135680361022
chr14	25871272	25990316	742	0.0013593399990264095
chr14	26806323	26925366	743	0.0016296547505883052
chr14	35110016	35229059	747	0.0007625570441805113
chr14	36440585	36559628	749	0.000552063301145225
chr14	37335273	37454317	751	0.000693572557553112
chr14	39137623	39256667	753	6.782644303230242e-05
chr14	68611618	68730661	762	0.0003636071332555333
chr14	81544498	81663541	765	0.001050455045035478
chr14	85310764	85429807	766	0.005162805569667792
chr14	97856056	97975099	767	0.0009360349042359515
chr14	104678141	104797185	769	0.0005833748377587466
chr17	40924743	41043786	832	0.00045357718918470017
chr17	41544226	41663270	834	7.89360226994122e-06
chr17	48031494	48150541	838	0.00011805761265415326
chr17	49167856	49286899	839	0.00048804620759830265
chr17	50679117	50798161	840	0.002039236043562648
chr17	52475118	52594162	841	0.0004967212018011602
chr17	59963428	60082471	845	0.0014730966159615193
chr17	65908428	66027471	848	0.002681063736908001
chr17	73310600	73429643	850	0.0009161355288120123
chr17	75409615	75528658	851	0.0013124473332729258
chr19	8853802	8972846	882	0.0028727679261900336
chr19	10465802	10584846	884	0.006244208828510574
chr19	13073664	13192708	886	0.003116645003937623
chr2	15900355	16019400	79	0.0005183247044866352
chr2	27414400	27533443	82	0.0027206926164863496
chr2	34062454	34181498	86	0.008587377451940666
chr2	47139201	47258245	93	5.491025123039932e-06
chr2	56741262	56860305	95	0.0013288438969017498
chr2	67052881	67171924	98	3.828364771553208e-07
chr2	67882397	68001440	99	0.0004042687983376619
chr2	74161126	74280169	101	0.0022715746637189138
chr2	81833354	81952398	103	0.012969224529256763
chr20	35488323	35607271	909	0.0021987367869099115
chr20	47378346	47497389	913	0.0006396237174409465
chr20	49612022	49731066	914	3.5155340962688074e-05
chr20	50133438	50252481	915	0.0037719099705772335
chr20	50407941	50526985	916	0.0009260554611337266
chr20	51859939	51978983	917	0.00014680040594941855
chr20	53711224	53830267	919	0.001635084742974276
chr20	57415917	57534961	921	0.00023691442332482448
chr21	42556288	42675331	932	0.0012368286525091302
chr21	44049335	44168376	933	0.0030920716312727754
chr21	44746178	44865221	935	0.0030920716312727754
chr3	114084252	114203295	193	0.0003412144361120739
chr3	115520989	115640032	195	0.0003090277796143342
chr3	138704327	138823370	200	0.0005074716361189453
chr3	149445506	149564549	201	0.004071341016675598
chr3	168850690	168969734	204	0.0035963629342620714
chr3	169632267	169751310	206	0.0008117210309511962
chr3	169893165	170012208	207	0.002788723119848306
chr3	172442701	172561744	209	0.0006753200370255365
chr3	174043092	174162135	210	0.0002632369605629477
chr3	174638234	174757277	211	0.003216320573169605
chr3	179151407	179270450	216	1.1012347982153442e-05
chr3	183077959	183197002	217	0.001990701233963079
chr3	184578690	184697734	218	0.0012402278266427514
chr3	187937381	188056425	219	0.00646228271743111
chr3	189252172	189371215	221	7.595720317958301e-05
chr3	189994506	190113549	222	0.001484391037719448
chr3	191075387	191194430	223	0.006200636338512296
chr6	11249551	11368594	356	0.0004873061750090942
chr6	13383680	13502723	357	0.00028903058432468544
chr6	18320247	18439291	358	0.0003595729268649115
chr6	20392247	20511291	359	0.00041189261597725235
chr6	21554968	21729662	361	0.00059883056317584
chr6	37234664	37353707	373	0.0002139710388775184
chr6	39783069	39902113	375	9.785316751823726e-05
chr6	41385854	41504897	376	0.0005655862530313384
chr6	41825044	41944087	377	0.001868475301972077
chr6	42588740	42707784	378	4.10581143746523e-05
chr6	43416740	43535785	380	0.00023812253759388524
chr6	43824741	43943785	381	0.0016089284184945688
chr6	47824742	47943786	383	0.0020328944132902544
chr6	51371295	51490338	385	0.00017179570267910973
chr6	52407310	52526353	386	0.0002907404958882629
chr6	53103081	53222125	387	0.0014102501499739855
chr7	3500846	3619890	409	0.0004141449518175958
chr7	6306831	6425874	412	0.024881250239384093
chr7	16799140	16918183	415	0.009024356352604236
chr7	53476585	53595628	425	0.0322761687877313
chr7	67079274	67198317	426	0.004143858624466269
chr7	70771492	70890536	430	0.00046713082919747735
chr7	87119162	87238206	435	0.0009213537484774799
chr7	92743265	92862308	439	0.012861433816487765
chr7	99207321	99326364	440	0.0023787300168839984
chr7	99989659	100108702	441	0.00019625911563117912
chr7	104833952	104952995	446	0.0002538044649027768
chr7	142632962	142751671	462	0.0003347861663919786
chr7	144251385	144370429	463	0.0003702412382001335
chr7	147054235	147173278	466	0.0009972126924724443
chr8	2975142	3094186	471	0.01434361301108763
chr8	5350956	5470000	474	0.009331027369982809
chr8	37969124	38088167	492	0.0032696155396903324
chr8	54270500	54389543	493	0.008522677643647267
chr8	101039627	101158670	499	3.4274413906555556e-06
chr8	117912239	118031283	503	0.009089185539742825
chr8	120160239	120279283	505	0.0023033208211516503
chr8	127277456	127396499	508	0.00016236498810413117
chr8	127619798	127738841	509	0.0033211015370172084
chr8	128468232	128587276	511	0.0019563157774136236
chr8	136356717	136475760	514	0.07462080237985808
chr8	139441761	139560804	517	3.442012178942284e-06
