chrom	start	end	name	score
chr1	143767143	143767881	ENSG00000236334	0.17670641600550382
chr1	143896451	143913143	ENSG00000215784	0.17670641600550382
chr1	144146807	144224481	ENSG00000162825	0.17670641600550388
chr1	144339737	144521058	ENSG00000231360	0.17670641600550382
chr1	144363461	144364246	ENSG00000255854	0.17670641600550382
chr1	144811743	144830413	ENSG00000168614	0.15629500596777746
chr1	144836156	145076186	ENSG00000178104	0.15629500596777746
chr1	144989308	144991365	ENSG00000268172	0.15629500596777746
chr1	145209118	145291972	ENSG00000213240	0.15629500596777746
chr1	145209144	145319796	ENSG00000255168	0.15629500596777748
chr1	145289771	145370303	ENSG00000163386	0.15629500596777746
chr1	145413094	145417545	ENSG00000168509	0.15629500596777746
chr1	145438468	145442635	ENSG00000117289	0.15629500596777746
chr1	145456235	145470388	ENSG00000121851	0.15629500596777746
chr1	145470507	145475646	ENSG00000181039	0.15629500596777746
chr1	145477084	145501669	ENSG00000152022	0.15629500596777746
chr1	145507597	145513536	ENSG00000131795	0.15629500596777746
chr1	145516251	145523730	ENSG00000131779	0.15629500596777746
chr1	145524890	145543868	ENSG00000143127	0.15629500596777746
chr1	145549229	145568526	ENSG00000198483	0.15629500596777746
chr1	145575232	145586546	ENSG00000131788	0.15629500596777746
chr1	145586114	145589439	ENSG00000186364	0.15629500596777746
chr1	145592604	145611025	ENSG00000186141	0.15629500596777746
chr1	145611035	145696218	ENSG00000121848	0.15629500596777746
chr1	145695797	145715614	ENSG00000117281	0.15629500596777746
chr1	145726917	145764074	ENSG00000174827	0.15629500596777746
chr1	145764410	145827103	ENSG00000117262	0.15629500596777746
chr1	145883867	145924373	ENSG00000196644	0.19744226068601892
chr1	146032646	146082765	ENSG00000152042	0.19744226068601892
chr1	146373545	146467744	ENSG00000186275	0.19744226068601892
chr1	146626684	146644129	ENSG00000131791	0.19744226068601892
chr1	146646929	146714700	ENSG00000131781	0.19744226068601892
chr1	146714290	146767443	ENSG00000131778	0.19744226068601894
chr1	147013181	147098017	ENSG00000116128	0.17638198136271507
chr1	147101452	147142618	ENSG00000162836	0.17638198136271513
chr1	147228331	147245484	ENSG00000143140	0.17638198136271507
chr1	147374945	147381393	ENSG00000121634	0.17638198136271507
chr1	147400505	147465753	ENSG00000188092	0.17638198136271507
chr1	147574427	147634886	ENSG00000203836	0.2003031940618282
chr1	147631966	147632428	ENSG00000269647	0.2577418260170626
chr1	147954634	147955419	ENSG00000255963	0.2577418260170626
chr1	148003641	148025863	ENSG00000122497	0.2577418260170626
chr1	148201751	148202536	ENSG00000256374	0.2580662606598513
chr1	148250248	148347506	ENSG00000203832	0.2580662606598513
chr1	148555978	148596267	ENSG00000243452	0.2469341419681867
chr1	148739442	148758311	ENSG00000203827	0.2469341419681867
chr1	149400130	149400542	ENSG00000203818	0.24693414196818672
chr1	149438749	149459549	ENSG00000203817	0.2469341419681867
chr1	149553002	149553787	ENSG00000198161	0.2645947459974797
chr1	149675977	149676609	ENSG00000203815	0.2645947459974797
chr1	149754226	149764074	ENSG00000150337	0.2645947459974797
chr1	149754244	149783928	ENSG00000203814	0.2645947459974797
chr1	149784825	149785236	ENSG00000183598	0.2645947459974797
chr1	149804220	149811339	ENSG00000183941	0.2645947459974797
chr1	149811109	149812765	ENSG00000203811	0.2645947459974797
chr1	149813504	149814478	ENSG00000183558	0.2645947459974797
chr1	149822642	149823191	ENSG00000203812	0.2645947459974797
chr1	149824180	149825836	ENSG00000203852	0.2645947459974797
chr1	149825606	149832714	ENSG00000182217	0.2645947459974797
chr1	149856009	149858232	ENSG00000184678	0.2645947459974797
chr1	149858524	149858961	ENSG00000184260	0.2645947459974797
chr1	149859018	149859466	ENSG00000184270	0.2645947459974797
chr1	149859439	149872351	ENSG00000178096	0.2645947459974797
chr1	149874869	149889434	ENSG00000159164	0.2645947459974797
chr1	149895208	149900236	ENSG00000143368	0.2645947459974797
chr1	149900542	149908791	ENSG00000014914	0.2645947459974797
chr1	149909704	149982625	ENSG00000163113	0.2645947459974797
chr1	150039368	150117505	ENSG00000136631	0.2645947459974797
chr1	150121372	150136916	ENSG00000023902	0.2645947459974797
chr1	150190716	150208504	ENSG00000143401	0.2645947459974797
chr1	150229553	150237478	ENSG00000118298	0.2645947459974797
chr1	150237803	150241980	ENSG00000117362	0.2645947459974797
chr1	150240599	150253327	ENSG00000118292	0.2645947459974797
chr1	150254952	150259505	ENSG00000159208	0.2645947459974797
chr1	150266288	150281414	ENSG00000187145	0.2645947459974797
chr1	150293924	150325671	ENSG00000117360	0.2645947459974797
chr1	150335566	150449042	ENSG00000163125	0.2645947459974797
chr1	150459886	150480078	ENSG00000143374	0.2645947459974797
chr1	150480537	150486265	ENSG00000143369	0.2645947459974797
chr1	150521883	150533413	ENSG00000143382	0.26512809041839946
chr1	150521896	150524367	ENSG00000225996	0.2645947459974797
chr1	150533479	150533969	ENSG00000203804	0.2654015501398577
chr1	150547031	150552066	ENSG00000143384	0.2654015501398577
chr1	150573326	150602088	ENSG00000143420	0.2654015501398577
chr1	150618700	150669630	ENSG00000143457	0.2654015501398578
chr1	150670535	150693364	ENSG00000143452	0.2654015501398577
chr1	150702671	150738433	ENSG00000163131	0.2654015501398577
chr1	150768683	150780799	ENSG00000143387	0.2654015501398577
chr1	150782180	150849244	ENSG00000143437	0.2654015501398577
chr1	150898738	150937213	ENSG00000143379	0.2654015501398578
chr1	150933058	150947479	ENSG00000143418	0.2654015501398577
chr1	150954492	150968110	ENSG00000143412	0.2654015501398577
chr1	150969024	150980851	ENSG00000143409	0.2654015501398577
chr1	150980895	151008189	ENSG00000143363	0.2654015501398577
chr1	151009045	151020076	ENSG00000163141	0.2654015501398577
chr1	151020215	151024462	ENSG00000143443	0.2654015501398577
chr1	151023446	151042801	ENSG00000197622	0.2654015501398577
chr1	151030233	151040970	ENSG00000213190	0.2654015501398577
chr1	151043053	151098018	ENSG00000143458	0.2654015501398577
chr1	151104160	151119104	ENSG00000143434	0.2654015501398577
chr1	151129104	151132225	ENSG00000163154	0.2654015501398577
chr1	151129139	151142773	ENSG00000163156	0.2654015501398577
chr1	151132223	151138424	ENSG00000163155	0.2654015501398577
