chrom	start	end	name	score
chr1	6103062	6344246	TSG3	4611.673913043478
chr1	8177219	8412650	TSG22	4631.702898550724
chr1	10648504	10789504	TSG44	4597.903985507246
chr1	15003239	15144239	TSG31	4619.184782608695
chr1	27092661	27233661	TSG2	4754.380434782608
chr1	49411670	49552670	TSG39	4231.123188405797
chr1	51209384	51350384	TSG12	4272.432971014492
chr1	72226753	72367753	TSG24	4415.139492753623
chr1	93179603	93320603	TSG7	4576.623188405797
chr1	115146245	115656090	TSG4	4396.362318840579
chr1	149166119	149307119	TSG23	2498.615942028985
chr1	157615410	157827028	TSG20	2538.673913043478
chr1	169521470	169720954	TSG43	2602.516304347826
chr1	189316818	189457818	TSG28	2717.6829710144925
chr1	193039084	193180084	TSG13	2712.675724637681
chr1	241632200	241914244	TSG21	2650.085144927536
chr1	246195942	246336942	TSG8	2606.2717391304345
chr10	20304881	20445881	TSG411	3954.472826086956
chr10	22272244	22608102	TSG400	3975.7536231884055
chr10	24387128	25159609	TSG392	3983.264492753623
chr10	47488781	47712143	TSG386	4341.282608695652
chr10	53137827	53278827	TSG402	4443.93115942029
chr10	56366293	56761157	TSG405	4478.981884057971
chr10	58570059	58846397	TSG385	4495.255434782608
chr10	65212660	65353660	TSG407	4497.759057971014
chr10	68779243	68937762	TSG394	4534.061594202898
chr10	76006183	76147183	TSG399	4622.940217391304
chr10	77397676	77538676	TSG388	4647.976449275362
chr10	77966641	78107641	TSG398	4641.717391304347
chr10	89752254	89893254	TSG381	5318.947463768116
chr10	90021649	90162649	TSG397	5275.134057971014
chr10	112717541	112900400	TSG409	4835.748188405797
chr10	114392960	114533960	TSG413	4825.733695652174
chr11	40375984	40854382	TSG428	3889.3786231884055
chr11	45952507	46384023	TSG421	3851.824275362319
chr11	63713979	64270409	TSG418	3821.780797101449
chr11	65275065	65534356	TSG449	3795.492753623188
chr11	68167088	68308088	TSG425	3795.492753623188
chr11	69905231	70111438	TSG452	3810.514492753623
chr11	71053255	71254426	TSG454	3866.8460144927535
chr11	76091488	76696619	TSG436	3884.371376811594
chr11	78693986	78984185	TSG431	3938.199275362319
chr11	80369689	80510689	TSG422	4065.884057971014
chr11	80915432	81056432	TSG434	4069.639492753623
chr11	81952497	82137223	TSG447	4057.121376811594
chr11	83777984	83950191	TSG445	4118.460144927536
chr11	84548708	84689708	TSG427	4135.985507246377
chr11	85563809	85876956	TSG446	4149.755434782608
chr11	99396579	100009357	TSG448	4309.987318840579
chr11	114046103	114261662	TSG417	4607.918478260869
chr12	1264702	1502194	TSG487	2477.335144927536
chr12	12680830	12821830	TSG480	2919.224637681159
chr12	13351897	13508716	TSG459	2914.2173913043475
chr12	24052860	24193860	TSG468	2692.6467391304345
chr12	25846676	26148420	TSG462	2637.567028985507
chr12	57856273	57997273	TSG486	2968.045289855072
chr12	58522457	58685411	TSG470	2976.8079710144925
chr12	60882083	61070912	TSG476	2978.0597826086955
chr12	68614373	68970804	TSG474	2915.4692028985505
chr12	74890985	75116809	TSG472	3086.9673913043475
chr12	99932245	100073245	TSG465	3230.925724637681
chr12	115059398	115917048	TSG478	3183.356884057971
chr13	29034704	29431891	TSG501	4342.534420289855
chr13	32730505	32871505	TSG494	4560.349637681159
chr13	48924358	49065358	TSG492	5129.923913043478
chr13	50744882	51091497	TSG499	5041.045289855072
chr13	84390476	84821700	TSG500	4483.989130434782
chr13	94190111	94402652	TSG496	4322.505434782608
chr13	112563587	112711149	TSG497	4097.179347826087
chr14	24468978	24625498	TSG520	3591.4474637681155
chr14	28007236	28545715	TSG528	3669.059782608696
chr14	33686285	33827285	TSG512	3717.880434782609
chr14	40552188	40737095	TSG514	3731.650362318841
chr14	67325748	67519430	TSG517	4203.583333333333
chr14	68733244	68874244	TSG507	4242.389492753623
chr14	102516150	102807344	TSG527	3969.494565217391
chr15	32146625	32287625	TSG535	4093.423913043478
chr15	52696130	52949577	TSG542	4049.610507246377
chr15	57317685	57482996	TSG538	4050.86231884058
chr15	67530161	67671161	TSG543	3828.039855072464
chr15	71708431	71849431	TSG540	3801.7518115942025
chr15	74833502	75254383	TSG537	3839.3061594202895
chr16	3711090	3852090	TSG553	3119.514492753623
chr16	6680266	6821266	TSG550	3338.58152173913
chr16	23136424	23384754	TSG548	3083.211956521739
chr16	53831975	53995914	TSG564	4261.166666666666
chr16	55857788	56276684	TSG546	4286.202898550724
chr16	63197678	63608561	TSG561	4346.289855072463
chr16	72276359	72417359	TSG554	4457.701086956521
chr16	78634731	78775731	TSG545	4699.300724637681
chr16	83133387	83291025	TSG562	4531.557971014492
chr17	7530920	7671920	TSG573	5754.577898550724
chr17	11730386	11871386	TSG585	5576.820652173913
chr17	37471479	37650319	TSG581	3796.744565217391
chr17	39062668	39336505	TSG575	3848.06884057971
chr17	42174226	42356271	TSG579	3831.795289855072
chr17	44197563	44338563	TSG577	3789.2336956521735
chr17	51295672	51757207	TSG588	3477.532608695652
chr17	53710597	53938315	TSG586	3458.7554347826085
chr17	56158353	56322616	TSG578	3449.992753623188
chr17	59036087	59309254	TSG589	3357.358695652173
chr17	63496941	63637941	TSG580	3316.048913043478
chr17	70583696	70728216	TSG587	3282.25
chr18	3602147	3916997	TSG601	3770.45652173913
chr18	5027549	5635209	TSG606	3829.2916666666665
chr18	7893552	8703888	TSG616	3886.875
chr18	23930269	24484561	TSG599	4204.835144927536
chr18	26437997	26644441	TSG607	4318.75
chr18	34006250	34147250	TSG602	4539.06884057971
chr18	36983514	37124514	TSG609	4626.695652173913
chr18	48531712	48672712	TSG598	4927.130434782608
chr18	66264362	66488455	TSG615	4875.806159420289
chr18	70054891	70361212	TSG610	4888.324275362318
chr19	6788796	7489771	TSG635	3757.938405797101
chr19	12232780	12663901	TSG625	3508.8278985507245
chr19	18926283	19560327	TSG626	3374.884057971014
chr19	34188451	34356019	TSG622	3179.601449275362
chr19	37262142	37499554	TSG627	3229.673913043478
chr19	43003559	43237286	TSG633	3493.806159420289
chr19	43304260	43722108	TSG632	3510.0797101449275
chr19	47954255	48095255	TSG618	3626.498188405797
chr2	9491578	9632578	TSG103	2884.173913043478
chr2	43404965	43694593	TSG54	2943.0090579710145
chr2	54664542	55148510	TSG81	2882.922101449275
chr2	63177042	63486985	TSG82	2882.922101449275
chr2	77875374	78063753	TSG70	2919.224637681159
chr2	111953472	112455424	TSG68	3172.0905797101445
chr2	133714460	133855460	TSG64	3421.201086956521
chr2	136161150	136325603	TSG51	3472.5253623188405
chr2	139037307	139226799	TSG98	3448.740942028985
chr2	141581037	141722037	TSG63	3700.355072463768
chr2	141848687	141989687	TSG45	3886.875
chr2	148825180	148966180	TSG65	3454.9999999999995
chr2	154883300	155024300	TSG101	3364.869565217391
chr2	159849474	160092322	TSG86	3341.085144927536
chr2	187080060	187221060	TSG55	3322.3079710144925
chr2	195707481	195984012	TSG67	3308.5380434782605
chr2	205801195	205942195	TSG61	3487.547101449275
chr2	213091140	213232140	TSG73	3637.764492753623
chr2	213731079	213872079	TSG52	3670.3115942028985
chr2	214075981	214247094	TSG93	3661.548913043478
chr2	233451612	233592612	TSG50	3821.780797101449
chr2	233934598	234075598	TSG90	3820.528985507246
chr2	236734094	236875094	TSG84	3806.759057971014
chr20	14909089	15050089	TSG636	3000.5923913043475
chr20	38993503	39339432	TSG645	1911.516304347826
chr20	45216405	45977937	TSG646	1867.7028985507245
chr20	47687624	47945499	TSG644	1788.838768115942
chr20	53391360	54008415	TSG643	1751.284420289855
chr20	54112167	54281681	TSG638	1742.5217391304348
chr21	21231387	21514553	TSG654	3551.389492753623
chr21	24572734	25034439	TSG653	3585.188405797101
chr21	30516440	30710111	TSG652	3541.3749999999995
chr21	36320643	36461643	TSG649	3508.8278985507245
chr22	23000024	23206197	TSG659	3898.141304347826
chr22	25772045	25913045	TSG658	3998.2862318840575
chr22	29226605	29367605	TSG656	4137.237318840579
chr22	33931299	34249066	TSG660	4184.80615942029
chr22	40496961	40773666	TSG662	4246.144927536232
chr3	4336384	4512490	TSG136	4193.56884057971
chr3	9103873	9244873	TSG140	4216.101449275362
chr3	11551156	11692156	TSG145	4246.144927536232
chr3	30071662	30505571	TSG134	4410.132246376811
