chrom	start	end	name	score
chr11	62927250	63046293	619	0.04115650650132588
chr11	79319856	79438899	644	0.001957685210022975
chr11	85459946	85578989	652	0.0002257910561770561
chr11	114346953	114465997	659	0.27249596085288835
chr11	114569945	114688988	660	0.03241695846545897
chr13	48988478	49107522	721	0.02319007372062832
chr13	49474019	49593062	722	0.08422516713554756
chr13	50887270	51006314	723	0.16391882304921854
chr13	64940935	65059979	724	0.0009820176354218607
chr14	67358596	67477639	759	0.05234722490416027
chr14	68520478	68639522	761	0.1658921949891194
chr15	40684283	40803327	776	0.03856931716401976
chr3	47986493	48105537	171	0.05224208166846359
chr3	49730499	49849542	172	0.07038019764754747
