chrom	start	end	name	score
chr1	5698221	6299461	2	0.05669777191061025
chr1	7796378	8433690	15	0.05084101592631927
chr1	14385306	14763498	27	0.010112231935086712
chr1	26453898	26662962	5	0.019194638255371183
chr1	50751903	50870947	13	0.01632658608570349
chr10	56459109	56955135	243	0.026442124191433734
chr10	75535628	75654671	251	0.003877572964684098
chr10	76159133	76283417	246	0.0016121626581499626
chr10	88205547	88324590	239	0.03348476390033756
chr11	39964088	40614329	287	0.02526417920075071
chr11	45909793	46380892	264	0.006253045279973551
chr12	44954419	45576022	301	0.03610789313643572
chr12	52008485	52774572	310	0.02343700260946857
chr12	57702299	58353493	302	0.010256038743565126
chr12	66744481	67100482	313	0.00921088559255734
chr12	74225007	75395245	305	0.004071873417356185
chr12	99470564	99758032	308	9.892115052437142e-05
chr13	32047274	32376514	321	0.003966087995145362
chr13	48365593	48484636	318	0.015475747965397267
chr13	50286679	50881654	324	0.018183582639885086
chr14	27068447	28612777	344	0.004424724794116861
chr14	33230726	33349769	334	0.0011778166986237426
chr14	39825804	40253578	337	0.013054340077792291
chr14	66702143	67185308	342	0.012728807481031085
chr14	68275614	68394657	328	0.004825229556294915
chr15	31866992	31986036	352	0.003983037689176324
chr15	40993218	42159078	355	0.006662672423316995
chr15	57034409	57265344	356	0.00854008608198106
chr18	3642356	4275605	403	0.0007125255603118872
chr18	7209441	8629663	397	0.001864741945085918
chr18	26976797	28063535	400	4.823348569305651e-05
chr18	51012320	51141362	399	7.237895999258475e-05
chr19	33574883	33915360	413	0.02404135910714763
chr19	42701930	43231343	419	0.028647332028971524
chr19	47097306	47325772	414	0.09742759747644947
chr2	132975469	133094512	36	0.00014540150663874837
chr2	135286665	135761621	43	0.012924242744065378
chr2	141095185	141214228	29	0.00014540150663874837
chr2	147985984	148275630	49	0.00022339622402916967
chr2	212877996	212997143	34	0.003126681804611879
chr2	232977769	233156653	37	0.010988369377299674
chr22	25379786	25498829	443	0.0015509252367750354
chr22	28882064	29001107	440	0.006079502040699931
chr22	33469216	33917689	441	0.009490105424509645
chr3	4256347	4525158	82	0.0008047396421140982
chr3	50298438	50841289	67	0.013597270483397875
chr3	60426507	60545550	62	0.0036498965284879653
chr3	71215566	71334609	69	0.0060339597761942055
chr3	114592382	114711426	89	0.00931513362353302
chr3	116828619	116947662	63	0.00422345497723093
chr3	125750536	127257772	83	0.005050405025767228
chr3	136233833	136731509	85	0.004031802318046054
chr3	160411596	162185539	91	0.003116911941973875
chr3	175056597	175175640	66	0.0009554176411218638
chr3	188449058	188568101	68	0.0035908008598480295
chr4	20310116	20479664	119	0.00018839799134741183
chr4	21102160	21430714	116	0.0008400268861422308
chr4	33779071	33989744	95	0.0022588126998157048
chr4	59242972	61133220	102	0.011307866625124284
chr4	81087817	82202610	108	0.013947589825405294
chr4	86556408	86782454	120	0.006781120157342359
chr4	90856263	90975306	94	0.0028748614214605325
chr4	131787238	133639252	107	0.001306420299886847
chr4	181223661	181342704	93	0.023551937442763533
chr4	182219568	182508466	106	0.0025061044324759703
chr4	186519299	186880353	111	0.0061009810473064445
chr5	6112457	6656720	125	0.0010669932396359997
chr5	15893975	16736010	133	0.00296875563948076
chr5	25934121	27020841	127	0.0023342313117318304
chr5	31938573	32972994	135	0.001635721597193596
chr5	67348351	68771051	147	0.002471148417526866
chr5	100740256	101471280	136	0.0017306577183799979
chr5	131236727	131878640	134	0.009074560661480276
chr5	166129093	166295987	128	0.004036782582849088
chr6	162241482	162360525	150	0.015965075674848044
chr8	3885170	4004213	197	0.006092774528300624
chr8	22348404	23235836	194	0.007821554754183939
chr8	37428319	38222648	199	0.006820661291181012
chr9	9423309	9542352	217	0.002788815613255326
chr9	10991477	11494076	228	0.016280600527420093
chr9	16665365	17111350	223	0.0021526774669412075
chr9	21941391	22060434	213	0.12229506924590347
chr9	26270393	26679838	216	0.025237674512581756
chr9	28247761	28459513	225	0.012810570555513913
chr9	31388257	32049497	222	0.006582728224797423
