chrom	start	end	name	score
chr1	5758281	6359521	2	0.009059303865727057
chr1	7856438	8493750	15	0.007113266281719858
chr1	14711802	15089994	27	0.004303955030095606
chr1	26780389	26989453	5	0.01405890145236687
chr1	51217575	51336619	13	0.0027283929496993114
chr1	93088471	93294034	11	0.00551550629331331
chr1	114725108	115702047	7	0.00695535668320754
chr1	157555762	158038113	17	0.004300979730026307
chr1	192981788	193166871	12	0.0017946176176799502
chr1	210418225	210907811	24	0.005802749516037272
chr1	212599176	213761196	3	0.008013876931673828
chr1	246237974	246357017	6	0.003035981391754637
chr10	47184277	47650133	244	0.0050641633894913714
chr10	58218870	58714895	243	0.0073658030825912504
chr10	77295386	77414429	251	0.0010883990250009717
chr10	77918891	78043175	246	0.0020036301344740774
chr10	89560990	89680033	241	0.004202267193778056
chr10	89965304	90084347	239	0.028742577792076007
chr11	39985638	40635879	287	0.005649269501561653
chr11	45931344	46402442	264	0.009594717341813592
chr11	62685002	63185231	261	0.014245534088838607
chr11	64602254	65066589	273	0.007793989160212234
chr11	68133517	68341010	266	0.010292995202077956
chr11	69896864	70147013	283	0.008118743897797766
chr11	72023274	72313020	289	0.015902386739149846
chr11	75846730	76992775	279	0.004766825545616771
chr11	80339167	80463952	265	0.005805697542124315
chr11	83964212	84366423	284	0.0020480831981784706
chr11	85972100	87096374	280	0.004714623460827869
chr11	113905768	114104249	260	0.00907847055145819
chr12	12722317	13120592	290	0.02227861685712603
chr12	24097405	24228750	299	0.006858821496074691
chr12	26424358	26998323	294	0.00580206505418225
chr12	45348202	45969805	301	0.011524946552772988
chr12	52402269	53168356	310	0.009192477032513618
chr12	58096082	58747276	302	0.005008349534358267
chr12	67138261	67494262	313	0.0038110237352461107
chr12	74618787	75789025	305	0.0060335887895322385
chr12	99864342	100151810	308	5.248649497064801e-05
chr13	32621411	32950651	321	0.004432216101491021
chr13	48939729	49058772	318	0.01266272817595084
chr13	50860815	51455790	324	0.007473045475255277
chr14	27537653	29081983	344	0.007347147961791553
chr14	33699932	33818975	334	0.002867073007187419
chr14	40295008	40722782	337	0.005544440977412512
chr14	67168861	67652025	342	0.0038094717080025486
chr14	68742331	68861374	328	0.001874069354451326
chr15	32159195	32278239	352	0.006213767601761731
chr15	41285416	42451276	355	0.010790727947163447
chr15	57326607	57557542	356	0.006309568354740932
chr16	3723115	3842158	367	0.0025329592588248717
chr16	23317721	24116798	360	0.006385961141048152
chr16	53432883	54385775	371	0.005715835945065999
chr16	72508842	72677340	365	0.0018034031558620911
chr16	78647303	78766346	357	0.00109161503612159
chr16	79003131	79122175	361	0.0007519307038086808
chr16	83335710	83621823	372	0.002791952103698594
chr17	7514447	7633490	378	0.007735696481068595
chr17	11812452	11954002	380	0.003168301354826573
chr17	32188861	32931084	394	0.01523208914723945
chr17	37461077	37780421	392	0.006592233909965554
chr17	39069342	39414905	376	0.009276720520975747
chr17	42042144	42320075	379	0.009264973887069287
chr17	44220411	44339454	387	0.0139085817060996
chr17	53330349	54068840	391	0.003370432467963044
chr17	55765392	56193649	385	0.006330969037210687
chr17	58928804	59481230	389	0.0033499776077610542
chr17	70365942	70514571	393	0.003908911307709775
chr18	3642355	4275605	403	0.0022601461092443867
chr18	7209439	8629661	397	0.006327893597241609
