chrom	start	end	name	score
chr1	40434842	40770691	0	0.01670154351617899
chr1	106869942	108231644	6	0.0035023600562717814
chr1	31805355	32202812	8	0.003215495381597516
chr1	10824979	10988820	9	0.0031740216782332317
chr1	61572512	62827216	10	0.002193033864361545
chr1	46707151	46967620	11	0.005550302452854274
chr1	24603397	25020960	12	0.0017892863491563984
chr1	151549752	151797157	14	0.0026138314497222218
chr1	204393519	204512562	16	0.005718450564912841
chr1	160914013	161088587	18	0.0067244852431590256
chr1	155736873	156034001	19	0.0020159994367946773
chr1	234903837	235022881	20	0.0009890439593261628
chr1	150571678	150741615	22	0.00894156396165612
chr1	171732923	172364467	24	0.004331854242207405
chr1	154839176	155157122	25	0.0015511402794907822
chr1	201938893	202057937	26	0.0021791921092101994
chr1	153540304	153734176	28	0.001298524242050425
chr10	5019540	5275655	29	0.0010477798328281164
chr10	32162300	32813035	30	0.0005985735297914589
chr10	8854729	9324669	31	0.0022013919185176977
chr10	11675709	12164521	32	-0.0018678116398903137
chr10	63080956	63794123	35	0.005659430048270385
chr10	76654523	76935967	38	0.007687814890734407
chr10	54960117	56167514	40	0.002504491147297996
chr10	61702484	61821527	41	0.0010511242919886462
chr10	83068024	84207260	43	0.004261518020474929
chr10	47408334	47827719	44	0.0045459047445474896
chr10	126144907	126666595	45	0.0030525527466653095
chr10	65364015	65713333	46	0.0011767125799433747
chr10	79624190	79947792	47	0.007151972644092826
chr10	77060107	77208323	48	0.0010534023088826117
chr11	34672395	34791439	49	0.006186950776989483
chr11	40096845	41086885	51	0.00151602441061032
chr11	46293298	46643939	52	0.0028630091552735645
chr11	13513869	14247668	53	-0.0005265365633088001
chr11	32068935	32537281	54	0.0019546508774740253
chr11	77540996	77660040	56	0.015451955629545757
chr11	100071333	100456683	59	0.00463315570117709
chr11	88179066	88819047	62	0.0007670192795990822
chr11	81822736	82785608	63	0.004551944587958545
chr11	73901947	74555388	64	0.0018228472034707728
chr11	102318256	102445858	65	0.002055838743159904
chr11	61916375	62341111	66	0.000718083455833425
chr11	65228434	65347477	68	-0.0028041315884611237
chr11	70165110	70284154	69	0.022674567441381882
chr11	91183729	91578517	70	-0.0010427470324811186
chr11	70971824	71178480	73	-6.755760509302746e-06
chr11	69434720	69553763	76	0.03313955442958147
chr11	66919618	67140796	77	0.008162340510992006
chr11	72854062	73181590	78	0.002328661882411963
chr12	25088072	25291758	81	0.009814850936727258
chr12	19777246	20304059	82	0.010884243794500804
chr12	4005735	4630644	84	0.004792715379883267
chr12	27312183	27724555	86	0.005538633286436659
chr12	26308757	26427801	87	0.004208973703755555
chr12	6495089	6729835	88	0.0015019163468867579
chr12	750855	984603	89	0.0031414486660931037
chr12	58142641	58261684	90	0.0010939672795485763
chr12	46271490	47236325	91	0.004079471982990662
chr12	125136985	125256028	92	-0.0009967234775768777
chr12	60147861	60485820	93	0.00426549842410701
chr12	56477038	56596081	96	-0.00048487530020382817
chr12	48096881	48215924	97	-0.0006545442717201565
chr12	65893626	66407162	99	0.004160687184537043
