chrom	start	end	name	score
chr1	5758281	6359521	2	0.009163471185114205
chr1	7856438	8493750	15	0.007634555583257947
chr1	14711802	15089994	27	0.00613576984671616
chr1	26780389	26989453	5	0.021988796359540153
chr1	51217575	51336619	13	0.0022404688539231802
chr1	93088471	93294034	11	0.00423657376106982
chr1	114725108	115702047	7	0.004449664785642085
chr1	157555762	158038113	17	0.002767221071291558
chr1	192981788	193166871	12	0.001959930261767462
chr1	210418225	210907811	24	0.004236561043277701
chr1	212599176	213761196	3	0.00563006519634034
chr1	246237974	246357017	6	0.001953329754302542
chr10	47184277	47650133	244	0.006584023265161899
chr10	58218870	58714895	243	0.011068402777104832
chr10	77295386	77414429	251	0.0007831813010898735
chr10	77918891	78043175	246	0.0012218983847385738
chr10	89560990	89680033	241	0.005859428979264805
chr10	89965304	90084347	239	0.030330998544679452
chr11	39985638	40635879	287	0.005190193178733256
chr11	45931344	46402442	264	0.006934367080458697
chr11	62685002	63185231	261	0.011330661200063421
chr11	64602254	65066589	273	0.007467249738222116
chr11	68133517	68341010	266	0.008433632990094274
chr11	69896864	70147013	283	0.005217669851615467
chr11	72023274	72313020	289	0.012338790312768797
chr11	75846730	76992775	279	0.003406644058756188
chr11	80339167	80463952	265	0.00596476601032199
chr11	83964212	84366423	284	0.001366028669986687
chr11	85972100	87096374	280	0.0030299451495142235
chr11	113905768	114104249	260	0.007922406268134964
chr12	12722317	13120592	290	0.02293673511368502
chr12	24097405	24228750	299	0.00867552627965122
chr12	26424358	26998323	294	0.007118612037650681
chr12	45348202	45969805	301	0.007565896339989942
chr12	52402269	53168356	310	0.00603467686529117
chr12	58096082	58747276	302	0.003287881053320312
chr12	67138261	67494262	313	0.0037831907623083055
chr12	74618787	75789025	305	0.00609020487152264
chr12	99864342	100151810	308	4.270740347486254e-05
chr13	32621411	32950651	321	0.0056576998874884555
chr13	48939729	49058772	318	0.010925959458381698
chr13	50860815	51455790	324	0.0075759910540113395
chr14	27537653	29081983	344	0.0057194915392582615
chr14	33699932	33818975	334	0.0019205220780444624
chr14	40295008	40722782	337	0.008058766431810107
chr14	67168861	67652025	342	0.0030042236457982177
chr14	68742331	68861374	328	0.0015518199894339597
chr15	32159195	32278239	352	0.0050870252723830105
chr15	41285416	42451276	355	0.0109955740980163
chr15	57326607	57557542	356	0.007317063773460076
chr16	3723115	3842158	367	0.003233822477167374
chr16	23317721	24116798	360	0.005903666258403998
chr16	53432883	54385775	371	0.0036592834317626245
chr16	72508842	72677340	365	0.00129103182758075
chr16	78647303	78766346	357	0.0010868505222436358
chr16	79003131	79122175	361	0.0006464933828678381
chr16	83335710	83621823	372	0.002808504781677119
