chrom	start	end	name	score
chr1	5758281	6359521	2	0.015124117816399133
chr1	7856438	8493750	15	0.013496625705315556
chr1	14711802	15089994	27	0.01376036985153653
chr1	26780389	26989453	5	0.05212820715744287
chr1	51217575	51336619	13	0.0026392216422191565
chr1	93088471	93294034	11	0.004255888425624644
chr1	114725108	115702047	7	0.002072996398689299
chr10	47184277	47650133	244	0.006515127838807283
chr10	58218870	58714895	243	0.012133663857516718
chr10	77295386	77414429	251	0.0002747828986461692
chr10	77918891	78043175	246	0.0001142453623259308
chr10	89560990	89680033	241	0.006111579288175891
chr10	89965304	90084347	239	0.02444229900849658
chr11	39985638	40635879	287	0.0014464813763223226
chr11	45931344	46402442	264	0.0008462334084467796
chr11	62685002	63185231	261	0.0028051222754118905
chr11	64602254	65066589	273	0.003169770968384506
chr11	68133517	68341010	266	0.0023449902168325588
chr11	72023274	72313020	289	0.0027320382600486363
chr11	75846730	76992775	279	0.00044246514705317347
chr11	80339167	80463952	265	0.0028800778025949558
chr11	83964212	84366423	284	6.419753360246954e-05
chr11	113905768	114104249	260	0.0026922459588533385
chr12	12722317	13120592	290	0.00023829191929883824
chr12	24097405	24228750	299	0.00011418366281698065
chr12	26424358	26998323	294	9.102069676132474e-05
chr12	67138261	67494262	313	0.0021165384907728016
chr12	74618787	75789025	305	0.003517198349432911
chr12	99864342	100151810	308	1.3629361653062625e-05
chr14	27537653	29081983	344	0.0030949529041999456
chr14	40295008	40722782	337	0.0168514259765408
chr14	67168861	67652025	342	0.0017547689772495435
chr14	68742331	68861374	328	0.0011498522432322115
chr15	32159195	32278239	352	0.00424487086339468
chr15	41285416	42451276	355	0.015675192094438097
chr15	57326607	57557542	356	0.012575828963966787
chr16	3723115	3842158	367	0.00024192069934893544
chr16	23317721	24116798	360	9.673542728658356e-05
chr17	7514447	7633490	378	0.13175049883390175
chr17	11812452	11954002	380	0.03817324339733495
chr18	3642355	4275605	403	0.006504560234599283
chr18	7209439	8629661	397	0.032167246807382074
chr18	24556761	25643499	400	0.008385805816951359
chr18	48538690	48667732	399	0.04630988128858488
chr19	18878316	19376690	415	0.0036527090487792914
chr2	133733042	133852085	36	4.690081722214605e-05
chr2	136044235	136519191	43	0.0004543796852404715
chr2	141852754	141971797	29	4.690081722214605e-05
chr2	148743553	149033199	49	0.0005323683337483411
chr2	186890810	187009853	45	2.4280808447634183e-05
chr2	187311700	187430743	52	2.4280808447634183e-05
chr2	233842479	234065299	37	0.0006267779169895288
chr20	14912725	15031768	420	0.0996509164060256
chr21	24076479	25427169	437	0.017762569007344648
chr21	36239813	36482914	436	3.731424689521083e-05
chr22	25775753	25894796	443	0.01668783403015103
chr22	33865202	34313677	441	0.02552819770057929
chr3	50335869	50878720	67	0.012781076201310628
chr3	60412240	60531283	62	0.023650957824306047
chr3	71264717	71383760	69	0.006055413222345184
chr4	10020807	10139850	112	0.003240823803962009
chr4	19579540	19803047	99	0.0022805146870162533
chr4	20311739	20481287	119	0.0010802151883983568
chr4	21103783	21432337	116	0.007128943716883267
chr4	33780693	33991366	95	0.0192426846044837
chr4	60108690	61998938	102	0.0018169711892150361
chr4	82008971	83123763	108	0.004403735485272368
chr4	87477561	87703607	120	0.005473154097694606
chr4	91777414	91896457	94	0.0020617108404952194
chr4	132708393	134560407	107	0.002800099417882947
chr4	182144814	182263857	93	0.006832149817165416
chr4	183140721	183429619	106	0.0056512691981982915
chr4	187440453	187801507	111	0.005631314510032558
chr5	56089524	56416824	138	0.006194974964413833
chr5	58500285	58619328	126	0.0019422663178835927
chr5	59259354	59378397	122	0.008166185703950633
chr5	66644179	68066878	147	0.014454184195517339
chr5	100075960	100806984	136	0.013950443427607723
chr5	130572420	131214333	134	0.00040317096038971806
chr5	165556098	165722992	128	0.028714998135682308
chr6	1907547	2026590	156	0.0010982896092014394
chr6	27812438	28791272	160	0.000988982304132538
chr6	38059700	38619466	170	0.001340812101400555
chr6	45107899	45651436	164	0.0013478632090904183
chr6	68476072	69410191	162	0.012319255966458002
chr6	162662514	162781557	150	0.00559002769116261
chr7	69348739	69467782	184	0.00019444758464339854
chr7	69965189	70084232	175	4.321898444532342e-06
chr7	83263446	84732043	186	0.00025479289449033537
chr7	101503243	101887721	185	0.00027572573224821404
chr7	110399106	110518149	174	0.0013213314450273854
chr7	151764558	152106777	192	0.0012737704079134706
chr8	3742692	3861735	197	0.014838405821228381
chr8	22205917	23093349	194	0.07905360857963338
chr8	36071242	37065643	210	0.016131026507390567
chr8	37285837	38080166	199	0.012984336043991476
chr9	10991477	11494076	228	0.00042991122433219377
chr9	21941390	22060433	213	0.0023745568488456764
chr9	26270391	26679836	216	0.0010801908433738284
chr9	28247759	28459511	225	0.0004004631057330124
chr9	31388255	32049495	222	0.00010479783616443201
