chrom	start	end	name	score
chr1	901877	911245	PLEKHN1	0.15379644588045238
chr1	910579	917497	C1orf170	0.38459881529348405
chr1	934342	935552	HES4	0.22003231017770597
chr1	948803	949920	ISG15	0.12407108239095321
chr1	1109264	1133315	TTLL10	0.47237479806138927
chr1	1138888	1142071	TNFRSF18	0.9462574044157244
chr1	1146706	1149518	TNFRSF4	0.6504038772213248
chr1	1167629	1170421	B3GALT6	0.3543349488422187
chr1	1215816	1227409	SCNN1D	0.8259558427571352
chr1	1227756	1244989	ACAP3	0.3028540656973613
chr1	1260136	1264277	GLTPD1	0.03284868066774371
chr1	1266694	1270686	TAS1R3	0.5128702207862144
chr1	1288069	1297157	MXRA8	0.739903069466882
chr1	1309110	1310875	AURKAIP1	0.3256865912762521
chr1	1321091	1334708	CCNL2	0.2963920301561658
chr1	1353800	1357149	ANKRD65	0.36370490037695213
chr1	1370241	1378262	VWA1	0.2900376952073236
chr1	1447531	1470067	ATAD3A	0.4142164781906301
chr1	1470554	1475833	TMEM240	0.3779213785675821
chr1	1477053	1510249	SSU72	0.12590199246095857
chr1	1570603	1590473	CDK11B	0.5819063004846527
chr1	1656277	1677431	SLC35E2	0.07334410339256858
chr1	1682671	1711896	NADK	0.09962304792676369
chr1	1849029	1850712	TMEM52	0.46946688206785137
chr1	1853396	1935276	C1orf222	0.5500269251480883
chr1	2115903	2144159	C1orf86	0.034356488960689324
chr1	2323267	2336883	RER1	0.44448034464189545
chr1	2439972	2458039	PANK4	0.47560581583198713
chr1	2460184	2461684	HES5	0.22250942380183103
chr1	2487078	2496821	TNFRSF14	0.3891222401723209
chr1	2517930	2522908	FAM213B	0.25546580506192784
chr1	2522078	2564481	MMEL1	0.7954765751211632
chr1	3370990	3397677	ARHGEF16	0.2002154011847066
chr1	3406484	3528059	MEGF6	0.14281098546042004
chr1	3547331	3569325	WRAP73	0.6543887991383952
chr1	3569084	3652765	TP73	0.08712977921378573
chr1	3696784	3713068	LRRC47	0.5894453419493808
chr1	3773845	3801993	DFFB	0.21787829833064087
chr1	6051526	6161253	KCNAB2	0.9407646742057081
chr1	6161853	6240183	CHD5	0.5547657512116317
chr1	6241329	6269449	RPL22	0.9759827679052235
chr1	6281253	6296032	ICMT	0.6269251480883145
chr1	6304252	6305638	HES3	0.2437264404954227
chr1	6521211	6526255	TNFRSF25	0.829186860527733
chr1	6526152	6580121	PLEKHG5	0.599569197630587
chr1	6615241	6639817	TAS1R1	0.05901992460958527
chr1	6640061	6649340	ZBTB48	0.2698976844372645
chr1	6650784	6674667	KLHL21	0.21970920840064623
chr1	6673745	6684093	PHF13	0.8798061389337641
chr1	6694228	6761984	DNAJC11	0.9438879913839526
chr1	7831329	7841492	VAMP3	0.7302100161550888
chr1	7903143	7913572	UTS2	0.2282175551965535
chr1	7979907	8000926	TNFRSF9	0.17199784598815304
chr1	8064464	8086368	ERRFI1	0.8339256865912763
chr1	8412457	8877702	RERE	1.0
chr1	8921061	8939308	ENO1	0.3935379644588046
chr1	9005926	9035151	CA6	0.2934841141626279
chr1	9095166	9148537	SLC2A5	0.393322563274098
chr1	9160364	9189229	GPR157	0.357781367797523
chr1	9294834	9331396	H6PD	0.6282175551965536
chr1	9352939	9429591	SPSB1	0.4973613354873452
chr1	9648932	9674935	TMEM201	0.6855142703284869
chr1	9712668	9714644	C1orf200	0.38018309100700054
chr1	9908334	9970394	CTNNBIP1	0.8582660204631125
chr1	9982173	10003465	LZIC	0.17695207323640272
chr1	10057264	10076078	RBP7	0.3392568659127626
chr1	10092890	10241297	UBE4B	0.5897684437264405
chr1	10458649	10480201	PGD	0.278082929456112
chr1	10490159	10512210	APITD1	0.5940764674205707
chr1	10509776	10511959	CORT	0.6724824986537425
chr1	10516579	10532583	DFFA	0.8200323101777061
chr1	10696661	10856707	CASZ1	0.7303177167474422
chr1	11006528	11042094	C1orf127	0.6003231017770598
chr1	11114641	11120081	SRM	0.0017232094776522544
chr1	11126675	11159938	EXOSC10	0.915239633817986
chr1	11249398	11256038	ANGPTL7	0.5507808292945611
chr1	11708424	11715842	FBXO2	0.3152396338179859
chr1	11714432	11723384	FBXO44	0.13505654281098556
chr1	11724181	11734411	FBXO6	0.8411416262789446
chr1	11734537	11751707	MAD2L2	0.3364566505115778
chr1	11751786	11785914	DRAXIN	0.2995153473344103
chr1	11796141	11814859	AGTRAP	0.3718901453957997
chr1	11821844	11849642	C1orf167	0.6247711362412494
chr1	11845780	11866977	MTHFR	0.44501884760366184
chr1	11866207	11903201	CLCN6	0.38739903069466886
chr1	11917521	11918988	NPPB	0.628325255788907
chr1	11979648	11986485	KIAA2013	0.25481960150780836
chr1	11994262	12035595	PLOD1	0.35088852988691444
chr1	12040238	12073571	MFN2	0.9600430802369413
chr1	12079523	12092102	MIIP	0.4241249326871299
chr1	12627939	12677737	DHRS3	0.05331179321486279
chr1	12776118	12788726	AADACL3	0.8250942380183091
chr1	12976450	12980569	PRAMEF7	0.2603123317178244
chr1	12998181	13117751	PRAMEF6	0.369951534733441
chr1	13359819	13369057	PRAMEF5	0.4882067851373182
chr1	13447414	13452656	PRAMEF13	0.3369951534733442
chr1	13474689	13477522	PRAMEF18	0.9614431879375338
chr1	13668269	13673511	PRAMEF14	0.851803984921917
chr1	13716092	13719089	PRAMEF17	0.2570813139472268
chr1	14026693	14151574	PRDM2	0.15347334410339264
chr1	15479028	15546976	TMEM51	0.25923532579429187
chr1	15573768	15726779	FHAD1	0.7442110931610124
