chrom	start	end	name	score
chr1	71862795	71981839	23	0.08235976566451912
chr10	2924668	3043712	560	0.0014907780865052224
chr10	21888887	22007931	566	0.005284341300427323
chr10	51396718	51515762	576	0.002305590495638755
chr10	54620718	54739762	578	0.008131367358428876
chr10	56915261	57034304	580	0.036673382821046506
chr10	74252078	74371121	588	0.007091143264277729
chr10	88074446	88193489	596	0.029729287829040735
chr10	109417813	109536856	598	0.0032493654224772127
chr11	38587962	38707005	612	0.006149864099272457
chr11	45736875	45855918	614	0.0005224543377238524
chr11	60809005	60928050	616	0.0031197620179740514
chr11	76616612	76735655	638	0.009646851127720894
chr11	84549435	84668479	650	0.006132026169608789
chr11	85166877	85285921	651	0.006161468851563706
chr11	85748903	85867946	652	0.0024836351768248673
chr11	86413436	86532480	653	0.005443950603214532
chr11	88912110	89069374	655	0.011649602484688461
chr12	45579848	45698891	686	0.0011658104588729323
chr12	58477993	58597037	697	0.0014042336939169816
chr12	66601656	66720699	700	0.0010315703205732467
chr12	76097265	76216308	707	0.000609955751903885
chr13	32326341	32445385	718	0.022370139416893624
chr13	48414342	48533386	721	0.01917045738194206
chr13	48899883	49018926	722	0.029063410312191597
chr13	50313134	50432178	723	0.022370139416893624
chr14	66891879	67010922	759	0.000999222613922832
chr15	40392082	40511128	776	0.03231045138489377
chr16	52742229	52861272	812	0.0039060855644629977
chr16	71097579	71216622	816	0.001268409286404224
chr18	8037245	8156289	859	0.0035381402878469476
chr18	10245686	10378320	862	0.010130393889711651
chr18	39551356	39670399	873	3.125999435287694e-06
chr19	1496278	1615321	881	0.028169476573417004
chr19	11888810	12007853	885	0.012928423001871005
chr2	9394058	9513101	77	8.81576676515402e-06
chr2	25452772	25571815	81	0.00124966189193745
chr2	29681612	29800656	84	0.003174315867636129
chr2	32442183	32561227	85	0.006157454463130891
chr2	135398965	135518009	116	0.03266245942239711
chr2	140445626	140564669	119	0.004537197698983818
chr2	141028146	141147190	120	0.006502805129571956
chr2	186295751	186414795	132	0.008995984491847802
chr2	212590607	212709650	148	7.927432382078964e-05
chr2	212852714	212971757	149	0.0013788880773843626
chr2	233160163	233279206	155	0.007067287924007976
chr21	28991576	29110619	927	0.005927699727751487
chr22	25260511	25379555	939	0.022444457770107496
chr22	28880933	28999976	941	0.07658132697372433
chr22	33676492	33795535	945	0.028386710050091638
chr3	30492532	30611575	168	0.0026058719658171654
chr3	47945003	48064047	171	0.0019151982397212428
chr3	49693066	49812109	172	0.005042395914161285
chr3	60409369	60528412	178	7.894619341847782e-05
chr3	61718804	61837848	180	0.000540319426762405
chr3	71367831	71486874	184	0.0016621419870455924
chr3	81705841	81824884	187	0.004485032054931452
chr3	114426226	114545269	194	0.0074358762372474544
chr3	136473636	136592680	199	8.08421004185134e-05
chr3	162769321	162888364	202	0.004289103527255883
chr3	163663610	163782653	203	0.009959505744601447
chr3	175078688	175197732	212	0.003976467393900792
chr3	175436193	175555236	213	0.007392186315366655
chr3	191630440	191749483	224	0.012001812979613795
chr4	13144166	13263209	235	0.002532339045597302
chr4	33738271	33857315	244	0.009074992836235809
chr4	58029666	58148709	252	0.016238571552295685
chr4	64758926	64877969	254	0.007328462863886524
chr4	69194760	69313804	257	0.014993869450267002
chr4	142103325	142222369	275	0.0005852460148326744
chr4	178985703	179104747	282	0.011511849933035164
chr6	20861545	20980588	360	0.004533039029729301
chr6	27615824	27734868	364	0.021627465294496915
chr6	31139548	31258591	367	0.002789075369982027
chr6	32604701	32723745	369	0.0015054779455337766
chr6	45242914	45361957	382	0.0009835622682081208
chr6	50958523	51077566	384	0.007785393504964706
chr6	68111817	68241097	389	0.02449594534054603
chr6	128350974	128470017	397	0.012299215799589395
chr6	149704228	149823272	401	0.008026537523300327
chr8	2550470	2669093	470	0.0061613782710129164
chr8	3834956	3954000	472	0.0018732994001246625
chr8	4533320	4652363	473	0.005231252914634018
chr8	6383908	6502952	475	6.282348164736933e-05
chr8	35026960	35146004	488	0.00029638051559246277
chr8	89237451	89356494	494	0.0029301778535064838
chr8	112208249	112327293	502	0.0130462341569583
chr9	11656478	11775522	528	0.008995849036863067
chr9	21920479	22039523	536	0.015187094328442381
chr9	28712036	28831079	539	0.007345254959656471
chr9	30316480	30435524	541	0.01388241231572336
chr9	97084367	97203410	552	0.09399267686781039
