chrom	start	end	name	score
chr1	40434842	40770691	0	-0.0022132467234596267
chr1	106869942	108231644	6	-0.0026319575858135672
chr1	31805355	32202812	8	-0.002792969705567932
chr1	10824979	10988820	9	-0.0026764119152068422
chr1	61572512	62827216	10	-0.002786818406030197
chr1	46707151	46967620	11	-0.002724030954190291
chr1	24603397	25020960	12	-0.0027337910649351885
chr1	151549752	151797157	14	0.003991646689051746
chr1	204393519	204512562	16	0.0037947807943180755
chr1	160914013	161088587	18	0.004079868277592753
chr1	155736873	156034001	19	0.0036752144890108847
chr1	234903837	235022881	20	0.003659186931616007
chr1	150571678	150741615	22	0.0042580220737048965
chr1	171732923	172364467	24	0.0040638738625583745
chr1	154839176	155157122	25	0.003672933202736523
chr1	201938893	202057937	26	0.003640633355115036
chr1	153540304	153734176	28	0.0038670856242591974
chr10	5019540	5275655	29	0.0021108235820585584
chr10	32162300	32813035	30	0.0022320888280330927
chr10	8854729	9324669	31	0.0021353410946508213
chr10	11675709	12164521	32	0.0019542462490767143
chr10	63080956	63794123	35	-0.0005025397372438107
chr10	76654523	76935967	38	-0.0005542148588639307
chr10	54960117	56167514	40	-0.00041597061879467386
chr10	61702484	61821527	41	-0.0006595017181849042
chr10	83068024	84207260	43	-0.0006286001004395963
chr10	47408334	47827719	44	-0.0006248144859907526
chr10	126144907	126666595	45	-0.0007165401305795998
chr10	65364015	65713333	46	-0.0006947766531586605
chr10	79624190	79947792	47	-0.00041723610587715034
chr10	77060107	77208323	48	-0.0006851288968796232
chr11	34672395	34791439	49	9.930670342808999e-05
chr11	40096845	41086885	51	0.0005507473850958511
chr11	46293298	46643939	52	0.00016074099200566894
chr11	13513869	14247668	53	8.065096000169455e-05
chr11	32068935	32537281	54	0.00010400617416725062
chr11	77540996	77660040	56	0.0002002472089158885
chr11	100071333	100456683	59	7.789115618951826e-05
chr11	88179066	88819047	62	-0.00019065806211316603
chr11	81822736	82785608	63	-0.00014528462692008954
chr11	73901947	74555388	64	-4.062504391088822e-05
chr11	102318256	102445858	65	-0.00017498394375590595
chr11	61916375	62341111	66	-0.00013088156347724754
chr11	65228434	65347477	68	-0.00031457348117604195
chr11	70165110	70284154	69	0.0006595764947608341
chr11	91183729	91578517	70	5.001973051014533e-05
chr11	70971824	71178480	73	-0.00024536162452641505
chr11	69434720	69553763	76	0.0019055045342526136
chr11	66919618	67140796	77	0.0002964146628474716
chr11	72854062	73181590	78	-0.00023221912109406615
chr12	25088072	25291758	81	-0.00033607682136902497
chr12	19777246	20304059	82	-0.000234451765861582
chr12	4005735	4630644	84	-0.00041792786819778055
