chrom	start	end	name	score
chr1	5758281	6359521	2	0.012840445929258067
chr1	7856438	8493750	15	0.010524177666782725
chr1	14711802	15089994	27	0.011099693009948557
chr1	26780389	26989453	5	0.029571133716491782
chr1	51217575	51336619	13	0.005151164325239879
chr1	93088471	93294034	11	0.013978549802946265
chr1	114725108	115702047	7	0.026084525358671593
chr10	47184277	47650133	244	0.003824545111573828
chr10	58218870	58714895	243	0.01061084669200226
chr10	77295386	77414429	251	0.0016109518683869806
chr10	77918891	78043175	246	0.003085456127060973
chr10	89560990	89680033	241	0.003981860005703242
chr10	89965304	90084347	239	0.028539907086707613
chr11	39985638	40635879	287	0.003798631049119329
chr11	45931344	46402442	264	0.005104776781985796
chr11	62685002	63185231	261	0.021426072962547647
chr11	64602254	65066589	273	0.014369421720583987
chr11	68133517	68341010	266	0.016065014881989838
chr11	69896864	70147013	283	0.014453938723568186
chr11	72023274	72313020	289	0.024937153980171867
chr11	75846730	76992775	279	0.007306159582416452
chr11	80339167	80463952	265	0.0028071357185673537
chr11	83964212	84366423	284	0.0017346140231395692
chr11	85972100	87096374	280	0.00305372305072144
chr11	113905768	114104249	260	0.0060799641909301295
chr12	12722317	13120592	290	0.007118543151988975
chr12	24097405	24228750	299	0.0039224344997239495
chr12	26424358	26998323	294	0.003092654357195446
chr12	45348202	45969805	301	0.008067098822300512
chr12	52402269	53168356	310	0.009927090735480376
chr12	58096082	58747276	302	0.0038310757962513394
chr12	67138261	67494262	313	0.003014549001390503
chr12	74618787	75789025	305	0.007073091132967799
chr12	99864342	100151810	308	4.892119526110376e-05
chr13	32621411	32950651	321	0.00628131180453479
chr13	48939729	49058772	318	0.009942039978715726
chr13	50860815	51455790	324	0.0072883162842520294
chr14	27537653	29081983	344	0.009344725929293307
chr14	33699932	33818975	334	0.0021485810073236305
chr14	40295008	40722782	337	0.00417471051431227
chr14	67168861	67652025	342	0.001263378117012574
chr14	68742331	68861374	328	0.0015949777158684214
chr15	32159195	32278239	352	0.003654455627944723
chr15	41285416	42451276	355	0.006788075190851542
chr15	57326607	57557542	356	0.0035903148102784323
chr16	53432883	54385775	371	0.044510070481854264
chr16	72508842	72677340	365	0.01111257581628294
chr16	78647303	78766346	357	0.005333306593997623
chr16	79003131	79122175	361	0.0037124837640136986
chr16	83335710	83621823	372	0.009266692589440894
chr17	7514447	7633490	378	0.057980804877198436
chr17	11812452	11954002	380	0.03100079704182183
chr17	32188861	32931084	394	0.011778602130564817
chr17	37461077	37780421	392	0.00511363998197262
chr17	39069342	39414905	376	0.006255908440920343
chr17	42042144	42320075	379	0.005510816823327589
chr17	44220411	44339454	387	0.011742215937071991
chr17	53330349	54068840	391	0.0033102270323897252
chr17	55765392	56193649	385	0.005078942742734815
chr17	58928804	59481230	389	0.0030234838708411756
chr17	70365942	70514571	393	0.0035383528059550625
chr18	3642355	4275605	403	0.0021904838508818103
chr18	7209439	8629661	397	0.006221759328900198
chr18	24556761	25643499	400	0.005532557453259708
chr18	48538690	48667732	399	0.004851144204104213
chr19	18878316	19376690	415	0.005764530656652345
chr19	34065789	34406265	413	0.0009509253915838983
chr19	43206082	43735495	419	0.0019433570531580617
chr19	47600563	47829029	414	0.008971732847450398
chr2	43102216	43918289	47	0.002115283405645626
chr2	133733042	133852085	36	0.0006233878264958897
chr2	136044235	136519191	43	0.0025420808248262632
chr2	141852754	141971797	29	0.0029877948080286047
chr2	148743553	149033199	49	0.0033697262093871088
chr2	186890810	187009853	45	0.0008823223681118431
chr2	187311700	187430743	52	0.0002149926245964516
chr2	213742720	213861867	34	0.0008440114739463728
chr2	233842479	234065299	37	0.0031617946663977142
chr20	14912725	15031768	420	0.011024404795573402
chr20	38766260	39467155	421	0.003184409982712303
chr20	45218930	46034672	431	0.0014019324684874691
chr20	47640176	48144702	433	0.0006941454628648499
chr20	53847353	54168429	422	0.0016291247946083783
chr20	59256957	59983703	429	0.0011744259571985932
chr22	22852244	23313369	444	0.004316780943601063
chr22	25775753	25894796	443	0.0005989316177387044
chr22	28478268	29020831	445	0.005761311559236435
chr22	29278052	29397095	440	0.0021253882302029684
chr22	33865202	34313677	441	0.005079816858480252
chr3	4298031	4566842	82	0.0021179644305513614
chr3	50335869	50878720	67	0.015067133657147342
chr3	60412240	60531283	62	0.009775970258779102
chr3	71264717	71383760	69	0.01461423405009593
chr3	114311229	114430273	89	0.002279174106907764
chr3	116547466	116666509	63	0.0008324711811996275
chr3	125469379	126976615	83	0.0022089448989224677
chr3	135952675	136450351	85	0.001256362792073133
chr3	160129384	161903327	91	0.0011202166732351385
chr3	174774387	174893430	66	0.0008814522518200859
chr3	188166846	188285889	68	0.001852804933251278
chr4	10020807	10139850	112	0.001487272126424543
chr4	20311739	20481287	119	0.0012950460383313073
chr4	21103783	21432337	116	0.005774336993774539
chr4	33780693	33991366	95	0.010573392480456028
chr4	60108690	61998938	102	0.0024593867741231775
chr4	82008971	83123763	108	0.003289127729221902
chr4	87477561	87703607	120	0.002443299983031255
chr4	91777414	91896457	94	0.001979191533927179
chr4	132708393	134560407	107	0.0025712435502806357
chr4	182144814	182263857	93	0.003246113548195751
chr4	183140721	183429619	106	0.0016311874641130623
chr4	187440453	187801507	111	0.0033795937915028136
chr5	56089524	56416824	138	0.010176381572760351
chr5	58500285	58619328	126	0.0012738264707016665
chr5	59259354	59378397	122	0.0024928155213025252
chr5	66644179	68066878	147	0.005710148745668466
chr5	100075960	100806984	136	0.00600932773236319
chr5	130572420	131214333	134	0.00782816644744093
chr5	165556098	165722992	128	0.005708464083881986
chr6	1907547	2026590	156	0.002346627026242719
chr6	27812438	28791272	160	0.0038108216569597607
