chrom	start	end	name	score
chr1	40434842	40770691	0	0.0013908645751019447
chr1	106869942	108231644	6	0.0010717439539867763
chr1	31805355	32202812	8	0.0006384581987701254
chr1	10824979	10988820	9	0.0008993523683182968
chr1	61572512	62827216	10	0.0007025670870878053
chr1	46707151	46967620	11	0.0007752525924648379
chr1	24603397	25020960	12	0.0008103537119296197
chr1	151549752	151797157	14	0.0004645697818005932
chr1	204393519	204512562	16	0.00038611362062519565
chr1	160914013	161088587	18	0.000974479528486022
chr1	155736873	156034001	19	0.0002693802658538007
chr1	234903837	235022881	20	0.00012188939002951195
chr1	150571678	150741615	22	0.0011886397884914139
chr1	171732923	172364467	24	0.001607006491503373
chr1	154839176	155157122	25	0.00017879873770661753
chr1	201938893	202057937	26	0.00033563394649062297
chr1	153540304	153734176	28	0.00039215900224611947
chr10	5019540	5275655	29	-0.00039497783707444076
chr10	32162300	32813035	30	-0.0009372884702473313
chr10	8854729	9324669	31	-0.0004975729863186541
chr10	11675709	12164521	32	-0.001289058721831974
chr10	63080956	63794123	35	-0.0012743024598594892
chr10	76654523	76935967	38	-0.0014010301177566108
chr10	54960117	56167514	40	-0.0017225522375840295
chr10	61702484	61821527	41	-0.0017837053190986993
chr10	83068024	84207260	43	-0.0016374156864964484
chr10	47408334	47827719	44	-0.0004977473458958897
chr10	126144907	126666595	45	-0.0005840388274902797
chr10	65364015	65713333	46	-0.001704294849118215
chr10	79624190	79947792	47	-0.0012884465085829212
chr10	77060107	77208323	48	-0.001778579188019929
chr11	34672395	34791439	49	0.001084992288538743
chr11	40096845	41086885	51	0.00014093282018483945
chr11	46293298	46643939	52	0.00033663182509194897
chr11	13513869	14247668	53	-0.0001750079305009079
chr11	32068935	32537281	54	0.00019378896466046674
chr11	77540996	77660040	56	0.00041831255466100376
chr11	100071333	100456683	59	0.00017791189189253628
chr11	88179066	88819047	62	-0.0005380014631061914
chr11	81822736	82785608	63	-0.00017162844498475082
chr11	73901947	74555388	64	-0.00047016380223640936
chr11	102318256	102445858	65	-0.0002711645509334193
chr11	61916375	62341111	66	-0.0003314598363157154
chr11	65228434	65347477	68	-0.0006145498662179079
chr11	70165110	70284154	69	-0.00014459268238625
chr11	91183729	91578517	70	-0.0006337274568181688
chr11	70971824	71178480	73	-0.0007143011667315577
chr11	69434720	69553763	76	0.00023436637511366895
chr11	66919618	67140796	77	-0.0002888275719074992
chr11	72854062	73181590	78	-0.0003273006850856629
chr12	25088072	25291758	81	-0.000878469511028454
chr12	19777246	20304059	82	0.00014300320025782424
chr12	4005735	4630644	84	-0.0012694047610867288
chr12	27312183	27724555	86	-0.0007349602160767206
chr12	26308757	26427801	87	-0.0011176321214817907
chr12	6495089	6729835	88	-0.00153283231297946
chr12	750855	984603	89	-0.0014095269441754502
chr12	58142641	58261684	90	0.0019446392089571764
chr12	46271490	47236325	91	0.0019883974430356206
chr12	125136985	125256028	92	0.001800154502199107
chr12	60147861	60485820	93	0.0026506639793859596
chr12	56477038	56596081	96	0.0016581327844526306
chr12	48096881	48215924	97	0.0018367642667762665
chr12	65893626	66407162	99	0.0018481260713937929
chr12	52494771	52613815	100	0.0017240087573833455
chr12	95808951	96199625	102	0.0017942511273608586
chr12	67641689	67887068	105	0.0018427588929296503
chr12	69094532	69213575	106	0.0016360153051192374
chr12	69490369	69636780	107	0.003970041643077526
chr13	30777977	31270349	109	-0.0012405444550195827
chr13	73860342	73979385	110	-0.002078292475141039
chr13	106659219	107933285	112	-0.0010771591445292881
chr13	27726123	28583697	113	-0.0019150226536804287
chr13	54542287	55760400	115	-0.0019554818374771087
chr13	71624228	72471666	116	-0.0013651671842550548
chr14	35775195	35986175	117	0.0008812988852427437
chr14	50417151	50545245	119	-0.00040691890525183013
