chrom	start	end	name	score
chr1	151254618	151373661	28	0.05859216232175787
chr1	153718747	153837790	29	0.0349251049216663
chr1	155228637	155352871	31	0.006347211352290727
chr1	160054952	160173995	33	0.03906541490133764
chr1	169122913	169241956	36	0.004340783414234985
chr1	172157028	172276071	37	0.013350977754720297
chr1	202838407	202957450	41	0.006372925654594309
chr1	204366586	204485629	42	0.024038738956639348
chr1	225824201	225943244	43	0.0033653061839966736
chr1	234792478	234911522	44	0.01142121337900486
chr1	244528616	244647659	46	0.0051053595593860916
chr10	5128469	5247513	326	0.00919833837455898
chr10	8994135	9113178	327	0.010278708681367663
chr10	11842360	11961403	328	0.0056817199294823565
chr11	13792371	13911414	355	6.078872076651958e-05
chr11	32131894	32250937	356	0.0010218577010730335
chr11	34716271	34835314	357	0.0001954985207276211
chr11	45808007	45927050	359	0.002147622369365625
chr12	46727491	46846534	406	0.002934489454905313
chr12	52618547	52737590	409	0.0006871723946984733
chr12	56541047	56660090	410	0.0014992821666728222
chr12	58132478	58251522	411	0.003906522998952131
chr12	60111976	60231020	413	0.0029559677209631944
chr12	67638971	67758014	415	0.0015332148211320384
chr12	69086265	69205309	417	0.0028912256196227263
chr12	69612870	69731913	418	0.0024545574963795243
chr12	74180026	74299069	419	0.0006253154111309973
chr12	125112478	125231522	420	0.000465467118028054
chr15	52452762	52571805	462	0.00017034073484526482
chr15	63712885	63831928	465	0.00010297619716961146
chr15	71700478	71819522	467	4.0937997291094695e-06
chr15	72672389	72791432	469	6.753065895684171e-05
chr15	87318721	87437765	471	0.0009894021077808879
chr15	90772871	90891914	472	6.457251836560586e-05
chr15	93236064	93355107	473	5.236512564536839e-05
chr16	4366364	4485407	476	0.0004242514800330652
chr16	5138585	5257628	477	0.000356077386900452
chr16	11596799	11715842	480	0.0024971379694761118
chr16	19174126	19293169	482	0.0010612592714495353
chr16	24536478	24655522	484	0.003503620912399239
chr16	28638275	28757318	485	0.002197487778141907
chr17	31726497	31845541	500	0.01121552679319084
chr17	32802349	32921393	501	0.005229571369552626
chr17	36129241	36248284	502	0.0022543113457948226
chr17	37771254	37890297	503	0.005138494914467705
chr17	46453539	46572582	509	0.0013958931420937262
chr17	48728478	48847522	510	0.0013844699920472186
chr17	50549192	50668235	511	0.027192101118388018
chr17	58651438	58770481	515	0.01422738142639498
chr17	65725464	65844508	518	0.00670023854078853
chr17	77823894	77942937	521	0.001141808259700233
chr17	79509385	79628428	522	0.007460116018742201
chr18	9959461	10078504	530	1.4818933842911776e-05
chr19	33779361	33898405	546	0.007538461324447131
chr19	36101861	36220904	548	0.005892563932264743
chr19	39491845	39610888	550	0.007803074413464558
chr19	40056478	40175522	551	0.002759615375056103
chr19	45251137	45370180	553	0.001753490096506715
chr2	5197977	5317020	50	0.007713238595766495
chr2	20281065	20400108	53	0.0006489269176012451
chr2	22333919	22452962	54	0.0030167129332222195
chr2	28849068	28968111	56	0.0008007111643651737
chr2	42372021	42491064	57	0.0008368518915035995
chr2	47280478	47399522	61	0.0006634144030975844
chr2	56892512	57011556	63	0.0008117749440003189
chr2	64784478	64903522	66	0.0007272150913832689
chr2	67119708	67238751	67	0.002746585811817329
chr2	103984478	104103522	73	4.2954757555872066e-05
chr2	113851214	113970258	75	6.204554656020207e-08
chr2	114275472	114394516	76	1.4641340319766154e-06
chr2	116511375	116630418	77	0.0003208181688167568
chr2	125036478	125155522	78	6.164606141437491e-05
chr2	134546008	134665051	80	2.3608761051152055e-05
chr2	140864456	140983499	84	3.049006313931662e-05
chr2	159616478	159735522	90	1.9121924733766407e-05
chr2	160765312	160884356	92	6.46036214008325e-05
chr2	177942392	178061435	93	0.000262835982751229
chr2	191631704	191750747	96	7.496024417128696e-05
chr2	197230573	197349617	98	4.328647889871166e-05
chr2	201423358	201542402	99	8.620533892708616e-06
chr2	205236567	205355611	100	2.172295788437621e-07
chr20	34030582	34149626	557	5.742481407542305e-07
chr20	43886206	44005250	559	0.0015533794404002331
chr20	45808478	45927522	560	0.0011187597437372324
chr20	48761663	48880706	561	0.0013376918189489933
chr20	50413969	50533012	562	6.930969056618924e-05
chr20	52433890	52552933	563	0.006771292976829845
chr22	29476478	29595522	573	1.9171388415992597e-06
chr22	30326031	30445075	574	0.0012936915543440796
chr22	38406203	38525246	575	0.0012584343877000074
chr3	101778826	101897869	129	0.0009169509293225448
chr3	107548478	107667522	130	0.0006732981776065826
chr3	110534686	110653730	131	0.0013653903468330247
chr3	115282894	115401938	134	0.0007756403285039232
chr3	124661142	124780186	138	0.00024255397048285565
chr3	149008478	149127522	141	0.0015644384327105547
chr3	166601905	166720949	144	0.002759479904674413
chr3	168744245	168863289	145	0.0005837985112500268
chr3	168991244	169110287	146	0.0002123416272761704
chr3	169936430	170055473	148	0.001964507490383765
chr3	172154974	172274017	149	0.00386948614879298
chr3	175554070	175673113	152	0.0001630422654017731
chr3	177237224	177356267	153	0.0002684291109762221
chr3	181376611	181495655	154	0.0003340489452217593
chr3	182411928	182530971	155	0.0006550831438182067
chr3	189621987	189741030	157	0.0007567631136729322
chr3	193536717	193655760	158	0.00013549989723608328
chr4	1656923	1775967	159	0.0010629026076772019
chr4	10259463	10378506	162	0.007494373021127441
chr4	13959116	14078160	163	0.0015409904822920352
chr4	16118340	16237383	164	0.0011911973040361764
chr4	18744478	18863522	165	0.002901454291326401
chr4	25521841	25640884	168	0.0016202108716922695
chr4	40328478	40447522	171	0.00042897314265462257
chr4	41264339	41383383	172	0.008893151612449598
chr5	8067480	8186523	195	0.0004577024090090495
chr5	10132478	10251522	196	0.002283577692346682
chr5	13216678	13335721	197	0.003986491625598656
chr5	14235642	14354686	198	0.005567342239210403
chr5	16483639	16602682	199	0.003355168427084482
chr5	22211926	22330970	200	0.003132786563796784
chr5	27328478	27447522	202	0.0034121045768217718
chr5	28484787	28603830	203	0.002447728211247282
chr5	32356631	32475674	206	0.004220959467396982
chr5	36339142	36458185	207	0.0021912817026692715
chr5	36613351	36732394	208	0.007054459712906581
chr5	38665941	38784985	209	0.00217160382643918
chr6	6724646	6843689	227	0.0021737189032685657
chr6	11343965	11463008	228	0.0016052874630195701
chr6	13439961	13559004	229	0.00042125814684620976
chr6	18431157	18550200	230	0.004882524185156376
chr6	19377489	19496533	231	0.014454055888887402
chr6	21786522	21905565	233	0.004772773325873171
chr6	31511532	31630575	235	0.004932724571074411
chr6	37183318	37302361	236	0.0026080660861015526
chr6	41878147	41997190	238	0.009724835562463355
chr6	43821808	43940851	239	0.024862265200110565
chr6	46932478	47051522	240	0.027862971195760936
chr6	52303755	52422798	241	0.015511963167409153
chr7	8552478	8671522	252	0.004308078807675137
chr7	17352478	17471522	254	0.0009774273934150199
chr7	23168478	23287522	255	0.002274513224248217
chr7	69204478	69323522	260	0.001729330907139796
chr7	92008478	92127522	265	0.00728141025388659
chr7	99583592	99702635	266	0.0018606448813231291
chr7	104371434	104490477	268	0.001122906785351345
chr7	117264478	117383522	270	0.002783072377172735
chr7	151194257	151313300	276	0.0005677442741729797
chr8	55295856	55414899	291	0.005490697686473961
chr8	101343854	101462897	293	0.03816451530617181
chr8	102060501	102179544	294	0.01787380658669358
chr8	120977589	121096633	295	0.08906714985330434
chr8	128493524	128612567	296	0.10363441646405575
chr8	129356836	129475880	298	0.09808661289926171
chr8	141889441	142008484	301	0.014519893547390385
chr9	3664478	3783522	302	0.00021217450384010362
chr9	6669591	6788634	303	0.000336551738633166
chr9	8968478	9087522	304	3.208324206486447e-05
chr9	13144326	13263369	307	0.00028610421566068
chr9	13921789	14040832	308	1.484616018697554e-05
chr9	17120478	17239522	309	0.0003599079977195617
chr9	19348770	19467813	311	0.0002834680424632001
chr9	25087455	25206498	313	0.001009077112685211
chr9	26915118	27034161	315	6.798158430800786e-05
chr9	27780258	27899301	316	0.00037152513504993683
chr9	29204478	29323522	318	4.671924929442896e-05
chr9	30052301	30171344	319	0.00021835119999952157
chr9	31470394	31589438	321	0.00010312701878409845
chr9	33775856	33894899	322	0.0009489893121901315
chr9	35824116	35943159	323	0.0011180428151238231
