chrom	start	end	name	score
chr1	6103062	6344246	TSG3	3255.299232736573
chr1	8177219	8412650	TSG22	3269.4373401534526
chr1	10648504	10789504	TSG44	3245.579283887468
chr1	15003239	15144239	TSG31	3260.6010230179027
chr1	27092661	27233661	TSG2	3356.033248081841
chr1	49411670	49552670	TSG39	2986.6751918158566
chr1	51209384	51350384	TSG12	3015.8350383631714
chr1	72226753	72367753	TSG24	3116.56905370844
chr1	93179603	93320603	TSG7	3230.557544757033
chr1	115146245	115656090	TSG4	3103.3145780051154
chr1	149166119	149307119	TSG23	1763.7289002557543
chr1	157615410	157827028	TSG20	1792.005115089514
chr1	169521470	169720954	TSG43	1837.0703324808185
chr1	189316818	189457818	TSG28	1918.3644501278773
chr1	193039084	193180084	TSG13	1914.8299232736567
chr1	241632200	241914244	TSG21	1870.648337595908
chr1	246195942	246336942	TSG8	1839.721227621484
chr10	20304881	20445881	TSG411	2965.854619565218
chr10	22272244	22608102	TSG400	2981.8152173913045
chr10	24387128	25159609	TSG392	2987.448369565218
chr10	47488781	47712143	TSG386	3255.9619565217395
chr10	53137827	53278827	TSG402	3332.948369565218
chr10	56366293	56761157	TSG405	3359.2364130434785
chr10	58570059	58846397	TSG385	3371.4415760869565
chr10	65212660	65353660	TSG407	3373.319293478261
chr10	68779243	68937762	TSG394	3400.546195652174
chr10	76006183	76147183	TSG399	3467.2051630434785
chr10	77397676	77538676	TSG388	3485.982336956522
chr10	77966641	78107641	TSG398	3481.288043478261
chr10	89752254	89893254	TSG381	3989.210597826088
chr10	90021649	90162649	TSG397	3956.350543478261
chr10	112717541	112900400	TSG409	3626.811141304348
chr10	114392960	114533960	TSG413	3619.3002717391305
chr11	40375984	40854382	TSG428	2745.443734015345
chr11	45952507	46384023	TSG421	2718.934782608695
chr11	63713979	64270409	TSG418	2697.727621483376
chr11	65275065	65534356	TSG449	2679.1713554987214
chr11	68167088	68308088	TSG425	2679.1713554987214
chr11	69905231	70111438	TSG452	2689.774936061381
chr11	71053255	71254426	TSG454	2729.538363171356
chr11	76091488	76696619	TSG436	2741.9092071611253
chr11	78693986	78984185	TSG431	2779.905370843989
chr11	80369689	80510689	TSG422	2870.035805626598
chr11	80915432	81056432	TSG434	2872.686700767264
chr11	81952497	82137223	TSG447	2863.8503836317136
chr11	83777984	83950191	TSG445	2907.1483375959083
chr11	84548708	84689708	TSG427	2919.5191815856774
chr11	85563809	85876956	TSG446	2929.2391304347825
chr11	99396579	100009357	TSG448	3042.3439897698213
chr11	114046103	114261662	TSG417	3252.6483375959083
chr12	1264702	1502194	TSG487	2477.335144927536
chr12	12680830	12821830	TSG480	2919.224637681159
chr12	13351897	13508716	TSG459	2914.2173913043475
chr12	24052860	24193860	TSG468	2692.646739130435
chr12	25846676	26148420	TSG462	2637.5670289855075
chr12	57856273	57997273	TSG486	2968.0452898550725
chr12	58522457	58685411	TSG470	2976.8079710144925
chr12	60882083	61070912	TSG476	2978.059782608696
chr12	68614373	68970804	TSG474	2915.4692028985505
chr12	74890985	75116809	TSG472	3086.9673913043475
