chrom	start	end	name	score
chr1	10824979	10988820	21	0.0003428588451011353
chr1	24603397	25020960	26	6.156207646776919e-05
chr1	31805355	32202812	18	0.0024345040799768837
chr1	40434842	40770691	0	0.00234132173954737
chr1	106869942	108231644	14	0.0008882802510184839
chr1	150571678	150741615	16	0.014504051253511004
chr1	151549752	151797157	1	0.007560523867414285
chr1	153540304	153734176	28	0.002133152901225536
chr1	154839176	155157122	20	0.005071784594141559
chr1	160914013	161088587	8	0.0008487336512873539
chr1	171732923	172364467	19	0.0002791581715752202
chr1	204393519	204512562	4	0.008695839169842982
chr10	5019540	5275655	240	0.0024426956654314495
chr10	8854729	9324669	249	0.004197496176981452
chr10	11675709	12164521	255	0.0008644912962562853
chr10	47408334	47827719	253	0.0023883055747954893
chr10	54960117	56167514	248	0.003988945930593257
chr10	61702484	61821527	250	0.0020474387299432933
chr10	63080956	63794123	242	0.004347889335553404
chr10	65364015	65713333	256	0.0011301176078574529
chr10	76654523	76935967	245	0.0024097733100978923
chr10	77060107	77208323	258	0.0007384684855103062
chr10	79624190	79947792	257	0.003573259219796295
chr10	83068024	84207260	252	0.003630062219544678
chr10	126144907	126666595	254	0.0006779039616004798
chr11	13513869	14247668	278	0.0005127956267065312
chr11	32068935	32537281	281	0.0013567220067697598
chr11	34672395	34791439	263	0.0010656798243619534
chr11	40096845	41086885	269	0.0047858796771744734
chr11	46293298	46643939	274	0.0002786978431682506
chr11	61916375	62341111	272	7.935378306186692e-05
chr11	65228434	65347477	275	0.0008778078070633045
chr11	66919618	67140796	286	0.0071345605017752506
chr11	69434720	69553763	285	0.01007104820387341
chr11	70165110	70284154	276	0.004370698170433535
chr11	70971824	71178480	282	0.0007896645834078121
chr11	72854062	73181590	288	0.0005010045085270514
chr11	73901947	74555388	270	0.0007896645834078121
chr11	77540996	77660040	259	0.004878580457862809
chr11	81822736	82785608	268	0.0017586874626961354
chr11	88179066	88819047	267	0.002064263922253523
chr11	91183729	91578517	277	0.0024130504282496336
chr11	100071333	100456683	262	0.003177004057890623
chr11	102318256	102445858	271	0.0008271039345565476
chr12	4005735	4630644	295	0.0005245605883162831
chr12	19777246	20304059	293	0.0031334311811502345
chr12	25088072	25291758	291	0.0007056769421614939
chr12	26308757	26427801	311	0.00021700697298681655
chr12	27312183	27724555	300	0.0014269574685385666
chr12	46271490	47236325	296	0.005555750247050311
chr12	52494771	52613815	307	0.008174563686851806
chr12	56477038	56596081	303	0.0017860913588828855
chr12	58142641	58261684	292	0.00037909349257060035
chr12	60147861	60485820	298	0.005741745560355088
chr12	65893626	66407162	306	0.005186473060191198
chr12	69490369	69636780	317	0.013577047370006003
chr12	95808951	96199625	309	0.004838832167744947
chr14	23728314	24063263	340	0.001228478369242331
chr14	26800466	27255014	330	0.0021470951652850607
chr14	31251044	32181349	335	0.0004738284579343647
chr14	35775195	35986175	327	0.005157676664459429
chr14	37812674	38058478	332	0.005436622749334439
chr14	41913376	42582518	338	0.0008829760195570522
chr14	50417151	50545245	329	0.0022788366344780042
chr14	77434967	77554011	333	0.0005953354536615329
chr14	105063008	105441266	343	0.0005821012676913539
chr15	25582394	25937167	350	0.0022915581850318917
chr15	71820985	71940029	348	0.0005287794624080948
chr15	72595833	72930283	353	0.0003631512719295903
chr15	87405293	87541302	345	0.00045583229173648375
chr15	90660290	90871493	349	0.0006939105124518353
chr15	93255720	93374763	346	0.0004072041163581449
chr16	1995842	2383828	368	0.033670293179710147
chr16	4202082	4345377	373	0.00649119644953638
chr16	11731483	11869700	359	0.016745289429590898
chr16	18839445	19602747	369	0.006658248958095167
chr16	29044352	29740329	362	9.723758895484143e-05
chr17	31063757	31344450	384	0.002009679644872434
chr17	36040114	36220312	388	0.0008632802841565731
chr17	37814919	37933962	375	0.005135743235751083
chr17	46328894	46556435	383	0.0035653048250833216
chr17	48593060	48789511	386	0.00040320219283877204
chr17	50404258	50789048	377	0.00865148287022928
chr17	60648695	61741852	382	0.005994200251287486
chr17	67196640	67890043	374	0.0025107212332734184
chr17	77734233	78056848	390	0.0014333340346993542
chr18	3374767	3499942	396	0.01898798055083864
chr18	9476695	10938627	406	0.0011060290849191567
chr19	9139027	9267988	418	1.386656009130454e-05
chr19	10736375	10946734	409	4.851623221322095e-05
chr19	13336475	13584705	416	5.0915974810304684e-05
chr19	15320331	15478451	407	0.00018383624312956552
chr19	33519365	33816790	410	0.00268127944268128
chr19	35468671	35852015	417	0.001961774295658654
chr19	37789605	38291932	408	0.0028445426221945227
chr19	39664941	39859916	411	0.003633903819054137
chr19	45197410	45316453	412	0.0008188838003455554
chr2	28760823	28879866	44	0.0023190535451168234
chr2	43133499	43364389	48	0.0015726290768018744
chr2	56719500	57272851	55	0.0012697388630649943
chr2	61280524	61940385	31	0.0021275185170023447
chr2	67058791	67247154	50	0.000992744284691604
chr2	85161928	85620345	39	0.00986840547667283
chr2	103076527	103501295	38	0.0011982126106511815
chr2	114022993	114142037	35	0.000519364447574296
chr2	116118599	116503797	32	0.0022043385421467374
chr2	117826949	118320719	60	0.0011415652582419972
chr2	123203267	124277151	42	0.0004543741464804896
chr2	140652913	141053948	53	0.0008396772121941565
chr2	159524119	159891349	40	0.0007522009266848464
chr2	177598943	178479541	33	0.0009348134237975137
chr2	191054682	191532321	30	0.0005896313349500596
chr2	195089370	195978143	41	0.0014685070794667086
chr2	204258457	204874921	57	0.0004584424905590337
chr20	34059289	34178332	424	0.0036532911759076035
chr20	42716839	43707813	427	0.0021709836473229427
chr20	48654362	48886540	425	0.0010007431081751935
chr20	52134620	52253663	434	0.008974984272098242
chr20	55535014	56580230	430	0.0009047246068575238
chr20	58845327	59850940	432	0.003622946400420221
chr21	27563981	29211589	438	5.347958499030136e-06
chr21	34741048	34860091	435	3.054711317703355e-05
chr22	30272827	30451244	439	0.0020572074099694903
chr3	9236611	9447494	76	0.0018171684200623123
chr3	13660266	13779309	71	0.0023231678121528342
chr3	66678637	66815569	70	0.0033777366857914966
chr3	81546661	83261851	80	0.0007710488721570952
chr3	100992050	102444535	84	0.0007908682614848465
chr3	107631968	107751012	78	0.0012637632406043097
chr3	109621291	110836404	86	0.002919029421875348
chr3	115149776	115973138	88	0.0006571637299333383
chr3	148787016	149621348	73	0.005758815913305754
chr3	166020407	166603769	72	0.010672419125735818
chr3	168683826	168802869	64	0.00704839712576125
chr3	169548446	169667490	74	0.002396409303390502
chr3	172180285	172299328	61	0.0050467206245596846
chr3	174118798	174294887	81	0.0018623250912137928
chr3	177069806	177414593	77	0.008171972917464987
chr3	181273593	181928556	65	0.005052106180977955
chr4	1720167	1839210	100	0.0036003618293969615
chr4	10224376	10343419	98	0.001220530520415531
chr4	11933736	12386919	113	0.0031199791208696673
chr4	20131877	21195788	104	0.000435032768360144
chr4	25137744	25982564	115	0.0005838946870480198
chr4	32727300	34308655	96	0.0027459712638630736
chr4	37827877	38761501	114	0.0007161532295693209
chr4	57411823	57604555	105	0.0033318093781860517
chr4	60229100	61415503	110	0.001010547463379996
chr4	65285589	66552501	103	0.00319840560016297
chr4	73734130	74067073	92	0.010398608576682275
chr4	77195795	77671354	101	0.0023877281718268388
chr4	78163280	78282323	118	0.00023849661466193595
chr4	144374339	144886109	97	0.0016322896992704264
chr5	1097591	1216634	130	0.0031609218854918644
chr5	8000468	8453144	143	0.003963058427017237
chr5	14069792	14427201	141	0.002266207541595598
chr5	16399158	16808360	145	0.002980567074944368
chr5	21982188	23108941	121	0.0047810618213336075
chr5	28006389	29170593	140	0.003865498544015504
chr5	31575341	32519706	144	0.00148083653623978
chr5	35617488	37520080	146	0.011836539012891827
chr5	36156861	36428160	129	0.005221903266683706
chr5	55737702	55856745	132	0.0003686436144226362
chr5	58060229	58329713	139	0.0006411005115739185
chr5	137556133	138159794	123	0.0007128959412249712
