chrom	start	end	name	score
chr1	14385306	14763498	27	0.05108188147356615
chr1	26453898	26662962	5	0.0673513507253355
chr11	62917530	63417759	261	0.04414978249290341
chr11	84253169	84655380	284	0.0018113729209281873
chr11	114035046	114233527	260	0.012653641842545162
chr14	33230726	33349769	334	0.04633114817525323
chr18	3642356	4275605	403	0.0009057684710049851
chr18	7209441	8629663	397	0.0009057684710049851
chr18	51012320	51141362	399	0.001556764269585937
chr19	33574883	33915360	413	0.027885956366743937
chr19	47097306	47325772	414	0.02855112514577011
chr2	135286665	135761621	43	0.028012944549634274
chr2	141095185	141214228	29	0.0007037002554448013
chr2	147985984	148275630	49	0.0007037002554448013
chr2	186026083	186145126	45	0.0076449152221249985
chr2	232977769	233156653	37	0.0003286204520898956
chr21	22704159	24054854	437	0.1188888812824746
chr3	50298438	50841289	67	0.029189463378265935
chr3	60426507	60545550	62	0.06773929355304449
chr4	20310116	20479664	119	0.01188875560044046
chr4	21102160	21430714	116	0.053009452360492204
chr4	181223661	181342704	93	0.05548354138212681
chr4	186519299	186880353	111	0.0463128030360454
chr5	25934121	27020841	127	0.023835465530309494
chr5	56793697	57120997	138	8.968100045208338e-05
chr5	59204459	59323502	126	0.0032441224514706273
chr5	59963527	60082570	122	0.021723338025983564
chr5	67348351	68771051	147	0.006780817780026494
chr5	131236727	131878640	134	0.0013488520612508898
chr6	27844660	28823495	160	0.023607682790477744
chr6	38091924	38651690	170	0.018416989583690778
chr6	45140162	45683699	164	0.004121670642517142
chr6	67766179	68700299	162	0.03434962028915076
chr9	21941391	22060434	213	0.15257320239575298
chr9	26270393	26679838	216	0.006817925766647212
