chrom	start	end	name	score
chr1	10764922	10928763	21	0.00290407894377075
chr1	24276907	24694469	26	0.0012334039680970857
chr1	31332508	31737211	18	0.002954116721318797
chr1	39969170	40305019	0	0.01922495394636182
chr1	46241479	46501948	25	0.005771047628667745
chr1	61106840	62361545	23	0.0017205229546498173
chr1	106327320	107689022	14	0.003300217252820743
chr1	150599202	150769139	16	0.009005501035434474
chr1	151577276	151824681	1	0.002930158016401181
chr1	153567828	153761700	28	0.0016673134750204144
chr1	154866700	155184646	20	0.0019098536071553902
chr1	155767082	156064210	9	0.002356171277953459
chr1	160944223	161118797	8	0.006876853263161335
chr1	171763783	172395327	19	0.0045796553298826925
chr1	201969765	202088809	22	0.0025128548073610605
chr1	204424391	204543434	4	0.0059109455311480595
chr1	234768090	234887134	10	0.0013701771988533411
chr10	4977348	5233692	240	0.0006492484193459679
chr10	8812766	9282706	249	0.0008058733595996437
chr10	11633710	12122522	255	0.00025340102325568627
chr10	31873372	32524107	247	0.000588260058312453
chr10	53200357	54407754	248	0.002845930126832881
chr10	59942726	60061769	250	0.0013770032977425955
chr10	61321198	62034364	242	0.006034646299111664
chr10	63604255	63953573	256	0.0015039361536297946
chr10	74894765	75176209	245	0.008084747348224536
chr10	75300349	75448565	258	0.0013793057034431685
chr10	77864432	78188035	257	0.007543168290344986
chr10	81308268	82447504	252	0.004621768005626958
chr10	124456338	124978026	254	0.0033998593597473073
chr11	13492322	14226122	278	0.001018953642714384
chr11	32047389	32515735	281	0.0022959248317847908
chr11	34650848	34769892	263	0.004474125860193076
chr11	40075295	41065335	269	0.0020701807579021885
chr11	46271747	46622389	274	0.0027634216968091315
chr11	62148903	62573639	272	0.002655589510586257
chr11	65460963	65580006	275	0.0007070474769702219
chr11	67152147	67373325	286	0.006773863834726621
chr11	69619952	69738995	285	0.020591632083098624
chr11	70319004	70438048	276	0.01480224478808293
chr11	71260778	71467434	282	0.002254597616878598
chr11	73143017	73470545	288	0.003546585580717406
chr11	74190902	74844343	270	0.0032667613363875905
chr11	77829950	77948994	259	0.010806587927025747
chr11	82111694	83074566	268	0.004776538820337669
chr11	88445898	89085879	267	0.002682661540078445
chr11	91450563	91845351	277	0.0016814717530372642
chr11	100200601	100585952	262	0.004821466022599082
chr11	102447525	102575127	271	0.0033956557402930465
chr12	641689	875437	315	0.00285525061215724
chr12	3896569	4521478	295	0.004801626673583296
chr12	6385923	6620669	312	0.0009227060805032813
chr12	19624312	20151125	293	0.011981814455903309
chr12	24935138	25138824	291	0.010721302970237281
