chrom	start	end	name	score
chr1	2160133	2241558	ENSG00000157933	0.2671812790887587
chr1	2487077	2496821	ENSG00000157873	0.2671812790887587
chr1	2985731	3355185	ENSG00000142611	0.29103607388566954
chr1	6241328	6269449	ENSG00000116251	0.2826963620734212
chr1	6845383	7829766	ENSG00000171735	0.2826963620734212
chr1	11166591	11322564	ENSG00000198793	0.2897968935992015
chr1	14026692	14151574	ENSG00000116731	0.2746745296346186
chr1	15817326	15853029	ENSG00000132906	0.2837681295308666
chr1	16174358	16266955	ENSG00000065526	0.2837681295308666
chr1	17345216	17380665	ENSG00000117118	0.2837681295308666
chr1	17866329	18024369	ENSG00000074964	0.28376812953086655
chr1	18957499	19075360	ENSG00000009709	0.293280118808212
chr1	23884408	23886285	ENSG00000117318	0.27909925409213027
chr1	23907984	23967058	ENSG00000197880	0.2790992540921302
chr1	27022523	27108595	ENSG00000117713	0.30030541999029386
chr1	32716839	32751766	ENSG00000182866	0.28293254922256755
chr1	35641978	35658749	ENSG00000116560	0.28844381999456514
chr1	36690016	36770958	ENSG00000054118	0.28347829021656057
chr1	36931643	36948879	ENSG00000119535	0.28347829021656057
chr1	40361097	40367928	ENSG00000116990	0.24355329511319623
chr1	43803477	43818443	ENSG00000117400	0.27746772233824063
chr1	45794834	45806142	ENSG00000132781	0.2962123273207835
chr1	47681961	47697892	ENSG00000162367	0.2962123273207835
chr1	47715810	47779819	ENSG00000123473	0.2962123273207835
chr1	51426416	51440305	ENSG00000123080	0.28138214825565194
chr1	51819934	51985000	ENSG00000085832	0.3125827358744863
chr1	59246464	59249785	ENSG00000177606	0.2836930209035582
chr1	65298911	65432187	ENSG00000162434	0.29765578698495754
chr1	78409739	78444794	ENSG00000162613	0.27854383646953723
chr1	85731930	85742773	ENSG00000142867	0.2751633195077776
chr1	93297581	93307481	ENSG00000122406	0.27890697792098024
chr1	110881127	110889299	ENSG00000162775	0.28304692565377276
chr1	114935398	115053781	ENSG00000197323	0.31395533504382805
chr1	115247089	115259515	ENSG00000213281	0.31395533504382805
chr1	116915289	116952883	ENSG00000163399	0.3278932962241307
chr1	120454175	120612240	ENSG00000134250	0.21862415869886867
chr10	855483	977564	ENSG00000107929	0.08059670038858852
chr10	3818187	3827473	ENSG00000067082	0.04910061030833999
chr10	8095566	8117161	ENSG00000107485	0.07470070683403317
chr10	21823093	22032559	ENSG00000078403	0.08249240850844543
chr10	27035521	27150016	ENSG00000136754	0.06920918733992186
chr10	31607423	31818742	ENSG00000148516	0.07005906008495318
chr10	32297937	32345359	ENSG00000170759	0.07005906008495318
chr10	43572474	43625799	ENSG00000165731	0.19871787929485116
chr10	51565107	51590734	ENSG00000138293	0.2348047397754451
chr10	52559168	52645435	ENSG00000148584	0.2348047397754451
chr10	61548520	61666414	ENSG00000108091	0.246925079610552
chr10	70320412	70454239	ENSG00000138336	0.23796565717752413
chr10	72357103	72362531	ENSG00000180644	0.23796565717752413
chr10	76585339	76792380	ENSG00000156650	0.22934864469126973
chr10	81462982	81474437	ENSG00000188199	0.22935421815118104
chr10	88516406	88692595	ENSG00000107779	0.2676487420093362
chr10	89117424	89130452	ENSG00000214562	0.2676487420093362
chr10	89622869	89731687	ENSG00000171862	0.26764874200933625
chr10	90750413	90775542	ENSG00000026103	0.2370200281547874
chr10	93806448	94050844	ENSG00000107864	0.23097383557783324
chr10	96796529	96829254	ENSG00000138115	0.23798385708964553
chr10	102889256	102897545	ENSG00000107807	0.24033776031867635
chr10	104153866	104162281	ENSG00000077150	0.24033776031867635
chr10	104263743	104393292	ENSG00000107882	0.24033776031867635
chr10	104845939	104953056	ENSG00000076685	0.24033776031867635
chr10	114206755	114578503	ENSG00000151532	0.24180735587112054
chr10	114710008	114927437	ENSG00000148737	0.23832531675885196
chr10	123237847	123357972	ENSG00000066468	0.2363750922578612
chr10	131265447	131566271	ENSG00000170430	0.23673612528870522
chr11	532241	537287	ENSG00000174775	0.09578374124089939
chr11	3022151	3078843	ENSG00000110619	0.09961905406171677
chr11	3692312	3819022	ENSG00000110713	0.09961905406171677
chr11	8245850	8290263	ENSG00000166407	0.1071553382221997
chr11	17741114	17743678	ENSG00000129152	0.10190205919600555
chr11	22644078	22647387	ENSG00000183161	0.0980233853845437
chr11	32409320	32457176	ENSG00000184937	0.08508239300603165
chr11	33880121	33913836	ENSG00000135363	0.08360950428196186
chr11	44117098	44266979	ENSG00000151348	0.04743333144373574
chr11	46299211	46342972	ENSG00000157613	0.10644974310821691
chr11	47236492	47260767	ENSG00000134574	0.10644974310821691
chr11	64570981	64578766	ENSG00000133895	0.23304669120394858
chr11	108093210	108239829	ENSG00000149311	0.0023322499058246134
chr12	46123447	46301823	ENSG00000189079	0.11786120715079196
chr12	48366747	48398269	ENSG00000139219	0.12596617808078145
chr12	49412757	49453557	ENSG00000167548	0.12596617808078145
chr12	49962000	50038449	ENSG00000110844	0.14114051660641516
chr12	50478754	50494495	ENSG00000066117	0.14114051660641516
chr12	51157492	51214905	ENSG00000123268	0.14114051660641516
chr12	52345450	52390862	ENSG00000135503	0.14114051660641516
chr12	54332534	54340328	ENSG00000123364	0.13810399348623245
chr12	54366909	54371427	ENSG00000123388	0.13810399348623245
chr12	56473640	56497289	ENSG00000065361	0.11496326407749025
chr12	57106211	57125412	ENSG00000196531	0.11496326407749025
chr12	57482676	57489259	ENSG00000166886	0.11496326407749025
chr12	57489190	57525922	ENSG00000166888	0.11496326407749025
chr12	57853917	57866045	ENSG00000111087	0.11496326407749025
chr12	57910370	57914300	ENSG00000175197	0.11496326407749025
chr12	58141509	58149796	ENSG00000135446	0.11496326407749025
chr12	59265930	59314303	ENSG00000139263	0.12408494836391126
chr12	65444405	65515346	ENSG00000156076	0.10590582456322799
chr12	66217910	66360075	ENSG00000149948	0.10590582456322799
chr12	69201955	69239214	ENSG00000135679	0.051996408093543244
chr12	70910629	71031220	ENSG00000127329	0.06310153051130381
chr12	92536285	92539673	ENSG00000133639	0.1181034569949332
chr12	95910335	95945266	ENSG00000136014	0.12489049777867095
chr12	104849072	105155792	ENSG00000171310	0.1199578494884489
chr12	111843751	111889427	ENSG00000111252	0.1282900569040426
chr12	112204690	112247782	ENSG00000111275	0.1282900569040426
chr12	112856154	112947717	ENSG00000179295	0.11196516485351232
chr12	115108058	115121969	ENSG00000135111	0.11196516485351232
chr12	121416345	121440315	ENSG00000135100	0.13215029558313962
chr12	122242085	122270562	ENSG00000139718	0.12112928413217809
chr12	122457327	122499948	ENSG00000110987	0.12112928413217809
chr12	122755978	122907179	ENSG00000130779	0.12112928413217809
chr12	122957416	122985518	ENSG00000033030	0.12112928413217812
chr12	124808960	125052135	ENSG00000196498	0.1266022484469708
