chrom	start	end	name	score
chr1	4288023	4407066	0	0.010560470178430594
chr1	6211261	6330304	1	0.03160531989400268
chr1	8002756	8121799	2	0.008707230311499194
chr1	10596478	10715522	3	0.0036723301371844232
chr1	21206264	21325307	7	0.005390060664786252
chr1	27114511	27233554	10	0.026833771893059497
chr1	49400411	49519454	18	0.012718201861508906
chr1	93277865	93396908	23	0.008790872867258786
chr1	111400249	111519293	26	0.014771950006647081
chr10	47298592	47417635	331	0.004621079944749308
chr10	51404665	51523708	332	0.0005814863025441907
chr10	53248319	53367362	334	1.008434685626455e-05
chr10	58402816	58536771	336	0.006460649534603538
chr10	77400473	77519516	345	1.7468786356302755e-05
chr10	89782997	89902040	350	0.01149376096136672
chr10	112692307	112811351	351	0.0025189251797996678
chr10	114416248	114535291	352	0.0006944476806988682
chr11	40432922	40551965	358	0.011102122035026328
chr11	46227861	46346905	360	0.002243844004261488
chr11	62726032	62845315	363	0.0017294101960797926
chr11	68409650	68528693	369	0.0004939749969091943
chr11	71572478	71691522	375	0.0014718989037760563
chr11	76060498	76179542	378	0.0009432976319021073
chr11	80269086	80388129	382	0.0017342077258556416
chr11	83991351	84110394	385	3.822421936825391e-10
chr11	85697610	85816654	386	0.00047637588569913965
chr12	1088933	1207977	393	0.00044935880797825447
chr12	12672540	12791583	397	0.001883911575171535
chr12	16414281	16533325	398	0.0021442082811478427
chr12	23848204	23967248	400	1.5598035164004438e-05
chr12	25883051	26002094	402	0.0003011042759719187
chr12	26664478	26783522	404	0.0009699618151108366
chr12	45452478	45571522	405	0.003692815706640749
chr12	58479840	58598883	412	0.00026300685020565006
chr12	67380221	67499265	414	0.0038224846148713423
chr12	68596277	68715320	416	0.001025100806121162
chr13	32734699	32858678	424	0.0012057030529745842
chr13	48941695	49060738	425	0.0014315712577369784
chr13	49160478	49279522	426	0.0032881559547085497
chr13	50902128	51021172	427	0.001361294247918856
chr13	84508170	84627213	429	0.002718308842281354
chr13	94210345	94329388	431	6.145199670311992e-05
chr13	112704136	112823179	434	0.0014289919867401663
chr14	40612524	40731568	443	0.006725997196223166
chr14	67436478	67555522	448	0.002607551027905333
chr14	68328478	68447522	450	0.0011430901227253052
chr14	68990151	69109194	452	0.0035791871624190857
chr15	32206279	32325322	459	0.011116382785542615
chr15	41964478	42083522	461	0.009568554999677249
chr15	52677889	52796932	463	0.0011516232615835383
chr15	57390900	57509943	464	0.0017874856667414167
chr15	74981836	75100879	470	0.00033496026941128205
chr16	51562303	51681346	487	0.016966350343395643
chr16	72490996	72610039	491	7.078228624032071e-05
chr16	78693475	78812518	493	0.004629463571842374
chr16	83108830	83227873	495	0.009493571824403376
chr17	7500478	7619522	496	0.06239421549371926
chr17	7933382	8052426	497	0.05325321727179607
chr17	11879922	11998965	498	0.05726194647476173
chr18	26227291	26346334	532	0.011285404051187373
chr18	48544478	48663522	538	0.02281028044062563
chr19	19184478	19303522	545	0.017835137102393907
chr2	111840478	111959522	74	0.0002124271594631734
chr2	133820478	133939522	79	0.00013593980902896485
chr2	136128478	136247522	81	0.0008159102639466994
chr2	139119931	139238974	83	0.0001816367100268211
chr2	141840478	141959522	85	0.0012450249981771364
chr2	148965944	149084988	87	0.0003912115391969276
chr2	159918814	160037857	91	9.796204174800174e-06
chr2	185152478	185271522	94	0.0001643044348917196
chr2	195747361	195866404	97	0.0003735151362806326
chr2	205836491	205955534	101	4.074890224179858e-05
chr2	212415111	212534154	102	2.890566885948951e-07
chr2	213592404	213711447	103	1.1924992521100327e-05
chr2	214700460	214819503	105	0.0002939219597109617
chr2	233566363	233685407	107	5.909638622295376e-05
chr2	234130644	234249688	108	5.909638622295376e-05
chr2	236793646	236912689	109	3.565942230174398e-05
chr20	14856478	14975522	555	0.048102828507136826
chr21	21996478	22115522	566	0.0018497596237090175
chr21	24708432	24827475	567	0.0008903007632727834
chr21	36314860	36433903	569	0.0013487361579154818
chr22	29273989	29393032	572	0.016206656884317775
chr3	4584478	4703522	111	0.007867361690236998
chr3	50679521	50798564	120	0.03060961504134461
chr3	60447679	60566722	122	0.0135887334208472
chr3	71163038	71282081	127	0.0012981458301988228
chr3	72777804	72896847	128	0.014448354854872855
chr4	87413979	87533023	180	0.0017640846942715406
chr4	91693581	91812624	183	0.0010234990939793252
chr4	180054461	180173505	188	0.0015813785640718216
chr4	182176589	182295632	189	0.005491785882673574
chr4	183262897	183381940	190	0.0044224689122536924
chr5	58562112	58681155	213	0.012300857610274009
chr5	59398602	59517645	214	0.023925077778167176
chr5	131076760	131195803	217	0.03590301099855431
chr5	165496754	165615797	221	0.04408711166199895
chr6	157210725	157329768	247	0.01741803419078282
chr6	162693059	162812102	248	0.06004817269259964
chr7	69444478	69563522	261	0.003920617720106747
chr7	77951180	78070224	262	0.0025829653967924973
chr7	90632341	90751385	264	0.0014087845441615474
chr7	101636478	101755522	267	0.0010048252857346573
chr7	110112478	110231522	269	0.004108192311425436
chr7	126785155	126904199	271	0.0011253351768434532
chr7	151765267	151884311	277	0.004505377768124415
chr7	157939792	158058835	278	0.0015037523153509456
chr8	3648221	3767264	279	0.0013491115618945255
chr8	6232478	6351522	280	0.01978173583571805
chr8	34838878	34957921	286	0.03975718487785559
chr8	37580749	37699792	289	0.01810291958848208
chr9	9404478	9523522	305	0.003386583124464611
chr9	11017701	11136744	306	0.003165049400903573
chr9	17374278	17493322	310	0.0016747339227696772
chr9	21916478	22035522	312	0.04330574154088962
chr9	26488478	26607522	314	0.005231043024760772
chr9	28524815	28643858	317	0.0027363031375437076
chr9	31256545	31375588	320	0.003421793478455926
