chrom	start	end	name	score
chr1	5758281	6359521	2	0.005450291478215946
chr1	7856438	8493750	15	0.005044565819411942
chr1	14711802	15089994	27	0.0052605942967833795
chr1	26780389	26989453	5	0.021811432968396605
chr1	51217575	51336619	13	0.0041924407606121735
chr1	93088471	93294034	11	0.006031198550933185
chr1	114725108	115702047	7	0.006852991271694639
chr1	157555762	158038113	17	0.005140879233668165
chr1	192981788	193166871	12	0.0013326214414566807
chr1	210418225	210907811	24	0.010272412056897003
chr1	212599176	213761196	3	0.012631405893364134
chr1	246237974	246357017	6	0.002846994939889413
chr10	47184277	47650133	244	0.006006157969181918
chr10	58218870	58714895	243	0.009262880384856486
chr10	77295386	77414429	251	0.00166390550890544
chr10	77918891	78043175	246	0.003028453607271874
chr10	89560990	89680033	241	0.006590962976952843
chr10	89965304	90084347	239	0.02547421593171936
chr11	39985638	40635879	287	0.006768653367023902
chr11	45931344	46402442	264	0.0064561167814241645
chr11	62685002	63185231	261	0.013049906541455176
chr11	64602254	65066589	273	0.0064679511424465255
chr11	68133517	68341010	266	0.006762732728124825
chr11	69896864	70147013	283	0.004143992616605097
chr11	72023274	72313020	289	0.012886317781705101
chr11	75846730	76992775	279	0.004019117117659702
chr11	80339167	80463952	265	0.005182114217882759
chr11	83964212	84366423	284	0.0014432174840350548
chr11	85972100	87096374	280	0.0036205147672527045
chr11	113905768	114104249	260	0.008796767279845115
chr12	12722317	13120592	290	0.023356963233982328
chr12	24097405	24228750	299	0.008258751874446805
chr12	26424358	26998323	294	0.006146323962049878
chr12	45348202	45969805	301	0.01276588829315595
chr12	52402269	53168356	310	0.00951415705321548
chr12	58096082	58747276	302	0.0047967713698376015
chr12	67138261	67494262	313	0.002197583636934317
chr12	74618787	75789025	305	0.004869272361133937
chr12	99864342	100151810	308	7.281879245981474e-05
chr13	32621411	32950651	321	0.0028103090884898786
chr13	48939729	49058772	318	0.010392532757756845
chr13	50860815	51455790	324	0.0057050125431529755
chr14	27537653	29081983	344	0.009427238884605725
chr14	33699932	33818975	334	0.002779406832949645
chr14	40295008	40722782	337	0.004619159724508998
chr14	67168861	67652025	342	0.0038239281206119075
chr14	68742331	68861374	328	0.002536885467647188
chr15	32159195	32278239	352	0.007829656493778496
chr15	41285416	42451276	355	0.012574546484709018
chr15	57326607	57557542	356	0.006015832378349889
chr16	3723115	3842158	367	0.0028177050945897893
chr16	23317721	24116798	360	0.005435616550219355
chr16	53432883	54385775	371	0.006282787053178452
chr16	72508842	72677340	365	0.0028593556734057323
chr16	78647303	78766346	357	0.0013480980803083666
chr16	79003131	79122175	361	0.0009901964803899648
chr16	83335710	83621823	372	0.0034756028733899684
chr17	7514447	7633490	378	0.005898167502446731
chr17	11812452	11954002	380	0.004328011769035747
chr17	32188861	32931084	394	0.015491496342586527
chr17	37461077	37780421	392	0.006627150357832238
chr17	39069342	39414905	376	0.006740293205556013
chr17	42042144	42320075	379	0.005139363129113028
chr17	44220411	44339454	387	0.010424662137861184
chr17	53330349	54068840	391	0.0020611823573159424
chr17	55765392	56193649	385	0.0034533877443232823
chr17	58928804	59481230	389	0.0017722571766566305
chr17	70365942	70514571	393	0.002403804289927479
chr18	3642355	4275605	403	0.0028123076916477152
chr18	7209439	8629661	397	0.006232985727696627
chr18	24556761	25643499	400	0.007505992793730575
chr18	48538690	48667732	399	0.004345365259398928
chr19	18878316	19376690	415	0.009968508676351889
chr19	34065789	34406265	413	0.009279468213895034
chr19	43206082	43735495	419	0.009695384430002806
chr19	47600563	47829029	414	0.034260009031830393
chr2	43102216	43918289	47	0.0034866256875809437
chr2	133733042	133852085	36	0.0008038027789720693
chr2	136044235	136519191	43	0.003925165154773317
chr2	141852754	141971797	29	0.005976787744498484
chr2	148743553	149033199	49	0.0025421384312253425
chr2	186890810	187009853	45	0.0006206197378294055
chr2	187311700	187430743	52	0.000262769093933739
chr2	213742720	213861867	34	0.0036049237971493347
chr2	233842479	234065299	37	0.004130687736317808
chr20	14912725	15031768	420	0.004817596052003702
chr20	38766260	39467155	421	0.01496130697288914
chr20	45218930	46034672	431	0.005758450037070724
chr20	47640176	48144702	433	0.0031245505359793753
chr20	53847353	54168429	422	0.002485417109667352
chr20	59256957	59983703	429	0.0022133712760823362
chr21	24076479	25427169	437	0.004535593731910105
chr21	36239813	36482914	436	0.000870223535470984
chr22	22852244	23313369	444	0.0016415901082485285
chr22	25775753	25894796	443	0.0008774356636760074
chr22	28478268	29020831	445	0.005159099812204447
chr22	29278052	29397095	440	0.0009340567871900655
chr22	33865202	34313677	441	0.004466066349365179
chr3	4298031	4566842	82	0.0017668102724728457
chr3	50335869	50878720	67	0.014505737388154435
chr3	60412240	60531283	62	0.009470919162607776
chr3	71264717	71383760	69	0.009894190690781844
chr3	114311229	114430273	89	0.009918906758715332
chr3	116547466	116666509	63	0.008980113032900966
chr3	125469379	126976615	83	0.010471741862658854
chr3	135952675	136450351	85	0.00728451054004762
chr3	160129384	161903327	91	0.008261301910889364
chr3	174774387	174893430	66	0.0029966189427529785
chr3	188166846	188285889	68	0.008866652795438327
chr4	10020807	10139850	112	0.001116540844279152
chr4	19579540	19803047	99	0.0015585980211404989
chr4	20311739	20481287	119	0.0012771477737975989
chr4	21103783	21432337	116	0.007629463675999435
chr4	33780693	33991366	95	0.011742984145357849
chr4	60108690	61998938	102	0.005482109119323873
chr4	82008971	83123763	108	0.007228891452296147
chr4	87477561	87703607	120	0.00724093898134
chr4	91777414	91896457	94	0.004163573625791017
chr4	132708393	134560407	107	0.0037348998632795835
chr4	182144814	182263857	93	0.006890093503561965
chr4	183140721	183429619	106	0.001866654760336628
chr4	187440453	187801507	111	0.0032783354972727298
chr5	6112570	6656833	125	0.003379460562047344
chr5	15894084	16736119	133	0.005688698652294053
chr5	25934230	27020948	127	0.00595000089713348
chr5	31938679	32973100	135	0.004265813515006879
chr5	56089524	56416824	138	0.006604028473258364
chr5	58500285	58619328	126	0.002222957706286859
chr5	59259354	59378397	122	0.00411829076090872
chr5	66644179	68066878	147	0.009058960675855638
chr5	100075960	100806984	136	0.001761749631445803
chr5	130572420	131214333	134	0.0037787198927649135
chr5	165556098	165722992	128	0.005412035931539189
chr6	1907547	2026590	156	0.0009494397997601858
chr6	27812438	28791272	160	0.007408643605642485
chr6	38059700	38619466	170	0.007485758868284743
chr6	45107899	45651436	164	0.011690501840398874
chr6	68476072	69410191	162	0.009505908586495112
chr6	162662514	162781557	150	0.004449093111009519
chr6	168372497	168491540	167	0.0020924199452650436
chr7	3727614	3884420	183	0.0029084639004546466
chr7	50414326	50832599	182	0.00463596226173189
chr7	69348739	69467782	184	0.003129157681335982
chr7	69965189	70084232	175	0.0014090999604359708
chr7	83263446	84732043	186	0.0008000468603956511
chr7	101503243	101887721	185	0.001865009635250856
chr7	110399106	110518149	174	0.0011282978729411557
chr7	126390050	127428332	176	0.0016035304271327956
chr7	151764558	152106777	192	0.0030602985941625875
chr8	3742692	3861735	197	0.0030291568546668437
chr8	22205917	23093349	194	0.025166865703551984
chr8	36071242	37065643	210	0.014197811794944155
chr8	37285837	38080166	199	0.006725157003830418
chr8	90322011	90475441	201	2.136882453504672e-05
chr9	9423309	9542352	217	0.0018419311741214716
chr9	10991477	11494076	228	0.006718386373158709
chr9	16665363	17111348	223	0.0017365638701584256
chr9	21941390	22060433	213	0.03200542613199725
chr9	26270391	26679836	216	0.007476226185677207
chr9	28247759	28459511	225	0.0060330859301561506
