chrom	start	end	name	score
chr1	150571678	150741615	16	0.03748822172848719
chr1	151549752	151797157	1	0.015113214942020607
chr1	153540304	153734176	28	0.0025227699525176076
chr1	154839176	155157122	20	0.005831729081365471
chr1	155736873	156034001	9	0.032618463441153135
chr1	160914013	161088587	8	0.01668477763169391
chr1	171732923	172364467	19	0.003976267788922285
chr1	201938893	202057937	22	0.004238900469013802
chr1	204393519	204512562	4	0.028773994286127764
chr1	234903837	235022881	10	0.010005371588260793
chr10	5019540	5275655	240	0.009075459985356691
chr10	8854729	9324669	249	0.014328450920149014
chr10	11675709	12164521	255	0.004759789903441491
chr10	32162300	32813035	247	0.007043558417274677
chr10	47408334	47827719	253	0.001963878809471215
chr10	54960117	56167514	248	0.000928105325463304
chr10	61702484	61821527	250	0.0003790051462540638
chr10	63080956	63794123	242	0.003910144155964663
chr10	65364015	65713333	256	0.0008314316872859479
chr10	76654523	76935967	245	0.006845421145153344
chr10	77060107	77208323	258	0.0008308055493551939
chr10	79624190	79947792	257	0.004739640627254067
chr10	83068024	84207260	252	0.0021532107572238405
chr10	126144907	126666595	254	0.0011230136335452028
chr11	61916375	62341111	272	0.00239661661349506
chr11	65228434	65347477	275	0.0012862843122150485
chr11	66919618	67140796	286	0.004244844387288368
chr11	69434720	69553763	285	0.0028563537777983997
chr11	70165110	70284154	276	0.00191570524300437
chr11	70971824	71178480	282	0.0005186202955485494
chr11	72854062	73181590	288	0.0013860417696203477
chr11	73901947	74555388	270	0.001123945486775262
chr11	77540996	77660040	259	0.004321728777056277
chr11	81822736	82785608	268	0.0013836456793345556
chr11	88179066	88819047	267	0.00028762669680751336
chr11	91183729	91578517	277	0.0005929280142446386
chr11	100071333	100456683	262	0.0006315225517169983
chr11	102318256	102445858	271	0.0014597985497505908
chr12	750855	984603	315	0.0043976079798217415
chr12	4005735	4630644	295	0.0022352324187431085
chr12	6495089	6729835	312	0.003030499131366998
chr12	19777246	20304059	293	0.0058219689254875905
chr12	25088072	25291758	291	0.010250322881329746
chr12	26308757	26427801	311	0.0017042859980688002
chr12	27312183	27724555	300	0.003840670703890785
chr12	46271490	47236325	296	0.0009685611073893892
chr12	48096881	48215924	304	0.00014334685813503312
chr12	52494771	52613815	307	0.00028041163563884646
chr12	56477038	56596081	303	0.00015302084508729885
chr12	58142641	58261684	292	8.918143476195063e-05
chr12	60147861	60485820	298	0.0001835100815050653
chr12	65893626	66407162	306	0.00013361663255294733
chr12	67641689	67887068	314	4.675162328638094e-05
chr12	69490369	69636780	317	0.0006911246028402609
chr12	95808951	96199625	309	0.00010623857161705394
chr12	125136985	125256028	297	3.4795387608919145e-05
chr13	27726123	28583697	323	0.0007641769129042133
chr13	30777977	31270349	319	0.0008025065869893
chr13	54542287	55760400	325	4.155221291107968e-05
chr13	71624228	72471666	326	0.0003387154057957704
chr13	73860342	73979385	320	0.0003244436247294489
chr13	106659219	107933285	322	0.0007115407504744557
chr16	1995842	2383828	368	0.007770021361939178
chr16	4202082	4345377	373	3.8318583026841074e-05
chr16	11731483	11869700	359	0.010766479382620807
chr16	18839445	19602747	369	0.005629284021363317
chr16	29044352	29740329	362	0.005679026586102255
chr17	31063757	31344450	384	0.004194235185174995
chr17	36040114	36220312	388	0.00023594432292634252
chr17	37814919	37933962	375	0.031463711646898845
chr17	46328894	46556435	383	0.008919049664182326
chr17	48593060	48789511	386	0.0067356190085601265
chr17	50404258	50789048	377	0.0036905300395656867
chr17	60648695	61741852	382	0.007472537564947557
chr17	67196640	67890043	374	0.006617551318893402
chr17	73467763	73586807	381	0.010413286564582094
chr17	77734233	78056848	390	0.003840123723035804
chr18	3374767	3499942	396	0.025426646324136968
chr18	9476695	10938627	406	0.003926022729476734
chr19	33519365	33816790	410	0.01677451777587194
chr19	35468671	35852015	417	0.006762175531287507
chr19	37789605	38291932	408	0.015005402389194192
chr19	39664941	39859916	411	0.019891948348939113
chr19	45197410	45316453	412	0.0064914697474738586
chr2	4939908	5248723	51	0.012131000393409561
chr2	28760823	28879866	44	0.0050665171462463
chr2	43133499	43364389	48	0.0011105030347438375
chr2	56719500	57272851	55	0.0006129776046297249
chr2	61280524	61940385	31	0.0038247248524543257
chr2	67058791	67247154	50	0.005349171401969385
chr2	85161928	85620345	39	0.005165603367525129
chr2	103076527	103501295	38	0.0001457598620922377
chr2	114022993	114142037	35	0.0030351906386523867
chr2	116118599	116503797	32	0.00223736461584754
chr2	117826949	118320719	60	0.00033232724840208264
chr2	123203267	124277151	42	0.0006847117123427083
chr2	136759228	137287763	59	0.00033896369997629845
chr2	140652913	141053948	53	0.0005522129024402872
chr2	159524119	159891349	40	0.0008312398412984349
chr2	177598943	178479541	33	0.0008948575418217798
chr2	191054682	191532321	30	0.0013080024374074242
chr2	195089370	195978143	41	0.0007046439060446687
chr2	204258457	204874921	57	0.000752868655299518
chr20	34059289	34178332	424	0.012239939897675061
chr20	42716839	43707813	427	0.00620374551236895
chr20	45958505	46077548	428	0.004728668876411896
chr20	48654362	48886540	425	0.004300147845929903
chr20	52134620	52253663	434	0.020024164556294712
chr20	55535014	56580230	430	0.0014454695032510676
chr20	58845327	59850940	432	0.0022869851386663324
chr20	60877594	60996638	423	0.001567535748348209
chr21	27563981	29211589	438	0.0006509190196758148
chr21	34741048	34860091	435	2.4538230358606396e-06
chr3	100992050	102444535	84	0.00024071479161683003
chr3	107631968	107751012	78	0.0012115829867194617
chr3	109621291	110836404	86	0.001516348961402893
chr3	115149776	115973138	88	0.005909879692568137
chr3	148787016	149621348	73	0.005430382010156241
chr3	166020407	166603769	72	0.009007943239448833
chr3	168683826	168802869	64	0.010028255677513536
chr3	169548446	169667490	74	0.024076665827541713
chr3	172180285	172299328	61	0.018697320828775094
chr3	174118798	174294887	81	0.006161997355955235
chr3	177069806	177414593	77	0.011682920291333852
chr3	181273593	181928556	65	0.00304847508552768
chr3	188750796	188971833	87	0.0029871766275117017
chr3	189510959	189838502	90	0.002290988701884065
chr4	57411823	57604555	105	0.0006656541903103572
chr4	60229100	61415503	110	0.0005967388611599635
chr4	65285589	66552501	103	0.0004546409665506505
chr4	73734130	74067073	92	0.0005801165618481577
chr4	77195795	77671354	101	0.0004655266959936358
chr4	78163280	78282323	118	2.5245812331581033e-05
chr4	90925767	91044811	109	1.5853765414765401e-06
chr4	144374339	144886109	97	0.000557203952303693
chr4	153957286	154076329	117	6.161149490978185e-05
chr5	1097591	1216634	130	0.008419709019788769
chr5	8000468	8453144	143	0.0034796852824002587
chr5	14069792	14427201	141	0.0018180082301255942
chr5	16399158	16808360	145	0.003996880857192938
chr5	21982188	23108941	121	0.011066693224919589
chr5	28006389	29170593	140	0.0045438960501544235
chr5	31575341	32519706	144	0.003215842604860395
chr5	35617488	37520080	146	0.0159762727928022
chr5	36156861	36428160	129	0.012651251050092896
chr6	6735404	7149435	152	0.002504930960541455
chr6	11334694	11453737	161	0.003911753284968496
chr6	13296309	13509238	171	0.0007200505571962369
chr6	18454897	18629310	166	0.00399911367047652
chr6	19696050	20334112	149	0.002460224946669446
chr6	21224485	21809939	169	0.0011360039946211177
chr6	30575191	30767427	158	0.0014985516693967135
chr6	31574113	31812353	168	0.0018710724133238171
chr6	37249162	37561073	165	0.0024626641391616026
chr6	41795451	42143170	163	0.003714956290676612
chr6	43759391	43878435	148	0.004558924530045334
chr6	46842097	47120916	159	0.0022839247655033605
chr6	52865648	53568818	151	0.002938105925526408
chr7	14750037	15328719	179	0.002598315078499511
chr7	17290994	17646860	188	0.0012703194414817915
chr7	47722727	47920673	189	0.0011605465935729251
chr7	53425271	53544315	178	0.0004633157416055487
chr7	67621038	68627757	181	0.00371200289003829
chr7	91452043	92249833	173	0.0012765783238289008
chr7	98511675	99454048	177	0.002324561587831142
chr7	104401998	104715478	191	0.0005821863083641488
chr7	116330970	116513212	190	0.000851339127382559
chr7	144215742	144437137	187	0.0005683131641462724
chr8	55246390	55365434	207	0.021945610174006838
chr8	68482580	70228198	208	0.008314737990331472
chr8	101295688	101441274	205	0.005195568338498206
chr8	107039717	107542826	212	0.005540403386995192
chr8	113390563	114733784	198	0.012778989600914654
chr8	128331565	128450608	206	0.0034533364129834343
chr8	128745510	128864553	196	0.08913219916387438
chr8	129537965	129657008	211	0.016659401333701578
chr8	142040174	142159217	202	0.004292790034864359
chr9	3690545	3997914	231	0.005482561022228899
chr9	6395784	7050834	236	0.0007644116906505647
chr9	8556540	9321421	226	0.0015023130434326886
chr9	12739602	13013795	232	0.0021974743565392222
chr9	13905864	14163508	219	0.0013553156536241639
chr9	14759759	15327140	235	0.0002807998259402771
chr9	19284053	19661201	215	0.0021079057626923487
chr9	20775704	20994896	233	0.002109920399963347
chr9	25466493	25786522	237	0.002660125965311676
chr9	27851453	28025192	218	0.0006770230840264677
chr9	30245128	30517232	221	0.0030326077339509236
chr9	31791759	32053678	227	0.0004446487619631814
chr9	33949653	34121482	220	0.0030039142769886554
chr9	35692546	35811590	214	0.003395027434608974
