chrom	start	end	name	score
chr1	154866700	155184646	20	0.005176077400593235
chr1	155767082	156064210	9	0.03142357570078661
chr1	204424391	204543434	4	0.07304799706483589
chr10	4977348	5233692	240	0.0151762756509594
chr10	8812766	9282706	249	0.029552998401480998
chr10	11633710	12122522	255	0.0044129889927520295
chr10	31873372	32524107	247	0.012644701086441985
chr11	62148903	62573639	272	0.0025877304858153176
chr11	67152147	67373325	286	0.004384151741498229
chr11	69619952	69738995	285	0.003889934670149926
chr11	70319004	70438048	276	0.0010931372496007074
chr11	73143017	73470545	288	0.000751012124326005
chr11	77829950	77948994	259	0.0031393966005004207
chr11	82111694	83074566	268	0.0026121609220350174
chr11	88445898	89085879	267	0.015437230306364002
chr11	91450563	91845351	277	0.005073058642774434
chr11	100200601	100585952	262	0.02707394158917738
chr11	102447525	102575127	271	0.005822765475753139
chr12	3896569	4521478	295	0.03114178995987001
chr12	6385923	6620669	312	0.0033593165523310227
chr12	19624312	20151125	293	0.01675962537830761
chr12	24935138	25138824	291	0.01043857922371967
chr12	26155824	26274868	311	0.002786233547283319
chr12	27159250	27571622	300	0.006580525933931244
chr15	25337247	25692020	350	0.0016888067885751112
chr15	53171399	53468198	354	0.0014134031206402093
chr15	71528646	71647690	348	0.0007177384800187048
chr15	86862062	86998071	345	0.0012374473650109082
chr15	90117058	90328261	349	0.00034557592839390227
chr15	92712490	92831533	346	0.0011054365167711075
chr16	4152081	4295376	373	0.002660938575628118
chr16	11637627	11775844	359	0.0021399871000518144
chr16	18828123	19591425	369	0.0012764644814352085
chr16	29033031	29729008	362	1.3416466974026598e-05
chr17	39658666	39777709	375	0.002278979014822215
chr17	52326898	52711688	377	0.005307805369057835
chr17	62571334	63664492	382	0.005502728928368336
chr17	69200499	69893902	374	0.007492173291932151
chr17	75471682	75590726	381	0.004386728636278629
chr17	79760434	80083049	390	0.0012856890529183084
chr18	3374769	3499944	396	0.002178761527811314
chr18	9476697	10938629	406	0.0008693538530468057
chr19	9028351	9157312	418	0.006613328367826344
chr19	10625699	10836058	409	0.02537459366703447
chr19	13225661	13473891	416	0.010906842627352772
chr19	15209520	15367640	407	0.12406947569077523
chr2	56492365	57045716	55	0.009916108912294566
chr2	61053389	61713250	31	0.0018008336162603118
chr2	102460067	102884836	38	0.0026702145159077178
chr2	115361023	115746221	32	0.008414230291321356
chr2	117069373	117563143	60	0.0008479919997273056
chr2	122445691	123519575	42	0.001056495094391907
chr2	136001658	136530193	59	0.002389685566270716
chr2	139895344	140296379	53	0.004042088505872727
chr2	194224646	195113419	41	0.0008043698551410053
chr2	203393734	204010198	57	0.0005175131907226034
chr20	10885934	11882474	426	0.017446363510634815
chr20	35471464	35590410	424	0.005023739748203434
chr20	44088199	45079172	427	0.0003890598314820026
chr20	47329761	47448804	428	0.0011417266650700076
chr20	50037825	50270003	425	0.001331665336034909
chr20	53518081	53637124	434	0.0010117633540413066
chr20	56959958	58005174	430	0.004447558147695629
chr20	60270269	61275884	432	0.0029568802436716196
chr21	33368742	33487784	435	0.0032410728295501215
chr3	9194927	9405810	76	0.006798279528464745
chr3	13618766	13737811	71	0.0015796353912033107
chr3	101273206	102725691	84	0.00015804542883800105
chr3	107913121	108032165	78	0.0002724960220107018
chr3	109902444	111117557	86	0.0006929595201640047
chr3	115430929	116254291	88	0.0007362906253955049
chr3	149069229	149903561	73	0.0011207053123462073
chr3	166302619	166885981	72	0.0065311641155291434
chr3	168966038	169085081	64	0.002421856526312016
chr3	169830658	169949702	74	0.0006583270112077044
chr3	172462495	172581538	61	0.0048027582380956325
chr3	174401008	174577097	81	0.0008846247666030059
chr3	177352018	177696805	77	0.0027693410287784187
chr3	181555805	182210768	65	0.006881131519224546
chr3	189033007	189254044	87	0.00018497837814400122
chr3	189793170	190120713	90	0.0009051153480411061
chr4	10222752	10341795	98	0.00297477755091022
chr4	11932112	12385295	113	0.009345771292405462
chr4	20130254	21194165	104	0.005480861713216536
chr4	25136122	25980942	115	0.003225851952697622
chr4	32725678	34307033	96	0.008486221952331457
chr4	37826255	38759880	114	0.00014196996957030095
chr5	1097476	1216519	130	0.00048569971716050326
chr5	8000355	8453031	143	0.000898207115677706
chr5	14069683	14427092	141	0.00011292511780290076
chr5	16399049	16808251	145	0.000898207115677706
chr5	21982079	23108832	121	0.000898207115677706
chr5	28006282	29170486	140	0.0011152064071340074
chr5	35617386	37519978	146	0.0030859952519300205
chr5	36156759	36428058	129	0.0011827129943888079
chr5	138220444	138824105	123	0.0013365723168835089
chr5	149551455	149680855	131	0.0003880119026432026
chr5	165806843	166172416	124	0.00455709148170873
chr6	6735171	7149202	152	0.0020994650402617137
chr6	11334461	11453504	161	0.004122629412895528
chr6	13296077	13509006	171	0.0003775923481845025
chr6	18454666	18629079	166	0.00020736942896130138
chr6	19695819	20333881	149	0.0024920845232475164
chr6	21224254	21809708	169	0.0012873109754757087
chr6	30607414	30799650	158	0.0007913860417513054
chr6	31606336	31844576	168	0.0023673533093875156
chr6	41827713	42175432	163	0.0023643950640269158
chr6	43791654	43910698	148	0.00438172220393733
chr6	46874360	47153180	159	0.007978040375758454
chr6	53000850	53704020	151	0.0009798102421923066
chr7	14710412	15289094	179	0.023189121530234055
chr7	53357578	53476622	178	0.009805673553510166
chr7	68156051	69162770	181	0.006177667279130941
chr7	91822729	92620519	173	0.01654002727069691
