chrom	start	end	name	score
chr1	7796378	8433690	15	0.010711596091383814
chr1	14385306	14763498	27	0.010552249280215968
chr1	50751903	50870947	13	0.005029788558714745
chr1	92622914	92828477	11	0.0452514896513739
chr10	87801233	87920276	241	0.0040951746422668075
chr10	88205547	88324590	239	0.0040951746422668075
chr11	39964088	40614329	287	0.0019565729525031312
chr11	45909793	46380892	264	0.009322560452809589
chr11	62917530	63417759	261	0.04889003932905152
chr11	64834782	65299118	273	0.005816574827759623
chr11	68366049	68573542	266	0.01369065971368471
chr11	72312230	72601976	289	0.023170802993924235
chr11	76135686	77281730	279	0.01089642418928709
chr11	84253169	84655380	284	0.001357085575680446
chr12	44954419	45576022	301	0.2056965429841326
chr12	52008485	52774572	310	0.07269439570946845
chr12	57702299	58353493	302	0.021295080299689684
chr13	32047274	32376514	321	0.04703397723356762
chr15	31866992	31986036	352	0.0002785961195863545
chr15	40993218	42159078	355	0.00020663504729004456
chr15	57034409	57265344	356	0.0003450670729021429
chr16	53398971	54351863	371	0.03792482952288803
chr17	7611129	7730172	378	0.06209211844902918
chr17	11909135	12050685	380	0.03161602922639655
chr18	3642356	4275605	403	0.026745318145074637
chr18	7209441	8629663	397	0.053819383267443455
chr2	141095185	141214228	29	0.0005114676120366861
chr2	147985984	148275630	49	0.0005114676120366861
chr2	212877996	212997143	34	0.006946268479694998
chr2	232977769	233156653	37	0.00047769974956338103
chr4	21102160	21430714	116	0.02048911298855753
chr4	33779071	33989744	95	0.02048911298855753
chr4	59242972	61133220	102	0.012345156966853881
chr5	25934121	27020841	127	0.048840928496552694
chr5	31938573	32972994	135	0.011972602760677355
chr6	67766179	68700299	162	0.03457838741713785
chr9	10991477	11494076	228	0.02499724922264188
chr9	21941391	22060434	213	0.009718894683055836
chr9	26270393	26679838	216	0.006993070962684173
chr9	28247761	28459513	225	0.008983430147398736
chr9	31388257	32049497	222	0.009718894683055836
chr9	129101938	130380154	238	0.02784208925110376
