chrom	start	end	name	score
chr1	27092661	27233661	TSG2	3.8859325601776815
chr1	6090255	6357053	TSG3	2.6926243569706605
chr1	115172418	115629917	TSG4	2.099619979406956
chr1	212364619	212903281	TSG7	1.3055840822686302
chr1	93179603	93320603	TSG8	3.5284730211909063
chr1	246195942	246336942	TSG9	11.860463885380524
chr1	51209384	51350384	TSG14	6.151530943865759
chr1	193039084	193180084	TSG15	4.84953719780978
chr1	157607111	157835327	TSG22	1.6986890116637177
chr1	241635411	241911033	TSG23	1.2126701112749334
chr1	8111633	8478236	TSG24	2.3493034765527714
chr1	149166119	149307119	TSG25	3.573867655735329
chr1	72226753	72367753	TSG26	3.8704320848156746
chr1	189217000	189557635	TSG30	3.101660640945556
chr1	14995317	15152161	TSG33	4.511238823904756
chr1	49411670	49552670	TSG41	2.8428816403916097
chr1	166010040	166151040	TSG45	2.637927909658059
chr1	246373113	246686639	TSG46	1.5588473498243618
chr1	10648504	10789504	TSG47	2.112220838604402
chr2	141848687	141989687	TSG48	84.00388006529025
chr2	233451612	233592612	TSG53	5.849592314630928
chr2	136154713	136332040	TSG54	4.564995685990426
chr2	213731079	213872079	TSG55	12.9188575416286
chr2	43377351	43722208	TSG57	3.746852857822979
chr2	187080060	187221060	TSG58	10.323439745248008
chr2	205801195	205942195	TSG65	9.14184049627306
chr2	67987432	68399202	TSG67	0.9931546788061384
chr2	133714460	133855460	TSG68	7.3563137197436115
chr2	148825180	148966180	TSG69	4.247590200789329
chr2	195707125	195984368	TSG71	2.390793238597847
chr2	112036031	112372865	TSG72	1.5166828340923093
chr2	77873394	78065734	TSG74	4.234898183976899
chr2	54698165	55114886	TSG84	2.39535170364456
chr2	63173109	63490918	TSG85	1.967893335484318
chr2	236734094	236875094	TSG87	3.4886456890537203
chr2	159841424	160100372	TSG89	2.131587808517868
chr2	139010900	139253205	TSG101	2.120032875497622
chr2	154883300	155024300	TSG104	2.6563890472305896
chr2	9491578	9632578	TSG106	2.7359424707585
chr3	60398378	60539378	TSG110	71.00977952843593
chr3	116533210	116674210	TSG111	26.269869544704715
chr3	174772559	174913559	TSG114	21.81167241374275
chr3	50302196	50601251	TSG115	2.4255976983982057
chr3	127448809	128239555	TSG116	1.957119152638202
chr3	188158453	188299453	TSG117	6.41935242051274
chr3	71253019	71394019	TSG120	6.237087337566146
chr3	160728049	161329896	TSG124	1.6219637935844473
chr3	193668094	194141888	TSG127	2.592384273973072
chr3	80865559	81483811	TSG128	1.4426590722159058
chr3	185154528	185732648	TSG130	1.8826990554402168
chr3	116319452	116460452	TSG136	12.91189941547894
chr3	4331361	4517513	TSG137	4.377570145113465
chr3	177457310	177926606	TSG139	1.819387683046684
chr3	9103873	9244873	TSG141	3.853555850471192
chr3	168992140	169133140	TSG145	3.298459107338495
chr3	11551156	11692156	TSG146	2.8332216616983503
chr3	114301008	114442008	TSG152	3.1645574429339574
chr4	182139003	182280003	TSG157	26.313727097533363
chr4	91763960	91904960	TSG158	20.541348552550307
chr4	33782193	33923193	TSG159	3.256715849278306
chr4	19525634	19666634	TSG164	5.387734603655583
chr4	61026227	62263100	TSG165	1.2620284430839177
chr4	9966599	10107599	TSG171	5.314719231161836
chr4	21147783	21353185	TSG175	4.538947890038008
chr4	87333867	87474867	TSG179	2.763133039477897
chr4	151390765	151531765	TSG180	2.048032571140026
chr4	187427346	187802834	TSG181	5.962236888791064
chr4	143261674	143402674	TSG186	2.5125619506539127
chr4	182230881	182602005	TSG192	6.652894254832728
chr5	59227107	59368107	TSG194	20.259868325863184
chr5	5959989	6284953	TSG197	3.3773283057620587
chr5	69969033	70436742	TSG198	3.151311581471209
chr5	26005416	26634244	TSG199	2.8059880949611107
chr5	58463060	58604060	TSG200	13.884058824609586
chr5	165547801	165688801	TSG202	7.501359318074272
chr5	100089144	100648018	TSG203	2.0516980811691905
chr5	15981282	16529475	TSG205	2.0612520010936968
chr5	130783425	131175108	TSG206	2.069265958994601
chr5	32101422	32328231	TSG207	2.573503186192353
chr5	56169722	56393313	TSG213	2.221596727185932
chr5	109716978	109872200	TSG214	3.175172462547212
chr5	162666324	162829317	TSG222	2.0587537607555864
chr5	140542807	140683807	TSG225	2.735058409835067
chr5	93274044	93431191	TSG226	2.583612486948744
chr5	65959602	66436202	TSG232	2.2697203043691485
chr5	1191609	1561076	TSG235	7.989188545660503
chr6	162668635	162809635	TSG238	25.488912362785747
chr6	1890686	2031686	TSG244	9.35207234304795
chr6	28423660	29141155	TSG249	1.4286005551636145
chr6	68419977	68786429	TSG251	1.2695728333682592
chr6	38135571	38526134	TSG255	2.137829193777291
chr6	157272038	157413038	TSG256	4.077809986603207
chr6	168369156	168510156	TSG258	4.430138921384512
chr6	45066165	45501278	TSG260	1.3261495585212173
chr6	87509795	87842681	TSG261	1.781275417000482
chr6	114310467	114724201	TSG262	1.1254936306637005
chr6	149559317	149894306	TSG263	1.1611697989436536
chr6	101294996	101565551	TSG267	3.467076760912676
chr6	20737766	20878766	TSG269	2.9899295394553245
chr6	119722853	119863853	TSG272	3.2974340008510787
chr6	148057834	148198834	TSG274	2.9116328306914645
chr6	163595244	163809237	TSG275	2.6952668025693827
chr6	169979217	170120217	TSG278	2.8570766514739376
chr6	49778507	50664729	TSG281	1.6203839640116926
chr6	144973577	145114577	TSG282	2.151376275629287
chr6	1685664	1826664	TSG284	4.368497126191617
chr7	110369383	110510383	TSG286	17.839468749801554
chr7	69953866	70094866	TSG287	8.901167990481717
chr7	126858817	127121521	TSG288	3.265223567253204
chr7	152169874	152350958	TSG292	3.1617336892452723
chr7	69367365	69508365	TSG293	7.545848560858994
chr7	146395799	146546878	TSG294	2.6169326942410693
chr7	33371382	33512382	TSG295	5.006644817397761
chr7	50318769	50459769	TSG296	1.7803949327045463
chr7	78021042	78162042	TSG297	3.4861724695369385
chr7	118777965	119106697	TSG300	2.081573767755821
chr7	3867985	4008985	TSG303	4.829706885714472
chr7	101619566	101784655	TSG304	2.826537349221989
chr7	83706113	84431172	TSG305	2.1234977187410604
chr7	89615875	89852769	TSG310	3.5682225479991705
chr7	157589285	157807492	TSG312	5.430537524691734
chr7	133516226	133657226	TSG315	2.688947277506617
chr7	91576560	91886564	TSG316	2.933762855294025
chr7	17153166	17295472	TSG317	2.061132237529435
chr7	11548726	12044455	TSG318	2.098556697298342
chr7	7847621	7988621	TSG321	2.4448917993488424
chr7	50725046	50866046	TSG323	2.582188374835158
chr8	3694578	3835578	TSG326	17.192521004419863
chr8	90321567	90462567	TSG329	6.0367070321773
chr8	26160089	26734561	TSG334	2.1894664039061267
chr8	141052812	141260421	TSG347	3.050293337149515
chr8	128910499	129424576	TSG350	2.4255583460047934
chr8	122928134	123362132	TSG357	1.5738126247583923
chr8	3215251	3907852	TSG358	0.9484639469912882
chr8	34918661	35386535	TSG360	1.9040949594530725
chr8	137644995	137935804	TSG361	1.8364348965400052
chr9	21931645	22072645	TSG362	62.16552789605691
chr9	9412056	9553056	TSG363	26.844979425985315
chr9	30603029	30744029	TSG368	7.729597441583581
chr9	132241857	132800347	TSG369	1.8111629398945428
chr9	17234459	17375459	TSG375	5.120914270196519
chr9	28268969	28409969	TSG376	5.065649955180408
chr9	10974437	11443578	TSG378	2.513228848370569
chr9	26318253	26562268	TSG385	6.601579534895422
chr9	3949010	4145517	TSG387	3.2644096332537123
chr10	89752254	89893254	TSG398	22.35567716363634
chr10	58562249	58854207	TSG402	2.9354191527319524
chr10	47423507	47777417	TSG403	2.4836723614354703
chr10	77397676	77538676	TSG405	6.194963050850804
chr10	24282638	25264099	TSG409	1.1465430572011357
chr10	89547311	89688311	TSG411	12.64443001221942
chr10	68781830	68935175	TSG413	4.8658594019284624
chr10	77966641	78107641	TSG416	4.9961314971691015
chr10	76006183	76147183	TSG417	4.624873921338966
chr10	53137827	53278827	TSG419	2.6328563599610906
chr10	56362451	56765000	TSG426	1.81133095669117
chr10	65212660	65353660	TSG428	2.5970965515541766
chr10	114371307	114555614	TSG436	2.1384096072133376
chr11	114045735	114262030	TSG442	1.188879285318245
chr11	63716082	64268306	TSG443	2.864075783831345
chr11	45968705	46367826	TSG446	2.16426034335644
chr11	80369689	80510689	TSG447	9.244505911286083
chr11	68167088	68308088	TSG450	7.219656340746255
chr11	84548708	84689708	TSG452	3.7117535830298594
chr11	40340111	40890256	TSG453	1.5410320036229053
chr11	78694645	78983526	TSG456	4.8746270012215485
chr11	80915432	81056432	TSG459	4.036373029173048
chr11	75955220	76832887	TSG461	2.85705695979333
chr11	83772094	83956081	TSG469	3.5538388013971844
chr11	85562407	85878358	TSG470	2.929061763152466
chr11	81953610	82136111	TSG471	2.955073607621073
chr11	99395459	100010478	TSG472	0.9569991128257777
chr11	65177839	65631581	TSG473	1.471926837412557
chr11	69904625	70112044	TSG475	5.079415869794446
chr11	71013863	71293817	TSG477	3.311171139522595
chr12	13336545	13524068	TSG482	3.173572864277249
chr12	25778937	26216158	TSG485	1.8556188419067108
chr12	99932245	100073245	TSG488	6.808483686125268
chr12	24052860	24193860	TSG491	5.949540706249399
chr12	58450772	58757096	TSG493	2.139020499479499
chr12	74869531	75138263	TSG495	1.7328741223267476
chr12	68615768	68969408	TSG497	2.937903921543635
chr12	60864582	61088413	TSG499	2.138278205386439
chr12	12680830	12821830	TSG502	2.756600125846718
chr12	57851736	58001809	TSG508	1.8631272051479504
chr12	1248410	1518486	TSG509	1.7357374699749502
chr13	48924358	49065358	TSG514	9.042577605827718
chr13	32730505	32871505	TSG516	3.2402276545915343
chr13	94186448	94406315	TSG518	1.7460559383128194
chr13	112566868	112707868	TSG520	1.8596959119356544
chr13	50784185	51052194	TSG523	2.485796527819913
chr13	84401368	84810808	TSG525	1.7100358214055544
chr14	68733244	68874244	TSG537	9.088153489536632
chr14	33686285	33827285	TSG543	6.514343038527822
chr14	40552199	40737083	TSG545	2.2587668192785637
chr14	67304474	67540703	TSG548	2.628732880747543
chr14	60528260	60871891	TSG551	1.4747008201868663
chr14	24460543	24633933	TSG552	2.917545239073616
chr14	102524160	102799334	TSG560	1.560403015886877
chr14	27978963	28573987	TSG561	1.6329976920543816
chr14	72189656	72330656	TSG562	2.038074837853042
chr15	32146625	32287625	TSG569	4.865639050186296
chr15	74684809	75403077	TSG571	1.8672836641002408
chr15	43106805	43747469	TSG572	2.047512170837268
chr15	57329841	57470841	TSG573	4.750906022455083
chr15	71708431	71849431	TSG575	3.8426417044479857
chr15	64702976	64991509	TSG577	1.6884754020956718
chr15	52694129	52951578	TSG579	3.0256162812244227
chr15	67529978	67671343	TSG580	2.472870539562277
chr15	57508434	58000477	TSG582	1.7411587431804365
