chrom	start	end	name	score
chr1	154866700	155184646	20	0.0037423498742328266
chr1	155767082	156064210	9	0.022719523969696863
chr1	204424391	204543434	4	0.052814349838975976
chr10	4977348	5233692	240	0.019440611460561637
chr10	8812766	9282706	249	0.037857006068644374
chr10	11633710	12122522	255	0.0056529814271265395
chr10	31873372	32524107	247	0.016197697413391315
chr11	62148903	62573639	272	0.0028986018086101205
chr11	67152147	67373325	286	0.004910832189359335
chr11	69619952	69738995	285	0.004357243434769631
chr11	70319004	70438048	276	0.0012244588940465086
chr11	73143017	73470545	288	0.000841233317686006
chr11	77829950	77948994	259	0.003516541121278425
chr11	82111694	83074566	268	0.0029259671416693206
chr11	88445898	89085879	267	0.01729174809016502
chr11	91450563	91845351	277	0.005682499409322541
chr11	100200601	100585952	262	0.030326410144629414
chr11	102447525	102575127	271	0.006522270627349846
chr12	3896569	4521478	295	0.033931148891369244
chr12	6385923	6620669	312	0.003660209328277826
chr12	19624312	20151125	293	0.018260778998501027
chr12	24935138	25138824	291	0.01137355901220848
chr12	26155824	26274868	311	0.003035795484486422
chr12	27159250	27571622	300	0.007169941276190851
chr15	25337247	25692020	350	0.0014872976704323106
chr15	53171399	53468198	354	0.001244755281025109
chr15	71528646	71647690	348	0.0006320976304294044
chr15	86862062	86998071	345	0.0010897946382702078
chr15	90117058	90328261	349	0.0003043416669893022
chr15	92712490	92831533	346	0.0009735353785448069
chr16	4152081	4295376	373	0.0023444736828151166
chr16	11637627	11775844	359	0.0018854788620783134
chr16	18828123	19591425	369	0.001124654815854508
chr16	29033031	29729008	362	1.1820849239084508e-05
chr17	39658666	39777709	375	0.002128743375457515
chr17	52326898	52711688	377	0.0049579023958153355
chr17	62571334	63664492	382	0.005139976137128536
chr17	69200499	69893902	374	0.00699827166430705
chr17	75471682	75590726	381	0.004097545200580429
chr17	79760434	80083049	390	0.0012009334164544085
chr18	3374769	3499944	396	0.0026278238392474186
chr18	9476697	10938629	406	0.0010485354870723074
chr19	9028351	9157312	418	0.005845858186503641
chr19	10625699	10836058	409	0.02242989730243666
chr19	13225661	13473891	416	0.009641114385338368
chr19	15209520	15367640	407	0.10967133640160028
chr2	56492365	57045716	55	0.011038971301493578
chr2	61053389	61713250	31	0.0020047531531259145
chr2	102460067	102884836	38	0.0020513154592080147
chr2	115361023	115746221	32	0.006463990279094246
chr2	117069373	117563143	60	0.0006514454505292046
chr2	122445691	123519575	42	0.0008116219527654057
