chrom	start	end	name	score
chr1	5758281	6359521	1	0.0018300859218935842
chr1	26780389	26989453	2	0.0022770359608646476
chr1	114725108	115702047	3	0.002097563703528954
chr1	93088471	93294034	4	0.001732019556782505
chr1	51217575	51336619	5	0.0015937846906609403
chr1	7856438	8493750	7	0.0017758433962404032
chr1	14711802	15089994	13	0.0016369042890860724
chr1	212599176	213761196	15	-0.0013745554763765879
chr1	246237974	246357017	17	-0.0015052090753924971
chr1	192981788	193166871	21	-0.0015052090753924971
chr1	157555762	158038113	23	-0.0014365833227216259
chr1	210418225	210907811	27	-0.0013665286315880743
chr10	89965304	90084347	33	0.0015076117086722301
chr10	89560990	89680033	34	0.0008718177971622455
chr10	58218870	58714895	36	0.0010092417686691061
chr10	47184277	47650133	37	0.0008593533174532996
chr10	77918891	78043175	39	0.0007706848433881366
chr10	77295386	77414429	42	0.0007661185286042824
chr11	45931344	46402442	50	0.0012952293387693177
chr11	39985638	40635879	55	0.0009931850210009277
chr11	113905768	114104249	57	0.0005613842739780302
chr11	62685002	63185231	58	0.0007876735619767337
chr11	80339167	80463952	60	0.00027131921079529675
chr11	68133517	68341010	61	0.0008397805087710085
chr11	64602254	65066589	67	0.0004468481757966854
chr11	75846730	76992775	71	0.0004646963680496915
chr11	85972100	87096374	72	0.0006366064108622529
chr11	69896864	70147013	74	0.0005967938716692826
chr11	83964212	84366423	75	0.00040683302949733616
chr11	72023274	72313020	79	0.0013248167406755662
chr12	12722317	13120592	80	-0.001021942854110469
chr12	26424358	26998323	83	-0.0011637253458352545
chr12	24097405	24228750	85	-0.001397931209519528
chr12	45348202	45969805	94	0.0012022743347686804
chr12	58096082	58747276	95	0.0009241167504280818
chr12	74618787	75789025	98	0.0013005076896940723
chr12	99864342	100151810	101	0.0008880446122952104
chr12	52402269	53168356	103	0.0010517951591339347
chr12	67138261	67494262	104	0.0008852763598342476
chr13	48939729	49058772	108	7.749221147684765e-05
chr13	32621411	32950651	111	-0.0001257009103998949
chr13	50860815	51455790	114	-8.806819279246047e-05
chr14	68742331	68861374	118	0.0002151890610924776
chr14	33699932	33818975	124	0.00022440604136159123
chr14	40295008	40722782	127	0.00023808491933503107
chr14	67168861	67652025	132	0.00032748575886189344
chr14	27537653	29081983	134	0.00028541211185184465
chr15	32159195	32278239	142	9.112683042586426e-05
chr15	41285416	42451276	145	0.0005485582906204014
chr15	57326607	57557542	146	0.0002642969365082422
chr16	6690619	6809663	147	0.0002927684038644888
chr16	23317721	24116798	149	0.00047639962371563385
