chrom	start	end	name	score
chr11	13513869	14247668	278	0.04220191189768104
chr11	46293298	46643939	274	0.006819849109393382
chr11	61916375	62341111	272	0.017475562895013046
chr11	66919618	67140796	286	0.010403911129687004
chr11	69434720	69553763	285	0.010403911129687004
chr11	70165110	70284154	276	0.010403911129687004
chr11	70971824	71178480	282	0.010403911129687004
chr11	73901947	74555388	270	0.010403911129687004
chr11	77540996	77660040	259	0.010403911129687004
chr14	77434967	77554011	333	0.12117241895735373
chr15	63556498	64026758	351	0.0625056600989122
chr18	28881754	29267781	401	0.013263478456754303
chr18	31803833	32874747	405	0.004960625367636337
chr18	41082209	41923817	398	0.017901495702981964
chr18	46153969	46615826	404	0.003561783284090953
chr20	34059289	34178332	424	0.004461031784560725
chr20	42716839	43707813	427	0.005967533597854652
chr20	45958505	46077548	428	0.017512196536502538
chr20	48654362	48886540	425	0.020425541242885946
chr20	52134620	52253663	434	0.015518774542517301
chr4	25137744	25982564	115	0.10719747468651225
chr4	32727300	34308655	96	0.04977627688964897
chr4	37827877	38761501	114	0.014039463904673971
chr4	144374339	144886109	97	0.1297546600499061
chr4	153957286	154076329	117	0.035167884824759986
chr5	14069792	14427201	141	0.019356098222509152
chr5	148931018	149060418	131	0.015162882464538915
chr8	107039717	107542826	212	0.05972565454151999
chr8	113390563	114733784	198	0.06859324974904137
chr8	128331565	128450608	206	0.00756482990885047
chr8	128745510	128864553	196	0.04099634554310197
chr8	129537965	129657008	211	0.03649384896267669
