chrom	start	end	name	score
chr1	6211261	6330304	1	0.021630826883580524
chr1	8002756	8121799	2	0.022456372905278563
chr1	10596478	10715522	3	0.01106303049237109
chr1	21206264	21325307	7	0.02620330354408902
chr1	27114511	27233554	10	0.10079413638064917
chr10	22630985	22750029	329	9.048728011769564e-06
chr10	24684849	24803892	330	0.010104052629781401
chr10	47298592	47417635	331	0.0003878411477488839
chr10	75992478	76111522	342	1.1204214245254399e-05
chr10	89782997	89902040	350	0.0002631345824552657
chr11	40432922	40551965	358	0.0024707549357114657
chr11	62726032	62845315	363	0.0035845700297624235
chr11	71572478	71691522	375	0.0036117371532900676
chr12	45452478	45571522	405	0.006556057837997017
chr12	58479840	58598883	412	0.001777706298383044
chr17	7500478	7619522	496	0.14958222413926336
chr17	7933382	8052426	497	0.019119227774284354
chr17	11879922	11998965	498	0.06222710968277907
chr18	48544478	48663522	538	0.1195082493884977
chr2	43522720	43641763	59	0.022082649234020976
chr2	46108079	46227123	60	0.0010684276589938697
chr20	14856478	14975522	555	0.008359451958142142
chr21	21996478	22115522	566	0.014254685156643984
chr21	36314860	36433903	569	0.030008276279908926
chr22	23001871	23120914	570	0.041645805489704917
chr3	50679521	50798564	120	0.02009245731309371
chr3	60447679	60566722	122	0.021062108269331296
chr3	71163038	71282081	127	6.465620010197892e-05
chr3	72777804	72896847	128	0.020010542235755668
chr4	180054461	180173505	188	0.0019472452685233349
chr4	182176589	182295632	189	0.004109012785101894
chr4	183262897	183381940	190	0.003248448101759442
chr4	187623450	187742493	191	0.0028985852289438213
chr5	58562112	58681155	213	0.0006467784374077345
chr5	59398602	59517645	214	0.05585221986475247
chr6	28416456	28535499	234	0.003602489606759635
chr6	38308161	38427205	237	0.0002161785985433268
chr8	6232478	6351522	280	0.036439952619514826
chr8	34838878	34957921	286	0.015650055376763915
chr9	9404478	9523522	305	0.0037730576050419283
chr9	11017701	11136744	306	0.006998593095627303
chr9	17374278	17493322	310	0.006329083397368442
chr9	21916478	22035522	312	0.10030609501585584
chr9	26488478	26607522	314	0.010079114139602078
chr9	28524815	28643858	317	0.0029192287485360507
chr9	31256545	31375588	320	0.004974213566021066
