chrom	start	end	name	score
chr1	40434842	40770691	0	-0.029826063583143263
chr1	106869942	108231644	6	-0.028002038827125084
chr1	31805355	32202812	8	-0.029826063583143263
chr1	10824979	10988820	9	-0.029826063583143263
chr1	61572512	62827216	10	-0.029566477832802068
chr1	46707151	46967620	11	-0.029826063583143263
chr1	24603397	25020960	12	-0.027549219739681226
chr1	151549752	151797157	14	0.019497268019683045
chr1	204393519	204512562	16	0.021899145686105605
chr1	160914013	161088587	18	0.019497268019683045
chr1	155736873	156034001	19	0.019497268019683045
chr1	234903837	235022881	20	0.019497268019683045
chr1	150571678	150741615	22	0.019497268019683045
chr1	171732923	172364467	24	0.019497268019683045
chr1	154839176	155157122	25	0.019497268019683045
chr1	201938893	202057937	26	0.019497268019683045
chr1	153540304	153734176	28	0.019497268019683045
chr10	5019540	5275655	29	0.003781398182946765
chr10	32162300	32813035	30	-0.0025785175900358767
chr10	8854729	9324669	31	-0.001810741403435858
chr10	11675709	12164521	32	-0.00467913208681205
chr10	63080956	63794123	35	-0.009309891210004959
chr10	76654523	76935967	38	-0.011184627741790722
chr10	54960117	56167514	40	-0.012916374415981861
chr10	61702484	61821527	41	-0.01200800640629449
chr10	83068024	84207260	43	-0.014143375582999013
chr10	47408334	47827719	44	-0.012626876541137703
chr10	126144907	126666595	45	-0.012387747912488822
chr10	65364015	65713333	46	-0.013487264136719383
chr10	79624190	79947792	47	-0.014143375582999013
chr10	77060107	77208323	48	-0.014143375582999013
chr11	34672395	34791439	49	0.010440208947707374
chr11	40096845	41086885	51	0.015707326561384967
chr11	46293298	46643939	52	0.010283870856724978
chr11	13513869	14247668	53	0.009027218031287207
chr11	32068935	32537281	54	0.008903360028076478
chr11	77540996	77660040	56	-0.0007573196580219498
chr11	100071333	100456683	59	0.020874803148133506
chr11	88179066	88819047	62	0.006688699787337933
chr11	81822736	82785608	63	-0.0013336900588032407
chr11	73901947	74555388	64	-0.0007573196580219498
chr11	102318256	102445858	65	0.0023640338236056387
chr11	61916375	62341111	66	-0.001154957262224943
chr11	65228434	65347477	68	-0.0013336900588032407
chr11	70165110	70284154	69	0.0011810750838468994
chr11	91183729	91578517	70	-0.0013336900588032407
chr11	70971824	71178480	73	-0.0007573196580219498
chr11	69434720	69553763	76	0.0015927321476160677
chr11	66919618	67140796	77	0.00627161766074606
chr11	72854062	73181590	78	-0.0013336900588032407
chr12	25088072	25291758	81	0.02957971207288848
chr12	19777246	20304059	82	0.03124403418404616
chr12	4005735	4630644	84	0.032066759645146305
chr12	27312183	27724555	86	0.02910610154018068
chr12	26308757	26427801	87	0.02758270276074574
chr12	6495089	6729835	88	0.02758270276074574
chr12	750855	984603	89	0.038120266429531376
chr12	58142641	58261684	90	0.010221850753191061
chr12	46271490	47236325	91	0.010221850753191061
chr12	125136985	125256028	92	0.010221850753191061
chr12	60147861	60485820	93	0.013046190141134761
chr12	56477038	56596081	96	0.010221850753191061
chr12	48096881	48215924	97	0.010221850753191061
chr12	65893626	66407162	99	0.010630878744841232
chr12	52494771	52613815	100	0.012510745575393629
chr12	95808951	96199625	102	0.010221850753191061
chr12	67641689	67887068	105	0.010221850753191061
chr12	69094532	69213575	106	0.010221850753191061
chr12	69490369	69636780	107	0.01729897304167756
chr13	30777977	31270349	109	0.005829033329751974
chr13	73860342	73979385	110	0.0017148908725834124
chr13	106659219	107933285	112	0.0031116558095957555
chr13	27726123	28583697	113	0.0029126502207235303
chr13	54542287	55760400	115	0.004215187210989808
chr13	71624228	72471666	116	0.0028493427137698756
chr14	35775195	35986175	117	-0.005682662412156102
chr14	50417151	50545245	119	-0.013567745827023648
chr14	26800466	27255014	120	-0.008470277374213868
chr14	69002184	69121227	121	-0.014719970463258205
chr14	37812674	38058478	122	-0.014363114442486329
chr14	77434967	77554011	123	-0.01461131711467817
chr14	31251044	32181349	125	-0.010143148376132928
chr14	68520666	68680640	126	-0.014719970463258205
chr14	41913376	42582518	128	-0.013160550568859836
chr14	103578138	103790283	129	-0.014719970463258205
chr14	23728314	24063263	130	-0.013802369218770932
chr14	61940424	62059467	131	-0.014719970463258205
chr14	105063008	105441266	133	-0.014719970463258205
chr15	87405293	87541302	135	0.005405527431500672
chr15	93255720	93374763	136	-0.0010752441526618753
chr15	52141530	52835762	137	0.0004010503107392037
chr15	71820985	71940029	138	0.0009535443559106626
chr15	90660290	90871493	139	-0.0022784405313034466
chr15	25582394	25937167	140	0.0006641285992488495
chr15	63556498	64026758	141	-0.0009565434065334371
chr15	72595833	72930283	143	0.00010911833259847461
chr15	53463596	53760395	144	-0.0022784405313034466
chr16	11731483	11869700	148	0.03328863319255267
chr16	29044352	29740329	150	0.03328863319255267
chr16	1995842	2383828	152	0.03328863319255267
chr16	18839445	19602747	153	0.033272516120552945
chr16	4202082	4345377	154	0.03328863319255267
chr16	79251739	79370782	157	0.004561661910617208
