chrom	start	end	name	score
chr1	150911748	151052748	chr1_150982248	0.014070185578838818
chr1	151714145	151855145	chr1_151784645	0.004564635939592849
chr1	153568874	153709874	chr1_153639374	0.003712450488249873
chr1	155112080	155253080	chr1_155182580	0.008114742615744285
chr1	156123744	156264744	chr1_156194244	0.005316771260656572
chr1	158334314	158604360	chr1_158469337	0.002662675108651044
chr1	160978991	161119991	chr1_161049491	0.009259123396728894
chr1	171862710	172192253	chr1_172027481	0.004194500083081921
chr1	180441769	180582769	chr1_180512269	0.0039731353867994285
chr1	202040510	202181510	chr1_202111010	0.005794210217689816
chr1	204383521	204524521	chr1_204454021	0.01484825525076991
chr1	234890002	235031002	chr1_234960502	0.010882354511986493
chr10	5171367	5312367	chr10_5241867	0.00609690695785022
chr10	8642582	8846874	chr10_8744728	0.006062561778656035
chr10	33221263	33362263	chr10_33291763	0.00167311813895245
chr10	51415564	51556564	chr10_51486064	0.0013027810969839513
chr10	61692347	61833347	chr10_61762847	0.0030808385554688556
chr10	65313148	65717851	chr10_65515500	0.001269254933369008
chr10	73820235	74024068	chr10_73922152	0.0011087892850521676
chr10	76432073	76579555	chr10_76505814	0.002224434675673799
chr10	77020546	77161546	chr10_77091046	0.0012476812581057953
chr10	79441267	79683324	chr10_79562296	0.003968044556237141
chr10	123028582	123180844	chr10_123104713	0.0016787196835964383
chr11	61972433	62156282	chr11_62064357	0.00292912607616431
chr11	63622382	63763382	chr11_63692882	0.0014197300973782035
chr11	65227408	65368408	chr11_65297908	0.0020050019815909563
chr11	66784769	66925769	chr11_66855269	0.003351289379825036
chr11	69111766	69252766	chr11_69182266	0.010890187589801073
chr11	69513323	69654323	chr11_69583823	0.0018566065974453781
chr11	70163326	70304326	chr11_70233826	0.010670854054230258
chr11	72998086	73257499	chr11_73127793	0.0014454720466107367
chr11	73936300	74292579	chr11_74114440	0.0019787442226826706
chr11	77488878	77629878	chr11_77559378	0.005950502585242568
chr11	81066560	81638917	chr11_81352739	0.0016256510618573134
chr11	82398915	82658574	chr11_82528745	0.0009187459078209732
chr11	85130017	85511645	chr11_85320831	0.0010018680030900913
chr11	88284359	88534593	chr11_88409476	0.000872022042925153
chr11	91088503	91352511	chr11_91220507	0.0008761374015432652
chr11	102202527	102510100	chr11_102356313	0.003488078715927767
chr11	118277945	118418945	chr11_118348445	0.0010477114526506641
chr12	849174	990174	chr12_919674	0.011511751886764395
chr12	4152344	4434129	chr12_4293237	0.002367656661576832
chr12	6833081	6988461	chr12_6910771	0.004025302581522303
chr12	12153232	12294232	chr12_12223732	0.002386778261436439
chr12	19583198	19901718	chr12_19742458	0.0031434831234907978
chr12	25010267	25151267	chr12_25080767	0.010758358446106701
chr12	26298074	26439074	chr12_26368574	0.004867343136085148
chr12	27422921	27563921	chr12_27493421	0.003526385066145668
chr12	46584368	47067861	chr12_46826115	0.0006013024826928111
chr12	48088279	48229279	chr12_48158779	0.0005984315201965631
chr12	52506621	52647621	chr12_52577121	0.00045204761980979265
chr12	53368480	53509480	chr12_53438980	0.00028924546017976277
chr12	54486838	54627838	chr12_54557338	0.00029933317128930516
chr12	56499130	56640130	chr12_56569630	0.0006195026904516368
chr12	58129996	58270996	chr12_58200496	0.0014383925235441038
chr12	60500551	60724284	chr12_60612418	0.0003499177198988751
chr12	66031721	66366330	chr12_66199025	0.0004104204428097351
chr12	67498876	68060835	chr12_67779856	0.0004919121378618233
chr12	69226893	69367893	chr12_69297393	0.0016514229529152032
chr12	73716212	74113241	chr12_73914726	0.0003919885700988581
chr12	95924915	96065915	chr12_95995415	0.0002485877288463593
chr12	114523776	114725895	chr12_114624836	0.00024100248321219843
chr12	125129324	125270324	chr12_125199824	0.00039201169439054577
chr13	24509624	24709147	chr13_24609386	0.000966012083190204
chr13	27470066	27765153	chr13_27617610	0.0020779951425637312
chr13	30894024	31106872	chr13_31000448	0.001937172721771453
chr13	73841724	73982724	chr13_73912224	0.007130707817175393
chr14	23924340	24128666	chr14_24026503	0.000770378999413483
chr14	26940881	27162547	chr14_27051714	0.0017696941648502663
chr14	31488105	31923925	chr14_31706015	0.0008445105249139295
chr14	35831881	35972881	chr14_35902381	0.0015493515327094111
chr14	37907748	38048748	chr14_37978248	0.001828302710955472
chr14	39293224	40081607	chr14_39687416	0.0005189404043672335
chr14	50370907	50511907	chr14_50441407	0.0017426326578223546
chr14	61923804	62064804	chr14_61994304	0.0007668215427799205
chr14	65042489	65183489	chr14_65112989	0.0005516900726347458
chr14	68971043	69112043	chr14_69041543	0.002088314538583745
chr14	75698748	75839748	chr14_75769248	0.0008499125624634323
chr14	77450831	77591831	chr14_77521331	0.0015986769646526636
chr14	103587112	103728112	chr14_103657612	0.0007956714656386746
chr14	105035196	105418926	chr14_105227061	0.0008034081319587243
chr15	25865761	26046380	chr15_25956070	0.0009912259974487914
chr15	51728845	52108187	chr15_51918516	0.0008519735288512481
chr15	53502967	53698832	chr15_53600900	0.0008764223979077902
chr15	63719261	63860261	chr15_63789761	0.0008397265071876756
chr15	71911306	72052306	chr15_71981806	0.0014351839264954605
chr15	72709294	72874464	chr15_72791879	0.000554409759640796
chr15	85871391	86035457	chr15_85953424	0.0008439937169493008
chr15	90732616	90873616	chr15_90803116	0.0014088854125782649
chr15	93239479	93380479	chr15_93309979	0.001908412597293959
chr16	4171784	4312784	chr16_4242284	0.0057612914207105575
chr16	7347398	7488398	chr16_7417898	0.0027336050422404356
chr16	11735252	11876252	chr16_11805752	0.009046255601069673
chr16	19228551	19503761	chr16_19366156	0.002709432361140171
chr16	25117015	25667392	chr16_25392203	0.0037051956860664438
chr16	52244966	52440619	chr16_52342793	0.00037803149902149814
chr16	57494029	57678447	chr16_57586238	0.0006112119027598163
chr16	69425293	69722755	chr16_69574024	0.0006612044530079688
chr16	77890892	78031892	chr16_77961392	0.0006952434234360523
chr16	79245797	79386797	chr16_79316297	0.0009403622260961891
chr17	36052064	36203555	chr17_36127809	0.00271995720984445
chr17	37802452	37943452	chr17_37872952	0.026431153076478173
chr17	39641994	39782994	chr17_39712494	0.003311754921086189
chr17	46193139	46334139	chr17_46263639	0.004253278716407001
chr17	48652671	48793671	chr17_48723171	0.003909186374067335
chr17	50572680	50733297	chr17_50652989	0.0035731828647253697
chr17	73453422	73594422	chr17_73523922	0.005707671500595112
chr18	3363994	3504994	chr18_3434494	0.011711861214971557
chr19	33719971	33860971	chr19_33790471	0.005961074263897692
chr19	35418050	35746588	chr19_35582319	0.002289642750722385
chr19	38772088	38940328	chr19_38856208	0.00635695157725756
chr19	39916167	40062585	chr19_39989376	0.003094409439453098
