chrom	start	end	name	score
chr1	150571678	150741615	16	0.0014281464925124873
chr1	151549752	151797157	1	0.01558389185229049
chr1	153540304	153734176	28	0.003465316454993191
chr1	154839176	155157122	20	0.0025601722915860716
chr1	160914013	161088587	8	0.017116390238166072
chr1	171732923	172364467	19	0.013407528606460445
chr1	201938893	202057937	22	0.009226957588906258
chr1	204393519	204512562	4	0.013711465559191722
chr10	5019540	5275655	240	0.005074037446768357
chr10	8854729	9324669	249	0.004661517000769591
chr10	11675709	12164521	255	0.0012102391480978564
chr10	32162300	32813035	247	0.0074692209679078055
chr11	61916375	62341111	272	0.0008511529725978053
chr11	66919618	67140796	286	0.0020023238581200987
chr11	69434720	69553763	285	0.015037253414975598
chr11	70165110	70284154	276	0.010729386192652013
chr11	70971824	71178480	282	0.0007283822889906217
chr11	72854062	73181590	288	0.0025863288790858112
chr11	73901947	74555388	270	0.0009266753961136801
chr11	77540996	77660040	259	0.00097297954684223
chr11	81822736	82785608	268	0.0022072771755201706
chr11	88179066	88819047	267	0.0005872354618739816
chr11	91183729	91578517	277	0.0006522683720506634
chr11	100071333	100456683	262	0.0012421354455610517
chr11	102318256	102445858	271	0.0004839894674078082
chr12	750855	984603	315	0.0030628175852366866
chr12	4005735	4630644	295	0.005142631173175439
chr12	19777246	20304059	293	0.014065225306552078
chr12	25088072	25291758	291	0.019251636063713898
chr12	26308757	26427801	311	0.002314002788143002
chr12	27312183	27724555	300	0.01619447232232607
chr13	27726123	28583697	323	0.000633239385988201
chr13	30777977	31270349	319	0.0014324745204709192
chr13	54542287	55760400	325	0.0006246113375755383
chr13	71624228	72471666	326	0.0006114340978325806
chr13	73860342	73979385	320	0.0013848037509938274
chr13	106659219	107933285	322	0.0012955840709900932
chr14	26800466	27255014	330	0.0003498084882335146
chr14	31251044	32181349	335	0.0001996201412869678
chr14	35775195	35986175	327	0.00041654473476122666
chr14	37812674	38058478	332	0.0007130154662955265
chr14	41913376	42582518	338	0.0001959302938733052
chr14	50417151	50545245	329	0.0004624407345367588
chr14	77434967	77554011	333	0.00011451780196369565
chr15	25582394	25937167	350	4.254719292056047e-05
chr15	52141530	52835762	347	2.174274682516513e-05
chr15	53463596	53760395	354	1.7804385811102776e-05
chr15	87405293	87541302	345	9.352741614554295e-05
chr15	90660290	90871493	349	1.2917469428231066e-05
chr17	31063757	31344450	384	0.006590027710206325
chr17	36040114	36220312	388	0.0005297970373027438
chr17	37814919	37933962	375	0.038959996984979234
chr17	46328894	46556435	383	0.0034165349160334203
chr17	48593060	48789511	386	0.003639990910879135
chr17	50404258	50789048	377	0.005313800390842109
chr17	60648695	61741852	382	0.0048501276803907655
chr17	67196640	67890043	374	0.005461282661891089
chr17	73467763	73586807	381	0.0026905866397481442
chr17	77734233	78056848	390	0.0017986762429194275
chr18	3374767	3499942	396	0.030797825009602663
chr18	9476695	10938627	406	0.01242747462804001
chr19	33519365	33816790	410	0.01519611702709952
chr19	35468671	35852015	417	0.0019261134557415117
chr19	37789605	38291932	408	0.011103228112968324
chr19	39664941	39859916	411	0.0055723352510184615
chr19	45197410	45316453	412	0.0008829480497120352
chr2	4939908	5248723	51	0.0033458531846440984
chr2	43133499	43364389	48	0.001368649466214025
chr2	56719500	57272851	55	0.005785136972881194
chr2	61280524	61940385	31	0.00853594651467384
chr2	67058791	67247154	50	0.0025846461461731182
chr2	85161928	85620345	39	0.0020935923010047723
chr2	103076527	103501295	38	0.00015976535277090358
chr2	114022993	114142037	35	2.522358878411517e-05
chr2	116118599	116503797	32	0.00013250693908507596
chr2	117826949	118320719	60	5.8065048873006256e-05
chr2	123203267	124277151	42	2.8869404733700995e-05
chr2	136759228	137287763	59	1.2812262194784264e-05
chr2	140652913	141053948	53	4.4870886124779066e-05
chr2	159524119	159891349	40	1.53138460206236e-05
chr2	177598943	178479541	33	0.0002137858220815936
chr2	191054682	191532321	30	5.2169915264421966e-05
chr2	195089370	195978143	41	8.773955279204544e-05
chr2	204258457	204874921	57	5.1864207811408296e-05
chr20	34059289	34178332	424	0.013054671111466671
chr20	42716839	43707813	427	0.014738169386838652
chr20	45958505	46077548	428	0.0076083854395252596
chr20	48654362	48886540	425	0.007278190975032241
chr20	52134620	52253663	434	0.01929171713586018
chr20	55535014	56580230	430	0.0034489838081849336
chr20	58845327	59850940	432	0.012621482936113721
chr20	60877594	60996638	423	0.005759998190763286
chr3	100992050	102444535	84	0.003547471376468835
chr3	107631968	107751012	78	0.0018951246169239626
chr3	109621291	110836404	86	0.0028005235568817352
chr3	115149776	115973138	88	0.0030380156308732905
chr3	148787016	149621348	73	0.020424700203536456
chr3	166020407	166603769	72	0.03613868446515768
chr3	168683826	168802869	64	0.019993498201583255
chr3	169548446	169667490	74	0.004307262509996403
chr3	172180285	172299328	61	0.022986400141067224
chr3	174118798	174294887	81	0.01087352946275432
chr3	177069806	177414593	77	0.012027322220571754
