chrom	start	end	name	score
chr1	6151201	6270244	1	0.05543954542249511
chr1	7942696	8061739	2	0.023462434453402247
chr1	10536421	10655465	3	0.005757013645366911
chr1	20879771	20998814	7	0.0013386156852730027
chr1	26788020	26907063	10	0.0515034057209313
chr1	92812308	92931351	23	0.006295813850900013
chr10	22342056	22461100	329	0.00524376988405091
chr10	47608588	47727615	331	0.04611038098079889
chr10	56643056	56777011	336	0.007609341317863215
chr10	63332718	63451762	338	0.002643845122964305
chr10	66728824	66847867	340	0.006642010813710713
chr10	110932549	111051593	351	0.000953007978132602
chr10	112656489	112775532	352	0.0017005349400736035
chr11	68642182	68761225	369	0.0002536610976476005
chr11	84280308	84399351	385	1.5712319865779895e-08
chr13	48586342	48705386	426	0.0028631826286505055
chr13	83934035	84053078	429	0.0018678128054191038
chr14	40143320	40262364	443	0.01580247191279753
chr14	66969761	67088805	448	0.01453784703881883
chr14	67861761	67980805	450	0.006373056242398613
chr14	68523434	68642477	452	0.017225868969360035
chr15	31914076	32033119	459	0.002825140849639306
chr15	41672280	41791324	461	0.010895141266440322
chr15	52385692	52504735	463	4.3648549116148854e-07
chr17	7597160	7716204	496	0.03234560511236646
chr17	8030064	8149108	497	0.010868992436340522
chr17	11976605	12095648	498	0.0011247203009349023
chr18	28647327	28766370	532	0.032688185513195064
chr2	135370908	135489952	81	0.009100307672267818
chr2	141082909	141201953	85	0.004980827259121109
chr2	148208375	148327419	87	0.001387050158170403
chr2	159062302	159181346	91	4.211665468377365e-05
chr2	194882637	195001680	97	0.0024217431738814046
chr2	204971768	205090810	101	0.0018557870815887037
chr2	213835736	213954779	105	0.00457543686399831
chr3	50642090	50761133	120	0.14065573077314728
chr3	60461946	60580989	122	0.14511270055619718
chr3	71113887	71232930	127	0.11752898826361524
chr4	19436182	19555225	166	0.0048637171160700095
chr4	21134855	21253899	167	0.002084573668873804
chr4	33759591	33878634	169	0.0047262967857864095
chr4	181255436	181374479	189	0.03499675254545757
chr6	28448679	28567722	234	0.01842419106529654
chr6	38340385	38459429	237	0.001105298859701402
chr8	3790699	3909742	279	0.0059673128420905126
chr8	6374957	6494001	280	0.04225869993186628
chr8	34981360	35100403	286	0.023744501160562148
chr9	21916479	22035523	312	0.0511536793068557
chr9	26488480	26607524	314	0.01036815639678372
chr9	28524817	28643860	317	0.008274273676202017
