chrom	start	end	name	score
chr1	5682024	5801067	1	0.015222285958993883
chr1	8582875	8701918	3	0.02838236852450185
chr1	10440421	10559465	5	0.0009734479769684701
chr1	23421985	23541031	10	0.010912697914496889
chr1	26967700	27086743	12	0.034139013366322864
chr1	110557228	110676272	27	0.0060900288115144936
chr10	12538531	12657574	564	0.05510959902428211
chr10	26051549	26170593	567	7.326891436874888e-05
chr10	51396718	51515762	576	0.002347712222760616
chr10	56915261	57034304	580	0.0024196293564766446
chr10	66510836	66629879	584	0.0036908139604659588
chr10	74252078	74371121	588	0.003949628701684591
chr10	78426003	78545046	593	0.013333614068931984
chr10	88074446	88193489	596	0.045434666748643215
chr11	2712010	2831053	604	0.0027835556343655974
chr11	5519248	5638292	606	0.0030607374311747474
chr11	45736875	45855918	614	0.0068708836401188455
chr11	60809005	60928050	616	0.0007523381424665807
chr11	63159778	63278821	619	0.0004223384547418904
chr11	64329965	64449009	621	0.0007729246440098022
chr11	65994575	66113618	623	0.0004901406483570246
chr11	68576687	68695730	626	0.00021550455214624118
chr11	69974362	70093406	629	0.0005455683697980397
chr11	71910931	72029974	633	0.0003716088283070267
chr11	74716194	74835238	636	4.326613326058122e-05
chr11	76616612	76735655	638	0.0006761164083454562
chr11	78952241	79071284	643	9.307518255832386e-05
chr11	80711014	80830058	645	0.0002595398238984628
chr11	84549435	84668479	650	0.00014858267535988766
chr11	85166877	85285921	651	0.0003210710038281368
chr11	85748903	85867946	652	0.00013010073040981983
chr11	86413436	86532480	653	0.00024287889453618528
chr11	114476231	114595275	659	0.0005281104176043315
chr11	114699223	114818266	660	7.173018239032384e-05
chr11	124236556	124356404	663	6.823107446036655e-05
chr12	45579848	45698891	686	0.0006703865163871333
chr12	47626443	47745486	688	0.0017145204676190674
chr12	50998868	51117912	689	0.006069665277293888
chr12	52376330	52495374	691	0.00018932540312808875
chr12	58477993	58597037	697	1.919385130765542e-05
chr12	66601656	66720699	700	0.002796947800976665
chr12	76097265	76216308	707	0.0016594093251220158
chr12	124355932	124474976	712	0.001615229629269755
chr14	24301995	24421038	740	0.003077105992762099
chr14	39978482	40097525	754	0.00042515917504659195
chr14	66891879	67010922	759	0.0010946393624201073
chr14	68053761	68172805	761	0.00170912430198053
chr14	105780011	105899533	770	0.00613429895630225
chr16	52742229	52861272	812	0.009410392341903795
chr16	71097579	71216622	816	1.815176175068416e-06
chr16	72554579	72673623	817	0.002030003753169773
chr16	78625000	78744044	819	0.0005630821307260104
chr16	83013718	83132761	821	0.03071111577241775
chr17	11965161	12084205	823	0.09702171952944447
chr18	26321857	26440900	863	0.0033559689298776523
chr18	50936050	51055094	875	0.003058262256423268
chr19	1496278	1615321	881	0.022406331127686047
chr19	11888810	12007853	885	0.020797237102383122
chr2	25452772	25571815	81	3.725443859596055e-05
chr2	32442183	32561227	85	0.0004615949917140726
chr2	43299785	43418828	90	0.0006186616313664928
chr2	54829341	54948385	94	6.088890523327024e-06
chr2	141028146	141147190	120	0.00060996665756269
chr2	148226085	148345128	122	1.6929055460632177e-05
chr2	154079969	154199012	124	0.00015875915240651863
chr2	204933562	205052605	142	5.5108025305879017e-05
chr2	212590607	212709650	148	3.267524034027081e-06
chr2	212852714	212971757	149	5.683492101770984e-05
chr2	232350287	232469331	154	9.253640370456428e-05
chr2	233160163	233279206	155	0.00047878542829968605
chr3	114426226	114545269	194	0.0052845247875922844
chr3	116835528	116954572	197	0.007123715106591366
chr4	20324544	20443587	240	0.0011263265408918114
chr4	21284097	21403140	241	0.000404634270144115
chr4	33738271	33857315	244	0.002471539901153015
chr4	42069655	42188698	249	0.0019571710939772797
chr4	64758926	64877969	254	0.007358808188262833
chr4	152280081	152399124	278	0.003786112319955396
chr4	178985703	179104747	282	0.003254279903218521
chr5	99132774	99251818	329	0.010198657946569574
chr5	163153472	163272516	342	0.001192168343993921
chr5	166089764	166208807	343	0.00031283747278440196
chr6	167869474	167988518	405	0.19231270231661313
chr6	169640382	169759426	407	0.03738519479139177
chr8	2550470	2669093	470	0.027167890438491448
chr8	3834956	3954000	472	0.014625222772937574
chr8	4533320	4652363	473	0.0230666094158594
chr8	6383908	6502952	475	0.0002770129330299233
chr8	30214962	30334006	483	0.041032011626423136
chr8	35026960	35146004	488	0.01858150517197499
chr8	36426449	36545492	490	0.031511497941003414
chr9	9352478	9471522	526	0.0035731693017297273
chr9	11656478	11775522	528	0.004326391614796258
chr9	14069124	14188167	530	0.002651148865441394
chr9	17198332	17317375	533	1.441209878231889e-05
chr9	21920479	22039523	536	0.08270175099453392
chr9	28712036	28831079	539	0.006221501109160875
chr9	30316480	30435524	541	0.009126954799742341
chr9	31884480	32003524	544	0.0008804482105894707
