chrom	start	end	name	score
chr1	5758281	6359521	1	0.011690233173437151
chr1	26780389	26989453	2	0.015943370912657816
chr1	114725108	115702047	3	0.012656536733631343
chr1	93088471	93294034	4	0.009882818198469472
chr1	51217575	51336619	5	0.010212171173744362
chr1	7856438	8493750	7	0.011875287134742524
chr1	14711802	15089994	13	0.01184127419245009
chr1	212599176	213761196	15	-0.008732002265182939
chr1	246237974	246357017	17	-0.0077100171279935546
chr1	192981788	193166871	21	-0.008732002265182939
chr1	157555762	158038113	23	-0.008409742803638287
chr1	210418225	210907811	27	-0.008732002265182939
chr10	89965304	90084347	33	0.011097335021289567
chr10	89560990	89680033	34	0.005126089662154036
chr10	58218870	58714895	36	0.007653026987477324
chr10	47184277	47650133	37	0.0059264728092638976
chr10	77918891	78043175	39	0.0031986382391752115
chr10	77295386	77414429	42	0.003628148455362212
chr11	45931344	46402442	50	0.018752789614708408
chr11	39985638	40635879	55	0.01075449962397292
chr11	113905768	114104249	57	0.01223297196355589
chr11	62685002	63185231	58	0.02146608439363209
chr11	80339167	80463952	60	0.00813280618645828
chr11	68133517	68341010	61	0.01763174314061506
chr11	64602254	65066589	67	0.013750707373238975
chr11	75846730	76992775	71	0.012041385972312168
chr11	85972100	87096374	72	0.013398293896931339
chr11	69896864	70147013	74	0.03518890529433065
chr11	83964212	84366423	75	0.008624623693515077
chr11	72023274	72313020	79	0.01908018851380334
chr12	12722317	13120592	80	-0.0037216524059881925
chr12	26424358	26998323	83	-0.013150490958449022
chr12	24097405	24228750	85	-0.010775297815138874
chr12	45348202	45969805	94	0.011784531249021455
chr12	58096082	58747276	95	0.00929265042968982
chr12	74618787	75789025	98	0.011518182340585527
chr12	99864342	100151810	101	0.008376753927402971
chr12	52402269	53168356	103	0.012577018170114494
chr12	67138261	67494262	104	0.008727312389565882
chr13	48939729	49058772	108	0.005094056298150061
chr13	32621411	32950651	111	0.003118083621058291
chr13	50860815	51455790	114	0.004042033824326278
chr14	68742331	68861374	118	-0.002047918758634357
chr14	33699932	33818975	124	-0.0012732230556311828
chr14	40295008	40722782	127	9.216342838151756e-05
