chrom	start	end	name	score
chr11	40075295	41065335	269	0.006153944989557207
chr11	100200601	100585952	262	0.007050804974943208
chr12	59754080	60092039	298	0.004110577531174504
chr12	65499846	66013382	306	0.002760666614635403
chr17	52326898	52711688	377	0.006324857982385207
chr17	62571334	63664492	382	0.005145461478458906
chr17	69200499	69893902	374	0.010220576860122212
chr17	75471682	75590726	381	0.0020751373571380022
chr17	79760434	80083049	390	0.0020751373571380022
chr2	115361023	115746221	32	0.0024897404051524028
chr20	53518081	53637124	434	0.010262305518594913
chr20	56959958	58005174	430	0.0007688226128665009
chr21	26191662	27839270	438	0.03151458714279624
chr4	11932112	12385295	113	0.019229102648353622
chr4	20130254	21194165	104	0.013900422342775515
chr5	8000355	8453031	143	0.0034247254406600037
chr6	11334461	11453504	161	0.04414846719721685
chr6	13296077	13509006	171	0.012960577025909914
chr6	18454666	18629079	166	0.0025350072122036025
chr6	19695819	20333881	149	0.04599920244541935
chr6	21224254	21809708	169	0.028096283890707733
chr6	30607414	30799650	158	0.031495603662911736
chr6	46874360	47153180	159	0.10690493024707763
chr8	106027489	106530598	212	0.13226485108465774
chr8	112378334	113721555	198	0.3265093797360441
chr8	127319320	127438363	206	0.012592080792165413
chr8	127733264	127852307	196	0.06824070091229786
chr8	128525719	128644762	211	0.06074604453663607
