chrom	start	end	name	score
chr1	7796378	8433690	15	0.010419147608697134
chr1	14385306	14763498	27	0.010264151291400571
chr1	50751903	50870947	13	0.004892465043182446
chr1	92622914	92828477	11	0.0440160314269456
chr10	87801233	87920276	241	0.004406933815893761
chr10	88205547	88324590	239	0.004406933815893761
chr11	39964088	40614329	287	0.002631001241194474
chr11	45909793	46380892	264	0.012536035567226617
chr11	62917530	63417759	261	0.04894556176413951
chr11	64834782	65299118	273	0.00582318047591905
chr11	68366049	68573542	266	0.013706207640740932
chr11	72312230	72601976	289	0.023197117135267134
chr11	76135686	77281730	279	0.010908798816369466
chr11	84253169	84655380	284	0.0013586267627365876
chr12	44954419	45576022	301	0.20071253188135074
chr12	52008485	52774572	310	0.07093301620318301
chr12	57702299	58353493	302	0.02077910217429899
chr13	32047274	32376514	321	0.02491009353694877
chr15	31866992	31986036	352	0.0022067795828425926
chr15	40993218	42159078	355	0.0016367708356331994
chr15	57034409	57265344	356	0.0027333007090063043
chr16	53398971	54351863	371	0.03432900113579275
chr17	7611129	7730172	378	0.05881075069577462
chr17	11909135	12050685	380	0.029945224277542825
chr18	3642356	4275605	403	0.0276316151623346
chr18	7209441	8629663	397	0.05560287145038315
chr2	141095185	141214228	29	0.0005099974445486096
chr2	147985984	148275630	49	0.0005099974445486096
chr2	212877996	212997143	34	0.006926302057888954
chr2	232977769	233156653	37	0.000476326644748323
chr22	25379786	25498829	443	0.0010097907938301498
chr22	28082280	28624843	445	0.004849301581707656
chr22	28882064	29001107	440	0.00634573715926727
chr22	33469216	33917689	441	0.002213486917598187
chr4	21102160	21430714	116	0.022106637158628147
chr4	33779071	33989744	95	0.022106637158628147
chr4	59242972	61133220	102	0.012326925367817078
chr5	25934121	27020841	127	0.05155852178717151
chr5	31938573	32972994	135	0.01263877897671624
chr6	67766179	68700299	162	0.036317764219309094
chr9	10991477	11494076	228	0.025993942833952417
chr9	21941391	22060434	213	0.010106407731124626
chr9	26270393	26679838	216	0.007271899608583168
chr9	28247761	28459513	225	0.009341618656695047
chr9	31388257	32049497	222	0.010106407731124626
chr9	129101938	130380154	238	0.029540268675413504
