chrom	start	end	name	score
chr1	5698221	6299461	2	0.009145965778508324
chr1	7796378	8433690	15	0.007181312267507816
chr1	14385306	14763498	27	0.004345126954667385
chr1	26453898	26662962	5	0.014193389853410043
chr1	50751903	50870947	13	0.0027544929409728117
chr1	92622914	92828477	11	0.005568267999115389
chr1	114182486	115159426	7	0.007021892095108548
chr1	157585972	158068323	17	0.0042129049442033075
chr1	193012658	193197741	12	0.001757867720625555
chr1	210244880	210734469	24	0.005683921724954847
chr1	212425834	213587853	3	0.00784977002146416
chr1	246074672	246193715	6	0.0029738110427584134
chr10	56459109	56955135	243	0.007421309686968662
chr10	75535628	75654671	251	0.0010966008915738212
chr10	76159133	76283417	246	0.002018728923288458
chr10	87801233	87920276	241	0.004233934288322665
chr10	88205547	88324590	239	0.02895917371195112
chr11	39964088	40614329	287	0.0056646432453920075
chr11	45909793	46380892	264	0.009620828102947718
chr11	62917530	63417759	261	0.014197469660569001
chr11	64834782	65299118	273	0.007767692242835237
chr11	68366049	68573542	266	0.010258266638972904
chr11	70050758	70300907	283	0.008091351258021502
chr11	72312230	72601976	289	0.015848732090473796
chr11	76135686	77281730	279	0.0047507422774793655
chr11	80628123	80752909	265	0.005786109120143843
chr11	84253169	84655380	284	0.0020411729660063244
chr11	86261058	87385332	280	0.004698716322510782
chr11	114035046	114233527	260	0.009047839794204907
chr12	12569383	12967658	290	0.021914400315434634
chr12	23944471	24075816	299	0.006746691723324392
chr12	26271425	26845390	294	0.005707211406747341
chr12	44954419	45576022	301	0.011533059944374858
chr12	52008485	52774572	310	0.009198948400134617
chr12	57702299	58353493	302	0.005011875338219013
chr12	66744481	67100482	313	0.0038137066394856897
chr12	74225007	75395245	305	0.006037836346637113
chr12	99470564	99758032	308	5.252344468538698e-05
chr13	32047274	32376514	321	0.004546729795726443
chr13	48365593	48484636	318	0.01298989087499895
chr13	50286679	50881654	324	0.007666124067310657
chr14	27068447	28612777	344	0.007386762976671472
chr14	33230726	33349769	334	0.002882531949954295
chr14	39825804	40253578	337	0.00557433599422221
chr14	66702143	67185308	342	0.003830011961061599
chr14	68275614	68394657	328	0.0018841741305833067
chr15	31866992	31986036	352	0.006455435662537091
chr15	40993218	42159078	355	0.011210404778431804
chr15	57034409	57265344	356	0.006554962332492461
chr16	3673114	3792157	367	0.0023155832446949895
chr16	23306400	24105477	360	0.005837924383491744
chr16	53398971	54351863	371	0.006626527115409959
chr16	72474943	72643441	365	0.0020907352882742307
chr16	78613406	78732449	357	0.0012655395826559354
chr16	78969234	79088278	361	0.0008717341165115604
chr16	83302105	83588218	372	0.0032367874966836257
chr17	7611129	7730172	378	0.008689102461992032
chr17	11909135	12050685	380	0.003558786874579247
chr17	33861842	34604065	394	0.01501014419659183
chr17	39304824	39624168	392	0.006496179257470895
chr17	40913090	41258653	376	0.009141550534882763
chr17	43964776	44242707	379	0.009129975059775114
chr17	46143045	46262088	387	0.01370592142421058
chr17	55252988	55991479	391	0.0033213222992571787
chr17	57688031	58116288	385	0.006238721243954386
chr17	60851443	61403869	389	0.003301165484378732
chr17	72369801	72518431	393	0.003851955028181053
chr18	3642356	4275605	403	0.002267955628691346
chr18	7209441	8629663	397	0.006349758470447926
chr18	26976797	28063535	400	0.00722191788178441
chr18	51012320	51141362	399	0.005596127954458368
chr19	18767506	19265881	415	0.006652645733438236
chr19	33574883	33915360	413	0.005567414353176424
chr19	42701930	43231343	419	0.0069628887500945225
chr19	47097306	47325772	414	0.02535716129916547
chr2	42875076	43691150	47	0.004261940173265052
chr2	132975469	133094512	36	0.0005739136119668326
chr2	135286665	135761621	43	0.005432231983270156
chr2	141095185	141214228	29	0.008266644178557825
chr2	147985984	148275630	49	0.0027646183941113485
chr2	186026083	186145126	45	0.0010732285770846282
chr2	186446973	186566016	52	0.00020402246368544312
chr2	212877996	212997143	34	0.0034987777767570053
chr2	232977769	233156653	37	0.005701277785371241
chr20	14932079	15051122	420	0.005978919012528404
chr20	40137619	40838515	421	0.010882312268967626
chr20	46590291	47405928	431	0.005001173362061631
chr20	49023639	49528165	433	0.003046465813714767
chr20	55230814	55593371	422	0.0034179089862678975
chr20	60681899	61408647	429	0.0026294321291314353
chr21	22704159	24054854	437	0.00544575080428355
chr21	34867516	35110617	436	0.0010898479180352027
chr22	22497942	22971195	444	0.0016216822029236195
chr22	25379786	25498829	443	0.0005836896290878105
chr22	28082280	28624843	445	0.0042947418511508646
chr22	28882064	29001107	440	0.0014273417809967767
chr22	33469216	33917689	441	0.0029415340749176263
chr3	4256347	4525158	82	0.0016027319054145092
chr3	50298438	50841289	67	0.012362968013911277
chr3	60426507	60545550	62	0.008946987859073493
chr3	71215566	71334609	69	0.010954004363291593
chr3	114592382	114711426	89	0.009863206119451441
chr3	116828619	116947662	63	0.0059507606997628686
chr3	125750536	127257772	83	0.008082331763352196
chr3	136233833	136731509	85	0.005373757230806799
chr3	160411596	162185539	91	0.006253093588870739
chr3	175056597	175175640	66	0.0031795538494821104
chr3	188449058	188568101	68	0.007250496063618629
chr4	10019183	10138226	112	0.0013708621507382084
chr4	19577917	19801424	99	0.0008619224070348541
chr4	20310116	20479664	119	0.0009891963464370229
chr4	21102160	21430714	116	0.005329673541954727
chr4	33779071	33989744	95	0.011179136878804537
chr4	59242972	61133220	102	0.005369234311519329
chr4	81087817	82202610	108	0.005718637919855029
chr4	86556408	86782454	120	0.005053842278995317
chr4	90856263	90975306	94	0.0032115378467986195
chr4	131787238	133639252	107	0.0036553837152927655
chr4	181223661	181342704	93	0.006939021087815459
chr4	182219568	182508466	106	0.0022882740846697385
chr4	186519299	186880353	111	0.0052401501082479495
chr5	6112457	6656720	125	0.0051749147400421075
chr5	15893975	16736010	133	0.004888865558733855
chr5	25934121	27020841	127	0.006994099870289522
chr5	31938573	32972994	135	0.004521029440886221
chr5	56793697	57120997	138	0.0048947186458261896
chr5	59204459	59323502	126	0.0013230596698371158
chr5	59963527	60082570	122	0.0031646774629188836
chr5	67348351	68771051	147	0.0072838247253669275
chr5	100740256	101471280	136	0.003907478609858533
chr5	131236727	131878640	134	0.004344582397118215
chr5	166129093	166295987	128	0.0051576699021543175
chr6	1907313	2026356	156	0.0019779464944927085
chr6	27844660	28823495	160	0.007964629531751186
chr6	38091924	38651690	170	0.00573706692547442
chr6	45140162	45683699	164	0.008440599286275854
chr6	67766179	68700299	162	0.008561243665161424
chr6	162241482	162360525	150	0.006449087229649612
chr6	167971817	168090860	167	0.0020139575369127172
chr7	3687982	3844788	183	0.0008692716644200556
chr7	50346628	50764902	182	0.0026776143655745464
chr7	69883753	70002796	184	0.0032905928866461816
chr7	70500203	70619246	175	0.001217903450688851
chr7	83634130	85102727	186	0.001959517571985028
chr7	101859963	102244441	185	0.0032073052904127296
chr7	110759050	110878093	174	0.0023977643600512468
chr7	126749996	127788278	176	0.002561522919763957
chr7	152067473	152409692	192	0.0032089297049155718
chr8	3885170	4004213	197	0.0048434711719540675
chr8	22348404	23235836	194	0.024689402512756906
chr8	36213724	37208125	210	0.013696133389552589
chr8	37428319	38222648	199	0.007842559700242623
chr8	89309782	89463212	201	1.1305988068574233e-05
chr9	9423309	9542352	217	0.002578754539997229
chr9	10991477	11494076	228	0.00684818887320057
chr9	16665365	17111350	223	0.0015572483179933515
chr9	21941391	22060434	213	0.053443874117689714
chr9	26270393	26679838	216	0.008808386636660072
chr9	28247761	28459513	225	0.006831544577108921
chr9	31388257	32049497	222	0.004876298556814581
chr9	129101938	130380154	238	0.006763560985172288
