chrom	start	end	name	score
chr1	5758281	6359521	2	0.007492109057103427
chr1	7856438	8493750	15	0.006088959137102338
chr1	14711802	15089994	27	0.0005444561998369232
chr1	26780389	26989453	5	0.001485072454523976
chr1	51217575	51336619	13	0.0006568455484590188
chr1	93088471	93294034	11	0.0009202724713140534
chr1	157555762	158038113	17	0.0003488626779946248
chr1	192981788	193166871	12	0.0007522756011632042
chr1	210418225	210907811	24	0.0034317063072216774
chr1	212599176	213761196	3	0.0050056245248279105
chr1	246237974	246357017	6	0.007047169794631187
chr10	47184277	47650133	244	0.030236578292096757
chr10	58218870	58714895	243	0.008591988250300279
chr10	77295386	77414429	251	0.0007067002395698843
chr10	77918891	78043175	246	0.0002938218692766857
chr10	89560990	89680033	241	0.0029112181623787083
chr10	89965304	90084347	239	0.1383838437532154
chr11	39985638	40635879	287	0.004849032620653123
chr11	45931344	46402442	264	0.01459384542838591
chr11	62685002	63185231	261	0.003322776533012056
chr11	64602254	65066589	273	0.0009701268578475457
chr11	68133517	68341010	266	0.004190451215022083
chr11	72023274	72313020	289	0.0022979938022794416
chr11	75846730	76992775	279	0.00039680403214234765
chr11	80339167	80463952	265	0.006703045504194453
chr11	83964212	84366423	284	0.0006969460746328655
chr11	113905768	114104249	260	0.00044756348383609266
chr12	12722317	13120592	290	0.0056455372903360815
chr12	24097405	24228750	299	0.0009998761138266653
chr12	26424358	26998323	294	2.8890242627151066e-05
chr12	45348202	45969805	301	0.011103043181367938
chr12	52402269	53168356	310	0.0072875704106261634
chr12	58096082	58747276	302	0.010649261963667916
chr12	67138261	67494262	313	0.009110979307065524
chr12	74618787	75789025	305	0.0008444201392754978
chr12	99864342	100151810	308	6.532068177345599e-06
chr13	32621411	32950651	321	0.014644828569255702
chr13	48939729	49058772	318	0.016720832508281012
chr13	50860815	51455790	324	0.01810461876735277
chr14	27537653	29081983	344	0.0044905732375125195
chr14	33699932	33818975	334	0.009687815004020016
chr14	40295008	40722782	337	0.013573777097529324
chr14	67168861	67652025	342	0.0021551472422789023
chr14	68742331	68861374	328	0.0024790856659947747
chr15	32159195	32278239	352	0.012161364505961317
chr15	41285416	42451276	355	0.0190748460052021
chr15	57326607	57557542	356	0.007390847071117144
chr16	53432883	54385775	371	0.019896504027751075
chr16	72508842	72677340	365	0.0032227890997041314
chr16	78647303	78766346	357	0.0015536867244501692
chr16	79003131	79122175	361	0.0010815123108385558
chr16	83335710	83621823	372	0.0035753692264389463
chr17	7514447	7633490	378	0.025432763729524334
chr17	11812452	11954002	380	0.006113701608517895
chr18	3642355	4275605	403	0.006108963326139157
chr18	7209439	8629661	397	0.005611521309515486
chr18	48538690	48667732	399	0.001691751557909415
chr19	34065789	34406265	413	0.0019752066321439576
chr19	43206082	43735495	419	0.0018424731085115399
chr19	47600563	47829029	414	0.014166531449327006
chr2	43102216	43918289	47	0.0003411059009230861
chr2	136044235	136519191	43	0.00041137741190977093
chr2	141852754	141971797	29	0.0018152642849090094
chr2	186890810	187009853	45	1.2256557237976108e-05
chr2	187311700	187430743	52	1.2256557237976108e-05
chr2	213742720	213861867	34	0.0003368149243047165
chr2	233842479	234065299	37	0.002942741100755461
chr22	33865202	34313677	441	0.017947642851388668
chr3	4298031	4566842	82	0.0006587125091349822
chr3	50335869	50878720	67	0.004933501889964293
chr3	60412240	60531283	62	0.002475908835498191
chr3	71264717	71383760	69	0.0024979346207961366
chr3	114311229	114430273	89	0.0042094789850427305
chr3	116547466	116666509	63	0.004437912391824776
chr3	125469379	126976615	83	0.0042840983709098645
chr3	135952675	136450351	85	0.0016004467000915075
chr3	160129384	161903327	91	0.0025153842558440554
chr3	174774387	174893430	66	0.0012421989116174887
chr3	188166846	188285889	68	0.009904284113299971
chr4	10020807	10139850	112	0.0019015215139157947
chr4	19579540	19803047	99	0.0015497493175068077
chr4	20311739	20481287	119	0.0008358900756171463
chr4	21103783	21432337	116	0.0009010518320027196
chr4	33780693	33991366	95	0.010104745854386619
chr4	60108690	61998938	102	0.0027000905559380777
chr4	82008971	83123763	108	0.0013714927897597834
chr4	87477561	87703607	120	0.0004732229659156023
chr4	91777414	91896457	94	0.00029190357102084236
chr4	132708393	134560407	107	0.0014298888248484845
chr4	182144814	182263857	93	0.005935502245300029
chr4	183140721	183429619	106	0.0022776130800922197
chr4	187440453	187801507	111	0.0061848200387712125
chr5	6112570	6656833	125	0.0018891470962128934
chr5	15894084	16736119	133	0.000280182706275108
chr5	25934230	27020948	127	0.0007511764570518578
chr5	31938679	32973100	135	7.262666186189482e-05
chr5	56089524	56416824	138	7.440436229747192e-06
chr5	58500285	58619328	126	0.0003733411390050532
chr5	59259354	59378397	122	0.0006422320624519955
chr5	66644179	68066878	147	0.0030228001998701274
chr5	100075960	100806984	136	4.6157398599363455e-05
chr5	130572420	131214333	134	0.0006367264167132262
chr5	165556098	165722992	128	0.004185215743772169
chr6	1907547	2026590	156	0.0007762157172653008
chr6	27812438	28791272	160	0.002096888476773695
chr6	38059700	38619466	170	9.153051805601817e-05
chr6	45107899	45651436	164	0.0017275660674747895
chr6	68476072	69410191	162	0.0005844267921106495
chr6	162662514	162781557	150	0.05028648909778714
chr6	168372497	168491540	167	0.011149928562650508
chr8	22205917	23093349	194	0.008447985216739768
chr8	36071242	37065643	210	0.01148874647378065
chr9	9423309	9542352	217	0.0008429803117355919
chr9	10991477	11494076	228	0.01448104460438831
chr9	16665363	17111348	223	0.0005497171817951931
chr9	21941390	22060433	213	0.21868028143876408
chr9	26270391	26679836	216	0.0285081314380466
chr9	28247759	28459511	225	0.018271847085725653
chr9	31388255	32049495	222	0.009773650465827158
