chrom	start	end	name	score
chr1	5698221	6299461	2	0.02375125885163324
chr1	7796378	8433690	15	0.0068969682842937126
chr1	14385306	14763498	27	0.006794368270864112
chr1	26453898	26662962	5	0.008958359934429316
chr1	92622914	92828477	11	0.04827794894312548
chr1	114182486	115159426	7	0.0569565901737162
chr10	56459109	56955135	243	0.010314525079892119
chr10	87801233	87920276	241	0.003101635012768406
chr10	88205547	88324590	239	0.01186143938356942
chr13	32047274	32376514	321	0.017066561186848832
chr13	48365593	48484636	318	0.007613937304552714
chr13	50286679	50881654	324	0.007613937304552714
chr14	66702143	67185308	342	0.006886223552826712
chr14	68275614	68394657	328	0.006886223552826712
chr16	53398971	54351863	371	0.0598790738338118
chr17	7611129	7730172	378	0.06915213212465343
chr17	11909135	12050685	380	0.07350982498941462
chr18	26976797	28063535	400	0.022266693825008538
chr18	51012320	51141362	399	8.90125849251836e-05
chr19	42701930	43231343	419	0.003511211380848006
chr19	47097306	47325772	414	0.012348428005113023
chr2	42875076	43691150	47	0.00023370090209180042
chr3	4256347	4525158	82	0.000529350323982801
chr3	50298438	50841289	67	0.02987439264084345
chr3	60426507	60545550	62	0.008349765494716716
chr3	71215566	71334609	69	0.0020073742072133035
chr4	33779071	33989744	95	0.025134823429543346
chr4	59242972	61133220	102	0.043287681277851375
chr4	81087817	82202610	108	0.02344334573291604
chr5	59204459	59323502	126	0.00583455787162281
chr5	59963527	60082570	122	0.02130730402426424
chr5	67348351	68771051	147	0.043256429669929576
chr5	100740256	101471280	136	0.002584762115470605
chr5	166129093	166295987	128	0.013426609683346124
chr6	162241482	162360525	150	0.17005642435193702
chr8	22348404	23235836	194	0.018076614011009733
chr8	36213724	37208125	210	0.007423283679923313
chr9	10991477	11494076	228	0.010152386462275417
chr9	21941391	22060434	213	0.07083059593904333
chr9	26270393	26679838	216	0.01697355628584573
chr9	28247761	28459513	225	0.013477555502093824
chr9	31388257	32049497	222	0.010003132814405118
