chrom	start	end	name	score
chr1	5698221	6299461	2	0.01563152434589505
chr1	7796378	8433690	15	0.012034583164543438
chr1	14385306	14763498	27	0.019680221561706762
chr1	26453898	26662962	5	0.04083049083562652
chr1	50751903	50870947	13	0.0010797813411536033
chr1	92622914	92828477	11	0.004581515708630114
chr1	114182486	115159426	7	0.007149946896416222
chr10	56459109	56955135	243	0.0024730122363249077
chr10	75535628	75654671	251	0.000945527347541903
chr10	76159133	76283417	246	0.004574503099828114
chr10	87801233	87920276	241	0.010073425196221931
chr10	88205547	88324590	239	0.014672219547404145
chr11	62917530	63417759	261	0.0061426069343181195
chr11	64834782	65299118	273	0.004951034324102315
chr11	68366049	68573542	266	0.003950480784190912
chr11	72312230	72601976	289	0.0018267531684102057
chr11	76135686	77281730	279	0.0021083586702950064
chr11	84253169	84655380	284	0.00022059235139790066
chr11	86261058	87385332	280	0.002231566836872907
chr11	114035046	114233527	260	0.0023410345312928076
chr12	44954419	45576022	301	0.008773249022851228
chr12	66744481	67100482	313	0.001893316444654306
chr12	74225007	75395245	305	0.007092868376769322
chr12	99470564	99758032	308	3.9883908501985045e-05
chr14	27068447	28612777	344	0.0009238460380783029
chr14	33230726	33349769	334	0.003872860592807312
chr14	39825804	40253578	337	0.0009238460380783029
chr14	66702143	67185308	342	0.0009696485541740031
chr14	68275614	68394657	328	0.001989878135823306
chr15	31866992	31986036	352	0.0033860088978334103
chr15	40993218	42159078	355	0.010853146762185933
chr15	57034409	57265344	356	0.01889751970972006
chr16	72474943	72643441	365	0.001221195350243504
chr16	78613406	78732449	357	0.0011441627076674034
chr16	78969234	79088278	361	0.0007964450197529024
chr16	83302105	83588218	372	0.004535176023976714
chr17	7611129	7730172	378	0.11702057534654926
chr17	11909135	12050685	380	0.05833659914808298
chr18	3642356	4275605	403	0.004754457094291714
chr18	7209441	8629663	397	0.03475653957864091
chr18	26976797	28063535	400	7.466045614864982e-05
chr18	51012320	51141362	399	0.05124449860929576
chr2	42875076	43691150	47	0.00010827496834830034
chr20	14932079	15051122	420	0.1610191797379811
chr21	22704159	24054854	437	0.04016038274987412
chr21	34867516	35110617	436	0.00010947815037200034
chr22	22497942	22971195	444	0.017185746835511453
chr22	25379786	25498829	443	0.004146109086645913
chr3	50298438	50841289	67	0.010880447394499733
chr3	60426507	60545550	62	0.010806137851561133
chr3	71215566	71334609	69	0.0016433054838662052
chr4	59242972	61133220	102	0.008105311895970626
chr4	81087817	82202610	108	0.00313983888352491
chr4	86556408	86782454	120	0.004075262500351513
chr4	131787238	133639252	107	0.002166278271071007
chr4	181223661	181342704	93	0.012119762391137538
chr5	56793697	57120997	138	9.557813166877522e-05
chr5	59204459	59323502	126	0.003457445403744711
chr5	59963527	60082570	122	0.005947596073606218
chr5	67348351	68771051	147	0.04036664676305912
chr5	100740256	101471280	136	0.008715642504460627
chr5	131236727	131878640	134	0.0007187740951932023
chr5	166129093	166295987	128	0.007980424523444125
chr6	1907313	2026356	156	0.0001652281306265005
chr6	38091924	38651690	170	0.0001323140431582004
chr6	67766179	68700299	162	0.0010122781370346032
chr6	162241482	162360525	150	0.015506342350193849
chr6	167971817	168090860	167	0.0009381571645575029
chr8	3885170	4004213	197	0.03631853244738801
chr8	22348404	23235836	194	0.05340792069037427
chr8	36213724	37208125	210	0.011278634787100934
chr8	37428319	38222648	199	0.04729340785537375
