chrom	start	end	name	score
chr1	150599202	150769139	16	0.09307276466274753
chr1	151577276	151824681	1	0.09307276466274753
chr1	153567828	153761700	28	0.09307276466274753
chr1	154866700	155184646	20	0.002161444451798105
chr1	160944223	161118797	8	0.02490281128010676
chr1	171763783	172395327	19	0.010918475194778926
chr10	59942726	60061769	250	0.0023948096522700057
chr10	61321198	62034364	242	0.010157130514889125
chr10	63604255	63953573	256	0.002312387384711606
chr10	81308268	82447504	252	0.020548159636020347
chr11	62148903	62573639	272	0.0066848429950995165
chr11	67152147	67373325	286	0.012968970270322231
chr11	69619952	69738995	285	0.005370891045725313
chr11	70319004	70438048	276	0.005370891045725313
chr11	71260778	71467434	282	0.005370891045725313
chr11	74190902	74844343	270	0.003683233391560709
chr11	77829950	77948994	259	0.0022396006307764055
chr11	82111694	83074566	268	0.0022396006307764055
chr11	102447525	102575127	271	0.006703145681816816
chr12	19624312	20151125	293	0.014784228281397936
chr12	24935138	25138824	291	0.005593232668524714
chr12	26155824	26274868	311	0.00829791210097832
chr12	27159250	27571622	300	0.03824651044342149
chr12	52100987	52220031	307	0.0031159604475053076
chr12	56083254	56202297	303	0.004527724658480711
chr12	57748858	57867901	292	0.020552808552432147
chr12	59754080	60092039	298	0.006188389577132215
chr12	65499846	66013382	306	0.018665746690215344
chr12	69096589	69243000	317	0.03190693962976308
chr14	37343469	37589273	332	0.003813632298187809
chr14	41444173	42113315	338	0.004714933421996512
chr14	49950433	50078527	329	0.004858287895623012
chr15	72303492	72637942	353	0.06878195972811346
chr16	11637627	11775844	359	0.010671118625631026
chr16	69313107	69813585	370	0.07394357116358669
chr19	37298703	37801292	408	0.0010506500149787025
chr2	4892318	5108590	51	0.027403625468114964
chr2	56492365	57045716	55	0.017385429053416942
chr2	61053389	61713250	31	0.03744334040746389
chr20	60270269	61275884	432	0.04863307718735212
chr4	76274642	76750201	101	0.018764815852267244
chr5	165806843	166172416	124	0.010444647668877826
chr8	54333830	54452874	207	0.018987592103564346
chr8	112378334	113721555	198	0.058181496666086636
chr8	127319320	127438363	206	0.007301945877974418
chr9	25466495	25786524	237	0.01608314652399064
chr9	30245130	30517234	221	0.01641169815257714
