chrom	start	end	name	score
chr1	11166592	11322564	MTOR	0.9496879272750002
chr1	12884468	12891264	PRAMEF11	0.9626613922750001
chr1	40157854	40229586	PPIE	0.9571145382750001
chr1	41086351	41131329	RIMS3	0.9977034842750001
chr1	43990858	44089343	PTPRF	0.9647738522750001
chr1	53692564	53704282	MAGOH	0.9918336252750002
chr1	112313284	112531777	KCND3	1.0141290122750002
chr1	115247090	115259515	NRAS	1.1561544162750002
chr1	120336641	120354283	REG4	0.9837175452750001
chr1	144811744	144830413	NBPF9	0.9968800512750001
chr1	145289772	145370303	NBPF10	1.0954965172750002
chr1	145413095	145417545	HFE2	1.011829208275
chr1	145549230	145568526	ANKRD35	0.9627611852750001
chr1	147228332	147245484	GJA5	0.9667232432750001
chr1	147374946	147381393	GJA8	0.9476338552750001
chr1	149754245	149783928	HIST2H2BF	1.0583574312750001
chr1	149856010	149858232	HIST2H2BE	1.042637014275
chr1	149874870	149889434	SV2A	0.9611224212750001
chr1	149900543	149908791	MTMR11	0.9707379762750001
chr1	150190717	150208504	ANP32E	0.9911769472750002
chr1	150254953	150259505	C1orf51	1.045276174275
chr1	150293925	150325671	PRPF3	1.0174192362750003
chr1	150459887	150480078	TARS2	1.0106651342750002
chr1	150898739	150937213	SETDB1	1.0082193482750001
chr1	150933059	150947479	CERS2	0.9644180602750001
chr1	150980896	151008189	PRUNE	0.9476917792750001
chr1	151023447	151042801	CDC42SE1	1.0728391302750002
chr1	151030234	151040970	MLLT11	1.0724270092750001
chr1	151104161	151119104	SEMA6C	0.9734440802750002
chr1	151129140	151142773	SCNM1	0.9460154392750002
chr1	151142462	151148760	TMOD4	1.039419342275
chr1	151227179	151239955	PSMD4	1.001955358275
chr1	151336778	151345209	SELENBP1	0.9978097412750001
chr1	151584541	151671567	SNX27	0.9870579662750002
chr1	151674880	151689290	CELF3	1.0110165322750002
chr1	151742583	151763892	TDRKH	1.0142534742750002
chr1	152078793	152086556	TCHH	0.9849606962750002
chr1	152184558	152196669	HRNR	0.9513966042750002
chr1	152274651	152297679	FLG	0.9613036832750002
chr1	152381719	152386739	CRNN	0.9776015782750002
chr1	152551857	152552980	LCE3D	0.9904170202750001
chr1	152635872	152637135	LCE2D	0.9578058902750002
chr1	152647771	152649050	LCE2C	1.0890375512750001
chr1	152647771	152659877	LCE2B	0.9579730762750002
chr1	152670840	152671918	LCE2A	0.9559661072750002
chr1	152777311	152779107	LCE1C	1.0521418952750001
chr1	152881021	152884362	IVL	0.9550736422750001
chr1	152974223	152976332	SPRR3	1.117421068275
chr1	153042700	153113927	SPRR2B	1.019750954275
chr1	153175919	153177596	LELP1	1.0728879582750002
chr1	153346184	153348125	S100A12	1.0045437032750002
chr1	153362508	153363664	S100A8	1.1045298102750003
chr1	153409534	153412425	S100A7L2	0.9980625082750002
chr1	153651113	153666468	NPR1	0.9493610042750001
chr1	153700543	153746555	INTS3	1.032864634275
chr1	153920145	153931101	CRTC2	0.9566413882750001
chr1	153931575	153940188	SLC39A1	1.001537393275
chr1	153940010	153946839	CREB3L4	1.0020749322750002
chr1	153954127	153958834	RAB13	0.9756749552750001
chr1	154244987	154248351	HAX1	0.9876627082750001
chr1	154293566	154297801	AQP10	0.9912354352750001
chr1	154540257	154552502	CHRNB2	0.9839695902750002
chr1	154669931	154842756	KCNN3	0.9772771812750002
chr1	154975127	154990998	ZBTB7B	0.9790765312750002
chr1	155036207	155042029	EFNA4	1.0193232192750001
chr1	155158300	155162707	MUC1	0.9973135872750002
chr1	155165379	155178842	THBS3	1.017690113275
chr1	155247374	155259639	HCN3	0.9703017542750001
chr1	155629237	155658791	YY1AP1	0.9672390642750002
chr1	155867599	155881195	RIT1	1.0902172942750001
chr1	155882834	155904191	KIAA0907	1.065459407275
chr1	156005092	156023585	UBQLN4	0.9838689332750001
chr1	156052364	156109880	LMNA	1.057049428275
chr1	156219015	156252620	SMG5	0.9560910052750001
chr1	157483167	157522310	FCRL5	0.9544220942750001
chr1	157644111	157670647	FCRL3	0.9633651672750001
chr1	157800704	157868046	CD5L	1.023411867275
chr1	158223927	158228059	CD1A	1.028050624275
chr1	158259576	158263420	CD1C	0.9663020692750002
chr1	158368312	158369256	OR10T2	0.9850308452750002
chr1	158435272	158436344	OR10K1	0.9688229182750001
chr1	158532441	158533394	OR6P1	0.9753009062750001
chr1	158580496	158656488	SPTA1	1.0108760722750003
chr1	158735466	158736492	OR6N1	0.9563772202750002
chr1	159141399	159173103	CADM3	0.9682229442750001
chr1	159842154	159869953	CCDC19	1.0739544622750001
chr1	159921282	159924044	SLAMF9	0.9509698832750001
chr1	159997462	160001783	PIGM	0.9849301582750002
chr1	160061130	160068733	IGSF8	0.9745309302750002
chr1	160085549	160113381	ATP1A2	1.0097992822750002
chr1	160121360	160156767	ATP1A4	1.0063939252750003
chr1	160259063	160313190	COPA	0.9456932772750002
chr1	160313062	160328742	NCSTN	0.9503457032750001
chr1	160370376	160398468	VANGL2	0.9521285812750001
chr1	160454820	160493052	SLAMF6	0.9542918702750002
chr1	160577890	160617085	SLAMF1	0.9805966712750002
chr1	160846329	160854960	ITLN1	0.9903563142750001
chr1	161009041	161015767	USF1	1.0185166942750001
chr1	161040785	161059389	PVRL4	1.0404869682750002
chr1	161068151	161070136	KLHDC9	1.0446079512750002
