chrom	start	end	name	score
chr1	147722309	147841353	29	0.013829732533473218
chr1	150840601	150959645	31	0.015543789615845814
chr1	151872534	151991578	32	0.015309735716964644
chr1	153986660	154105704	36	0.001450430728744516
chr1	154974677	155093720	37	0.003961339019553483
chr1	160063941	160182984	40	0.0008254042741301661
chr1	161038178	161157222	41	0.017093661808284775
chr1	161883304	162002347	43	0.0007987943152414065
chr1	162605010	162724053	44	0.002953362747653939
chr1	164148727	164267770	45	0.007119490191350425
chr1	172198882	172317925	48	0.0034103766867331505
chr1	204450667	204569711	59	0.0019234703282522683
chr1	205373808	205492851	60	0.0008345983655470251
chr1	234830505	234949549	67	0.0033750699934772103
chr1	246405176	246524220	75	0.00793910579062101
chr10	46209242	46328286	572	0.0011315392732284568
chr10	56664718	56783762	579	1.2602103052194157e-05
chr10	59825889	59944933	581	5.642700540185725e-05
chr10	61846687	61965730	582	0.0011697272691072237
chr10	69179817	69298860	586	0.00028528539635183696
chr10	71948720	72067764	587	2.2544416894169546e-07
chr10	75116580	75235624	589	0.0006825811110120869
chr10	77560720	77679764	592	0.0012071689640284838
chr10	79252721	79371766	594	0.0014683389518036966
chr10	112180688	112299731	599	5.6194794492818984e-05
chr10	121317723	121436766	600	0.0007776939979132175
chr11	836478	955522	602	0.0018398975371447448
chr11	13054931	13173975	608	0.002098136773256587
chr11	32182470	32301513	609	0.002047419269767596
chr11	34684070	34803113	611	0.0034513003362501306
chr11	44202928	44321972	613	6.152953859578954e-06
chr11	45950205	46069248	615	0.003952617432156854
chr11	61017587	61136631	617	0.00015202024693526022
chr11	62259737	62378780	618	0.00015976814415983705
chr11	63623486	63742530	620	6.686918104643267e-06
chr11	65401112	65520155	622	8.78522650199596e-06
chr11	67113119	67232162	624	0.000677716565436521
chr11	67417007	67536051	625	0.0002306688417931534
chr11	69755074	69874117	628	0.0018978939957950986
chr11	70490373	70609417	630	0.0008784238864110247
chr11	71492104	71611147	632	4.4014177386916085e-05
chr11	74425635	74544678	635	0.00012476832530107073
chr11	75621200	75740243	637	0.0001547091003792824
chr11	76990720	77109761	639	0.0003480471914191885
chr11	77723517	77842559	640	0.0006951999259647249
chr11	78013432	78132476	641	0.00014812257542764376
chr11	82024785	82143829	647	0.0006680732799756545
chr11	88600503	88719547	654	0.0001820634908899103
chr11	100881726	101000769	656	1.1797926657962551e-05
chr11	102553747	102672791	658	2.4984652243071396e-06
chr11	118549763	118668813	661	0.0004148505187655646
chr12	763012	882055	665	0.0033897721849525855
chr12	1484313	1603357	666	0.002783206877609277
chr12	3895283	4014326	668	0.0016870045230938263
chr12	6455229	6574273	670	0.0016814372524198576
chr12	12008916	12127959	674	0.00031118760463562736
chr12	13348657	13467700	676	0.0003275519905153746
chr12	20191170	20310213	677	0.005494258791080073
chr12	25130730	25250912	680	0.01889216399284408
chr12	26107545	26226589	681	0.015010237151294428
chr12	27361309	27480352	683	0.0009120949178327888
chr13	26886341	27005385	716	0.0019080642331749257
chr13	30197461	30324134	717	0.005028556577060285
chr13	39289619	39408662	719	0.0006547497660107222
chr13	44150342	44269386	720	0.00269708043087158
chr13	73274341	73393385	725	0.0006090860642951757
chr13	91144224	91263268	727	0.001180298151485103
chr14	23467040	23586083	738	0.0011845023718626414
chr14	25871272	25990316	742	0.0006021008477393892
chr14	26806323	26925366	743	0.00040541668534972047
chr14	31191973	31311016	744	0.0016618418204005032
chr14	35110016	35229059	747	0.0022426996234152863
chr14	36152041	36271084	748	0.000738015465522241
chr14	36440585	36559628	749	0.0005065822935855743
chr14	37335273	37454317	751	0.0006364334963841682
chr14	39137623	39256667	753	0.0006421641141697725
chr14	49942920	50061963	755	0.002057726275706704
chr14	64495530	64614574	758	0.0002048186700371511
chr14	68611618	68730661	762	0.0002828164940245996
chr14	75209775	75328819	763	8.400462551005058e-05
chr14	76926135	77045179	764	0.0003793517046284939
chr14	81544498	81663541	765	0.0005305748110309783
chr14	103146141	103265185	768	0.00033019321875594836
chr14	104678141	104797185	769	0.00045375354669170145
chr15	25724778	25843821	772	0.0004160579509432434
chr15	51909725	52028768	779	0.0018161829859394685
chr15	63498137	63617180	784	4.259677682092875e-07
chr15	71631691	71750734	788	0.0004453509677064561
chr15	79875155	79994199	792	2.1979214744189374e-05
chr15	86549247	86668291	794	0.001043384168976022
chr15	90074712	90193755	795	0.0016031288857803806
chr15	92933248	93052292	796	0.0006947160380960914
chr16	814478	933522	799	0.00022603808161067332
chr16	1994616	2113660	800	0.0004901878552550087
chr16	2880697	2999740	801	0.00030109189489907
chr16	4154477	4273521	802	0.0010335363359676576
chr16	7682476	7801520	805	0.005391992764145358
chr16	11287026	11406070	806	0.0023674503350786485
chr16	11600436	11719479	807	0.00368468980476526
chr16	28143895	28262938	811	0.0015519886675628737
chr16	68311836	68430879	814	0.007402799462789786
chr16	70881159	71000202	815	0.0030407483509342415
chr16	77929365	78048409	818	0.00011426151157555471
chr17	33988079	34111229	826	0.00037440425039253727
chr17	37645674	37764763	829	0.006486247574859396
chr17	39641419	39760462	831	0.02485000560572014
chr17	40924743	41043786	832	0.0077985796425878275
chr17	41544226	41663270	834	5.060920608991878e-05
chr17	48031494	48150541	838	0.0011566201290923244
chr17	49167856	49286899	839	0.00730220473711274
chr17	50679117	50798161	840	0.010604580475226106
chr17	52475118	52594162	841	0.006174230902751185
chr17	59963428	60082471	845	0.006616156859037666
chr17	65908428	66027471	848	0.004654120930016911
chr17	73310600	73429643	850	0.001397207933445023
chr17	75409615	75528658	851	0.01072794298054295
chr17	79762679	79881723	852	0.0011666165953531852
chr18	548478	667522	854	0.015241702266488449
chr18	3587886	3706927	856	0.03709651160791754
chr18	7038147	7157191	858	0.018070590836452773
chr18	9056480	9175524	860	0.011741836884037866
chr18	9836103	9955146	861	0.029604772867392916
chr19	33176638	33295681	889	0.02087738026470533
chr19	35370909	35489952	891	0.012227365084186672
chr19	37759115	37878158	893	0.018119453509094816
chr19	39220452	39339496	894	0.04441450151831432
chr19	39635089	39754133	895	0.009159392313320022
chr19	40394571	40513615	896	0.007556338039263905
chr19	44574014	44693036	900	0.004540213339326542
chr19	55439377	55558421	903	0.00014371340025946797
chr2	27414400	27533443	82	0.0003756908446743053
chr2	47139201	47258245	93	2.6649214363939086e-07
chr2	56741262	56860305	95	5.333781981161885e-05
chr2	61234032	61353075	96	0.0009737492722824186
chr2	62381096	62500139	97	0.0006299929160606028
chr2	67052881	67171924	98	0.00014020300224073132
chr2	67882397	68001440	99	1.760668846369457e-05
chr2	74161126	74280169	101	0.00021267812304440358
chr2	81833354	81952398	103	0.000339270895690732
chr2	108765454	108884497	108	0.0035411163947855363
chr2	113114581	113233624	109	0.001544451844258955
chr2	115777342	115896385	111	0.0009659666387396923
chr2	121090902	121209946	113	0.003021506630901694
chr2	140216402	140335445	118	0.0012851885159797984
chr2	141840520	141959563	121	0.0003891006357849776
