chrom	start	end	name	score
chr1	147722309	147841353	29	0.03543181417314172
chr1	150840601	150959645	31	0.02261125808893686
chr1	151872534	151991578	32	0.009734354756711755
chr1	152946743	153065787	35	0.00563927277913282
chr1	153986660	154105704	36	0.0009786961871019726
chr1	154974677	155093720	37	0.009021886202976127
chr1	155790687	155909731	38	0.0036021617359125856
chr1	160063941	160182984	40	0.0011311245967767114
chr1	161038178	161157222	41	0.01850921562651376
chr1	161883304	162002347	43	0.0014176159697162
chr1	162605010	162724053	44	0.002222273780395321
chr1	164148727	164267770	45	0.008887433331282666
chr1	172198882	172317925	48	0.007880403377923811
chr1	183852187	183971230	52	0.009722197432733524
chr1	201122578	201241621	56	0.003184829856823728
chr1	204450667	204569711	59	0.0032073252423167496
chr1	205373808	205492851	60	0.001423720878825751
chr1	206937062	207056105	62	0.000506115512809914
chr1	239069816	239188859	70	0.0068574444063611685
chr1	246405176	246524220	75	0.004339625331246614
chr10	9160137	9279181	562	0.018231170294134808
chr11	836478	955522	602	0.0010924101034758885
chr11	61017587	61136631	617	3.4121258206036503e-06
chr11	63623486	63742530	620	3.129076124428495e-06
chr11	65401112	65520155	622	3.665651384682689e-05
chr11	67113119	67232162	624	0.00037776384720200986
chr11	67417007	67536051	625	3.189672076378698e-05
chr11	69755074	69874117	628	0.0011705373566076416
chr11	70490373	70609417	630	0.000472382769321991
chr11	71492104	71611147	632	9.056492013757823e-06
chr11	76990720	77109761	639	1.548128195872649e-05
chr11	77723517	77842559	640	0.00010981778646080957
chr11	78013432	78132476	641	4.828445865994952e-05
chr11	82024785	82143829	647	0.00022731568306710338
chr11	88600503	88719547	654	0.00013215319442319172
chr11	100881726	101000769	656	8.705295154157744e-05
chr11	102254408	102373451	657	0.00014185963655249977
chr11	102553747	102672791	658	2.0324536520910684e-06
chr12	43607718	43726761	685	0.0009022928695122057
chr12	46249019	46368062	687	0.0006545227681478378
chr12	56161514	56280558	694	0.0013259120576655872
chr12	57758906	57877949	696	0.001907421208781101
chr12	59648470	59767513	698	0.003212568541141513
chr12	65541819	65660862	699	0.0007199110829045363
